,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,breakpoint,left_parent,right_parent,left_parent_imputed_lineage,right_parent_imputed_lineage,mrca,mrca_date,fwd_bck_parents_max_mut_dist
10,Italy/FVG-ICGEB-S214/2020,2020-07-01,B.1.1.70,21499,9,2,9,False,True,True,True,False,12052,1697,21311,B.1.1,B.1.1.70,1697,2020-03-04,9
11,Israel/CVL-n26495/2020,2020-07-22,B.1.362,23304,1,2,19,True,True,True,True,True,11916,23068,1840,B.1.362,B.1,1484,2020-03-08,0
12,Israel/CVL-n26800/2020,2020-07-24,B.1,23508,1,2,16,True,True,True,True,True,10288,23431,23036,B.1.1.50,B.1,179,2020-02-20,0
13,Switzerland/BL-ETHZ-230023/2020,2020-08-03,B.1.1.70,24138,25,2,6,True,True,True,True,True,14500,24078,21744,B.1.1.70,B.1.1.70,21744,2020-06-15,0
14,England/QEUH-96BCE8/2020,2020-08-14,B.1.1.253,25287,12,2,9,True,True,True,True,True,21137,24948,3918,B.1.1.253,B.1.1,179,2020-02-20,0
15,England/QEUH-96BDC7/2020,2020-08-14,B.1.1.253,25290,1,2,6,True,True,True,True,True,27384,24948,248,B.1.1.253,B,1,2019-12-26,0
16,Switzerland/ZH-ETHZ-260008/2020,2020-08-21,B.1.1.189,26720,82,2,10,True,True,True,True,True,25471,24720,7333,B.1.1.189,B.1.1,5867,2020-02-22,0
17,England/QEUH-9985C9/2020,2020-08-24,B.1.221,26955,85,2,4,True,True,True,True,True,20661,24202,24096,B.1.177,B.1.221,5867,2020-02-22,0
18,England/MILK-9A9B96/2020,2020-08-31,B.1.160,28768,2,2,7,True,True,True,True,True,25563,24990,24669,B.1.160,B.1.1.70,179,2020-02-20,0
19,England/QEUH-9A4278/2020,2020-09-01,B.1,29489,28,2,8,True,True,True,True,True,20930,25927,25951,B.1,B.1.236,1269,2020-03-03,0
20,England/QEUH-9E5457/2020,2020-09-22,B.1.1,38229,7,2,11,True,True,True,True,True,10323,11029,37786,B.1.1,B.1.1,179,2020-02-20,0
21,USA/MI-UM-10036137935/2020,2020-09-25,B.1.361,40544,1,2,6,True,True,True,True,True,18167,36035,37930,B.1,B.1.361,36035,2020-08-07,0
22,England/QEUH-9FA01F/2020,2020-09-27,B.1,41277,1,2,7,False,True,True,True,True,13297,23740,37834,B.1.177,B.1.221,5867,2020-02-22,20
23,England/BIRM-653F1/2020,2020-09-30,B.1.177,42234,1,2,5,True,True,True,True,True,25049,28032,25401,B.1.177,B.1.177,23479,2020-07-06,0
24,England/MILK-A06404/2020,2020-10-01,B.1.36,43367,9,2,8,True,True,True,True,True,21724,10446,42095,B.1,B.1.36,464,2020-03-02,10
25,SouthAfrica/KRISP-K003722/2020,2020-10-06,B.1.237,46586,60,2,6,True,True,True,True,True,9498,23198,42622,B.1.237,B.1.237,42717,2020-06-12,0
26,England/QEUH-A4CA97/2020,2020-10-07,B.1.1.307,48361,1,2,4,True,True,True,True,True,8683,41376,39964,B.1.1.37,B.1.1.307,179,2020-02-20,0
27,USA/MI-UM-10036422279/2020,2020-10-13,B.1.311,52756,135,2,5,True,True,True,True,True,25658,24765,50312,B.1,B.1.311,1484,2020-03-08,0
28,Switzerland/ZH-ETHZ-321423/2020,2020-10-14,B.1.398,53801,50,2,11,True,True,True,True,True,12312,51936,40618,B.1.398,B.1.234,1269,2020-03-03,0
29,England/ALDP-A95E93/2020,2020-10-19,B.1.177,57383,1,2,3,True,True,True,True,True,24334,39413,41230,B.1.177,B.1.177,23479,2020-07-06,0
30,England/QEUH-A9F619/2020,2020-10-20,B.1,58892,2,2,3,True,True,True,True,True,25505,39701,24990,B.1.221,B.1.160,179,2020-02-20,0
31,England/CAMC-AAF625/2020,2020-10-23,B.1.177,61437,1,2,3,True,True,True,True,False,11396,23211,25639,B.1.1,B.1.177,5867,2020-02-22,19
32,Denmark/DCGC-8685/2020,2020-10-26,B.1.1,63659,7,2,15,False,True,True,True,True,15763,40828,6275,B.1.1,B.1.1,6275,2020-03-14,4
33,England/204490706/2020,2020-10-29,B.1.177.54,65540,17,2,3,True,True,True,True,True,23644,33685,36003,B.1.177.57,B.1.177.54,24983,2020-08-13,22
34,Scotland/CVR5483/2020,2020-10-31,B.1.177.53,67337,1,2,3,True,True,True,True,True,28371,43253,1071,B.1.177.53,B.1,179,2020-02-20,0
35,Mexico/SLP-InDRE-77/2020,2020-11-01,B.1.397,68294,1,2,15,False,True,True,True,False,3867,21945,38776,B.1,B.1.397,21945,2020-04-27,12
36,USA/OR-OHSU-4349/2020,2020-11-03,B.1.561,70563,33,2,13,False,True,True,True,False,22000,41632,17599,B.1.561,B.1.1.348,179,2020-02-20,14
37,England/MILK-B56AD5/2020,2020-11-05,B.1.1,72975,15,2,15,True,True,True,True,True,24193,52215,13766,B.1.1,B.1.391,179,2020-02-20,0
38,USA/CA-ALSR-4644/2020,2020-11-10,B.1.561,77624,244,2,13,False,False,False,False,False,22000,41632,2999,B.1.561,B.1.1,179,2020-02-20,0
39,USA/MD-MDH-0464/2020,2020-11-11,B.1.2,78705,22,2,10,True,True,True,True,True,11416,23408,75186,B.1.2,B.1.2,23408,2020-06-30,0
40,England/CAMB-1BADB2/2020,2020-11-12,B.1.160,79871,1,2,3,True,True,True,True,True,29712,78686,10368,B.1.160,B.39,1,2019-12-26,0
41,England/CAMC-B9855E/2020,2020-11-15,B.1.1,82798,5,2,12,False,True,True,True,False,20467,5868,44855,B.1,B.1.1,5868,2020-02-21,7
42,SouthAfrica/KRISP-K005336/2020,2020-11-15,B.1.1.412,83358,1,2,4,True,True,True,True,True,25552,45746,13926,B.1.1.412,B.1,179,2020-02-20,0
43,Denmark/DCGC-9270/2020,2020-11-16,B.1.1,84277,5,2,6,True,True,True,True,True,25587,63659,63658,Unknown (R),B.1.1,63659,2020-09-01,0
44,USA/NY-NYCPHL-001358/2020,2020-11-16,B.1.311,84493,1,2,6,True,True,True,True,True,9611,14066,47121,B.1,B.1.311,1484,2020-03-08,0
45,Denmark/DCGC-9249/2020,2020-11-16,B.1,84515,1,2,14,True,False,True,True,False,25350,5620,25237,B.1,B.1.1.51,179,2020-02-20,16
46,SouthAfrica/KRISP-EC-K005220/2020,2020-11-18,B.1,85776,1,2,6,True,True,True,True,True,22206,78301,10497,B.1.351,B.1.1.220,179,2020-02-20,0
47,SouthAfrica/NHLS-UCT-GS-1396-KRISP/2020,2020-11-18,B.1.351,85808,11,2,8,True,True,True,True,True,25996,80049,70504,B.1.351,B.1.351,70730,2020-10-05,0
48,England/C200050044/2020,2020-11-19,B.1,86179,1,2,9,False,True,True,True,False,26735,57222,47120,B.1.177,B.1.36,179,2020-02-20,28
49,England/LIVE-DC28F6/2020,2020-11-24,B.1.177.16,89875,2,2,5,True,True,True,True,True,3256,27897,44641,AD.2,B.1.177.16,5867,2020-02-22,0
50,USA/MI-MDHHS-SC22669/2020,2020-11-29,B.1,93500,1,3,30,False,True,True,True,False,12756,32561,46584,B.1,B.1,6502,2020-03-10,10
51,USA/MI-MDHHS-SC22669/2020,2020-11-29,B.1,93500,1,3,30,False,True,True,True,False,26375,46584,9770,B.1,B.1,1484,2020-03-08,11
52,Belgium/ULG-11044/2020,2020-11-30,B.1,94403,1,2,5,True,True,True,True,True,21855,81246,93252,B.1.221,B.1.160,179,2020-02-20,0
53,Germany/TH-IIMK-CaSe-12/2020,2020-11-30,B.1,94579,6,2,7,False,True,True,True,False,16889,41027,21960,B.1.160,B.1.1.25,179,2020-02-20,22
54,Japan/IC-0370/2020,2020-12-01,B.1.222,94942,1,2,5,True,True,True,True,False,24910,2125,26974,B.1.222,B.1.258,179,2020-02-20,5
55,USA/CA-CZB-15422/2020,2020-12-02,B.1.404,95814,51,2,14,True,True,True,True,False,19962,69564,59018,B.1.404,Unknown,247,2020-02-25,9
56,Netherlands/GE-RIVM-20322/2020,2020-12-03,B.1,96527,1,2,8,True,True,True,True,True,11511,14535,95678,B.1.1,B.1.221,14535,2020-04-23,0
57,SouthAfrica/Tygerberg-397/2020,2020-12-03,B.1,96566,2,2,12,True,True,True,True,True,5144,18709,86297,B.1.237,B.1.237,247,2020-02-25,0
58,USA/CA-CHLA-PLM45177859/2020,2020-12-04,B.1,97568,1,2,5,True,True,True,True,True,4421,1,95747,B,B.1,1,2019-12-26,0
59,SouthAfrica/Tygerberg-411/2020,2020-12-05,B,98219,1,2,3,True,True,True,True,False,14408,96562,1,B.1.351,B,1,2019-12-26,20
60,USA/CA-SEARCH-5352/2020,2020-12-10,B.1,102949,4,2,10,True,True,True,True,True,23059,42196,13005,B.1,B.1,1269,2020-03-03,0
61,USA/WA-UW-47409/2020,2020-12-10,B.1.438,103046,7,2,12,True,True,True,True,True,26882,19487,97574,B.1.438,B.1,179,2020-02-20,0
62,USA/UT-UPHL-2101063553/2020,2020-12-15,B.1.2,108635,1,2,17,False,True,True,True,True,20268,95811,21563,B.1,B.1.2,179,2020-02-20,0
63,Netherlands/NH-RIVM-21074/2020,2020-12-15,B.1,108816,1,2,7,False,True,True,True,False,25437,77426,91167,B.1,B.1.221,5867,2020-02-22,26
64,NewZealand/20CV0663/2020,2020-12-15,B.1.177.86,108885,1,2,5,True,True,True,True,True,15324,75136,45030,B.1.221,B.1.177.86,5867,2020-02-22,0
65,USA/NY-Wadsworth-290403-01/2020,2020-12-16,B.1.526,110261,3793,2,7,True,True,True,True,True,22320,19291,89240,B.1,B.1.526,19291,2020-04-05,13
66,USA/MD-HP12129/2020,2020-12-20,B.1,114081,3,2,14,True,True,True,True,True,25680,12459,97787,B.1,B.1,6502,2020-03-10,0
67,HongKong/CM20000489/2020,2020-12-20,B.1.471,114134,1,2,14,False,True,True,True,False,12400,13171,74259,B.1,B.1.471,179,2020-02-20,6
68,Turkey/HSGM-87/2020,2020-12-20,B.1.1,114289,2,2,5,True,True,True,True,True,18744,17763,52114,B.1.1,B.1.1,5867,2020-02-22,5
69,Turkey/HSGM-18000/2020,2020-12-20,B.1,114758,1,2,20,False,True,True,True,True,15016,8416,83181,B.1,B.1,247,2020-02-25,0
70,USA/CA-LACPHL-AF00072/2020,2020-12-21,B.1.429,115469,1,2,11,True,True,True,True,True,24349,15806,112000,B.1,B.1.429,179,2020-02-20,0
71,Denmark/DCGC-23278/2020,2020-12-21,B.1.177,116024,1,2,5,True,True,True,True,True,29543,107652,31339,B.1.177,B.1,179,2020-02-20,0
72,USA/CA-CSMC333/2020,2020-12-21,B.1.404,116079,12,2,9,False,True,True,True,True,19962,69564,112618,B.1.404,B.1.404,247,2020-02-25,0
73,Ireland/D-NVRL-20IRL12095/2020,2020-12-22,B.1.1.7,116992,28,2,4,True,True,True,True,True,27972,82816,11820,B.1.1.7,B.1,179,2020-02-20,31
74,USA/AZ-TG704052/2020,2020-12-23,B.1,118019,1,2,14,False,True,True,True,False,25456,20655,96973,B.1.36,B.1,464,2020-03-02,11
75,England/QEUH-CCCB30/2020,2020-12-23,B.1.1.7,118097,2,2,3,True,True,True,True,True,6954,36982,111767,B.1.36,B.1.1.7,179,2020-02-20,0
76,Japan/IC-0477/2020,2020-12-23,B.1.1.432,118348,3,2,14,True,True,True,True,True,21137,97004,5434,B.1.1,B.1,179,2020-02-20,4
77,Israel/CVL-69-ngs/2020,2020-12-24,B.1.1.7,119090,29,2,12,False,False,False,False,False,24506,105134,13244,B.1.1.7,B.1.1.372,179,2020-02-20,0
78,Norway/7337/2020,2020-12-24,A,119390,3,2,9,True,True,True,True,True,9223,1129,109829,A.1,A,7,2020-01-05,0
79,France/GE-IPP11366/2020,2020-12-24,B.1.367,119532,1,2,5,True,True,True,True,True,27632,117073,22848,B.1.367,B.1.367,22848,2020-06-28,0
80,Israel/CVL-3-ngs/2020,2020-12-24,B.1.36,119621,1,2,6,True,True,True,True,False,3137,42621,95665,B.1.1.448,B.1.36.8,179,2020-02-20,9
81,Egypt/CUNCI-HGC9I022/2020,2020-12-25,A,119787,8,2,18,True,True,True,True,True,9223,11617,109829,A.1,A,7,2020-01-05,0
82,Singapore/1516/2020,2020-12-25,B.1,120221,1,2,11,True,True,True,True,True,4543,13046,86276,B.1,B.1,464,2020-03-02,0
83,England/SHEF-10D314C/2020,2020-12-26,B.1.177,121422,1,2,4,True,True,True,True,True,1758,50344,78497,B.1.177.7,B.1.177,25085,2020-08-06,0
84,USA/NY-Wadsworth-21005106-01/2020,2020-12-26,A.2.5,121575,133,2,23,False,True,True,True,True,12815,94813,21776,A.2.5,A.2,7,2020-01-05,2
85,UnitedArabEmirates/4285/2020,2020-12-27,B.1.1,121932,1,2,9,False,True,True,True,False,16176,69108,12681,B.1.1.7,B.1.1,179,2020-02-20,28
86,Denmark/DCGC-27419/2020,2020-12-28,B.1.1.7,123459,1,2,7,True,True,True,True,True,27972,76871,115183,B.1.1.7,B.1.177,179,2020-02-20,0
87,England/QEUH-D84070/2020,2020-12-29,B.1.214.2,124925,155,2,21,False,True,True,True,True,28271,85196,92131,B.1,B.1.1.7,179,2020-02-20,16
88,India/KA-NIMH-SEQ-46/2020,2020-12-30,B.1.36.29,126311,2,2,10,True,True,True,True,True,12765,124069,123536,B.1.36,B.1.36.29,124069,2020-10-08,0
89,USA/NC-CDC-STM-209/2020,2020-12-31,B.1.1.329,126893,2,2,8,True,True,True,True,True,11872,73024,97666,B.1.1,B.1.1.329,179,2020-02-20,0
90,Israel/CVL-998ngs/2020,2020-12-31,B.1.1.50,126969,1,2,12,True,True,True,True,True,28854,119181,23064,B.1.1.50,B.1.1.50,23136,2020-07-03,0
91,Netherlands/NH-RIVM-21095/2020,2020-12-31,B.1,127081,28,2,15,False,False,False,False,False,15766,119538,119661,B.1.160,B.1.1.7,179,2020-02-20,0
92,USA/UT-UPHL-2101178518/2020,2020-12-31,B.1.1.7,127427,40,2,3,True,True,True,True,True,28095,75373,121050,B.1.1.7,B.1.1.7,42699,2020-08-29,0
93,Finland/1T1DE5_S162/2021,2021-01-01,B.1,128323,2,3,14,False,True,True,True,True,11459,31199,69686,B.1.160,B.1.258,179,2020-02-20,19
94,Finland/1T1DE5_S162/2021,2021-01-01,B.1,128323,2,3,14,False,True,True,True,True,20268,69686,55635,B.1.258,B.1.160,179,2020-02-20,19
95,Japan/IC-0575/2021,2021-01-03,B.1.1.397,130554,4,2,12,True,True,True,True,True,21974,19874,129791,B.1.1.57,B.1.1.397,5867,2020-02-22,0
96,England/ALDP-F752D4/2021,2021-01-03,B.1.1.7,131112,25,2,4,True,True,True,True,True,27382,110818,121606,B.1.1.7,B.1.1.7,42699,2020-08-29,0
97,USA/MI-CDC-STM-A100223/2021,2021-01-04,B.1.361,131267,2,2,5,False,True,True,True,True,27964,42209,49256,B.1.361,B.1.2,1484,2020-03-08,8
98,USA/CA-CDC-STM-A100052/2021,2021-01-04,B.1.1,131743,13,2,13,True,True,True,True,True,23426,96114,114496,B.1.1,B.1.1,2407,2020-03-10,0
99,USA/NY-NYCPHL-002150/2021,2021-01-04,B.1.1,131811,1,2,12,True,True,True,True,True,20139,94778,122811,B.1.1,B.1.1,94778,2020-05-19,0
100,Poland/Pomorskie_MWB_48/2021,2021-01-05,B.1.258,132944,1,2,18,False,True,True,True,False,12988,14535,24089,B.1.1,B.1.258,179,2020-02-20,19
101,Netherlands/FR-RIVM-10525/2021,2021-01-06,B.1.177.62,134584,1,2,13,True,True,True,True,True,958,8447,133094,B.1.1,B.1.177.62,5867,2020-02-22,0
102,USA/CA-ALSR-6209/2021,2021-01-06,B.1,134717,1,2,10,False,True,True,True,True,18424,95780,97816,B.1.2,B.1.429,1484,2020-03-08,7
103,Switzerland/ZH-ETHZ-451295/2021,2021-01-07,B.1.1.374,135135,32,2,10,True,True,True,True,True,10323,115244,16865,B.1.1.374,B.1,16865,2020-03-26,0
104,USA/CA-ALSR-6062/2021,2021-01-07,B.1.2,135547,11,2,8,True,True,True,True,True,10319,17847,113944,B.1,B.1.2,1484,2020-03-08,0
105,France/PDL-IPP00344/2021,2021-01-07,B.1,135669,1,3,16,False,True,True,True,False,15766,11762,66452,B.1.465,B.1.160,1089,2020-03-06,11
106,France/PDL-IPP00344/2021,2021-01-07,B.1,135669,1,3,16,False,True,True,True,False,25710,66452,31271,B.1.160,B.1.416,179,2020-02-20,0
107,USA/MI-UM-10037727417/2021,2021-01-07,B.1.596,135706,1,3,12,False,True,True,True,True,18424,133720,134009,B.1.234,B.1.2,179,2020-02-20,0
108,USA/MI-UM-10037727417/2021,2021-01-07,B.1.596,135706,1,3,12,False,True,True,True,True,27384,134009,133720,B.1.2,B.1.234,179,2020-02-20,0
109,USA/CA-LACPHL-AF00300/2021,2021-01-08,B.1.533,136383,3,2,16,False,True,True,True,True,28271,111492,125304,B.1,B.1.1.7,179,2020-02-20,15
110,USA/CA-LACPHL-AF00220/2021,2021-01-08,B.1.596,136923,1,3,18,False,True,True,True,True,15452,9481,111460,B.1,B.1.429,6502,2020-03-10,13
111,USA/CA-LACPHL-AF00220/2021,2021-01-08,B.1.596,136923,1,3,18,False,True,True,True,True,28272,111460,37990,B.1.429,B.1.2,1484,2020-03-08,11
112,USA/CA-LACPHL-AF00306/2021,2021-01-08,B.1,137029,1,2,9,False,True,True,False,False,25563,23686,96655,B.1,B.1.2,179,2020-02-20,0
113,Finland/8T10DE7_S174/2021,2021-01-08,B.1.177.60,137056,12,2,6,False,True,True,True,True,15907,116961,107617,B.1.177,B.1.177.60,25085,2020-08-06,11
114,USA/CA-QDX-3684/2021,2021-01-08,B.1.324,137334,1,2,16,False,True,True,True,False,24031,95019,122876,B.1.561,B.1.429,179,2020-02-20,23
115,USA/IL-NM-5933/2021,2021-01-08,B.1.1.1,137355,3,2,10,True,True,True,True,True,16376,34914,34843,B.1.1.1,B.1.1.1,34914,2020-04-07,9
116,France/IDF-IPP00387/2021,2021-01-08,B.1.1,137357,1,2,10,False,True,True,True,False,9355,135409,13549,B.1.160,B.1.1.25,179,2020-02-20,8
117,Poland/Pomorskie_MWB_56/2021,2021-01-09,B.1.1.101,137896,1,2,14,True,True,True,True,True,4763,75728,117090,B.1.258,B.1.1.101,179,2020-02-20,0
118,USA/CA-QDX-3711/2021,2021-01-09,B.1,138495,1,2,17,False,True,True,True,True,27881,23686,96622,B.1,B.1.429,179,2020-02-20,7
119,USA/IL-NM-5986/2021,2021-01-10,B.1.399,139598,1,2,5,True,True,True,True,True,10279,45518,95818,B.1.1.67,B.1.399,179,2020-02-20,0
120,England/CAMC-FB1BD1/2021,2021-01-10,B.1.1,139726,5,2,6,True,True,True,True,True,19839,16259,95821,B.1.1,B.1.1,179,2020-02-20,0
121,Denmark/DCGC-34080/2021,2021-01-11,B.1.177,140412,1,2,3,True,True,True,True,False,29366,93713,1,B.1.177.35,B,1,2019-12-26,19
122,Switzerland/un-32986844/2021,2021-01-11,B.1.1.7,140750,6,2,3,True,True,True,True,False,28271,65745,11820,B.1.1.7,B.1,179,2020-02-20,21
123,Ireland/TA-NVRL-83IRL18352/2021,2021-01-11,B.1.1.7,140878,2,3,16,False,True,True,True,True,17615,69144,71317,B.1.1.7,B.1.177,179,2020-02-20,5
124,Ireland/TA-NVRL-83IRL18352/2021,2021-01-11,B.1.1.7,140878,2,3,16,False,True,True,True,True,28271,71317,60174,B.1.177,B.1.1.7,179,2020-02-20,7
125,USA/MD-HP01212/2021,2021-01-11,B.1.2,140886,1,2,9,True,True,True,True,True,11521,128914,59562,B.1.2,B.1.2,23408,2020-06-30,0
126,Switzerland/GE-32967707/2021,2021-01-13,B.1.1.7,143082,2,2,3,True,True,True,True,True,28095,140736,119661,B.1.1.7,B.1.1.7,119661,2020-08-09,0
127,USA/MI-MDHHS-SC23143/2021,2021-01-14,B.1.2,143733,1,2,4,True,True,True,True,True,17707,140576,137367,B.1.2,B.1.2,137367,2020-10-14,0
128,Switzerland/un-32967513/2021,2021-01-14,B.1,144099,1,2,4,True,True,True,True,False,10525,23211,137817,B.1.1,C.35,179,2020-02-20,10
129,Israel/CVL-2582/2021,2021-01-14,B.1,144261,1,3,13,False,True,True,True,False,3482,125813,66399,B.1.1.50,B.1,179,2020-02-20,17
130,Israel/CVL-2582/2021,2021-01-14,B.1,144261,1,3,13,False,True,True,True,False,26060,66399,47277,B.1,B.1.558,179,2020-02-20,23
131,France/OCC-244/2021,2021-01-14,A.28,144351,1,2,4,True,True,True,True,False,2197,121052,136246,B.1.1.7,A.28,1,2019-12-26,33
132,Israel/CVL-2515/2021,2021-01-14,B.1.177.35,144441,1,3,18,False,False,False,False,False,16176,31309,140956,B.1.177.44,B.1.1.7,179,2020-02-20,0
133,Israel/CVL-2515/2021,2021-01-14,B.1.177.35,144441,1,3,18,False,False,False,False,False,23271,140956,127081,B.1.1.7,Unknown (R),119661,2020-08-09,0
134,USA/CO-CDPHE-2100232299/2021,2021-01-15,B.1.243,145063,2,2,8,True,True,True,True,True,7534,37875,118783,B.1.36.18,B.1.243,179,2020-02-20,0
135,USA/WI-UW-3032/2021,2021-01-15,B.1.2,145386,3,2,7,True,True,True,True,True,13860,134895,109486,B.1.2,B.1.2,26018,2020-08-02,19
136,USA/GA-CDC-STM-000002905/2021,2021-01-16,B.1.1,146338,6,2,19,False,True,True,True,True,8883,21722,9425,B.1.1.52,B.1.1,179,2020-02-20,2
137,Switzerland/GE-32985291/2021,2021-01-16,B.1.1.7,146609,4,2,3,True,True,True,True,True,28095,141723,143337,B.1.1.7,B.1.1.7,143337,2020-07-22,0
138,Belgium/AZDelta12-22124_S13/2021,2021-01-16,B.1.1.7,146685,2,2,11,True,True,True,True,True,28242,105297,23070,B.1.1.7,B.1.1,179,2020-02-20,0
139,France/PDL-IPP01486/2021,2021-01-16,B.1.160,146710,1,2,10,True,True,True,True,False,5071,88440,100184,B.1.160,B.1.160,24990,2020-06-10,25
140,Scotland/QEUH-1067DEF/2021,2021-01-17,B.1.177,147968,1,2,6,True,True,True,True,True,10870,88131,105683,B.1.1.7,B.1.177,179,2020-02-20,0
141,England/ALDP-10B5526/2021,2021-01-17,B.1.1.7,148030,2,2,8,True,True,True,True,True,29764,104128,10368,B.1.1.7,B.39,1,2019-12-26,0
142,Lithuania/ID7485/2021,2021-01-17,B.1.177.60,148055,1,2,3,True,True,True,True,False,9970,62232,133489,B.1.177,B.1.177.60,23479,2020-07-06,24
143,India/KA-NIMH-SEQ-156/2021,2021-01-19,B.1.36,149555,1,2,11,True,True,True,True,False,10834,23994,77590,B.1.243,B.1.36,179,2020-02-20,14
144,SouthKorea/KDCA1268/2021,2021-01-19,B.1.497,149588,61,2,14,True,True,True,True,True,11916,3997,24635,B.1,B.1.497,1484,2020-03-08,0
145,Belgium/AZDelta2103-07816/2021,2021-01-19,B.1.258,149662,1,3,19,True,False,False,False,False,23063,39550,140269,B.1.258,B.1.1.7,179,2020-02-20,0
146,Belgium/AZDelta2103-07816/2021,2021-01-19,B.1.258,149662,1,3,19,True,False,False,False,False,25471,140269,137027,B.1.1.7,B.1.258,179,2020-02-20,0
147,Switzerland/TG-ETHZ-470032/2021,2021-01-19,B.1,149877,1,2,11,False,True,True,True,False,26876,115581,67077,B.1.177,B.1.160,179,2020-02-20,11
148,Turkey/HSGM-1332/2021,2021-01-19,B.1.1.7,149893,3,2,8,True,True,True,True,True,27281,16308,118939,B.1.1,B.1.1.7,179,2020-02-20,0
149,Belgium/ULG-11595/2021,2021-01-19,B.1.1,150011,2,2,12,True,True,True,True,True,18928,16011,24605,B.1.540,B.1.1,5867,2020-02-22,0
150,Netherlands/ZH-RIVM-10572/2021,2021-01-19,B.1.1,150096,7,2,11,True,False,False,False,False,26801,115581,119989,B.1.177,B.1.1.7,179,2020-02-20,0
151,Switzerland/BE-ETHZ-470056/2021,2021-01-19,B.1,150241,1,2,10,False,True,True,False,False,25710,94579,128322,Unknown (R),B.1,179,2020-02-20,0
152,England/LIVE-DE6A05/2021,2021-01-19,B.1.1.7,150395,2,2,3,True,True,True,True,True,12503,23370,148084,B.1.1.448,B.1.1.7,179,2020-02-20,6
153,USA/LA-ALSR-6529/2021,2021-01-19,B.1,150424,1,2,14,False,True,True,True,True,25090,145114,1483,B.1,B.1,1483,2020-03-08,7
154,Turkey/HSGM-1384/2021,2021-01-19,B.1.1.7,150556,18,2,5,True,True,True,True,True,23063,3526,118939,B.1.1,B.1.1.7,3526,2020-03-19,0
155,Switzerland/VS-ETHZ-470030/2021,2021-01-19,B.1.177,150560,1,2,14,False,False,False,False,False,22377,115581,134258,B.1.177,B.1.177,23479,2020-07-06,0
156,Turkey/HSGM-1478/2021,2021-01-19,B.1.1.409,150615,3,2,13,False,True,True,True,True,25855,19056,130298,B.1.1,B.1.1.7,179,2020-02-20,6
157,USA/CO-CDPHE-2100244674/2021,2021-01-20,B.1.243,151104,14,2,7,True,True,True,True,True,6539,13546,118783,N.3,B.1.243,179,2020-02-20,0
158,USA/TX-CDC-3967991-001/2021,2021-01-20,B.1.375,151258,2,2,5,True,True,True,True,True,26664,121656,129982,B.1.375,B.1.2,1484,2020-03-08,0
159,Turkey/HSGM-1396/2021,2021-01-20,B.1.1.7,151261,1,2,13,True,False,False,False,False,14120,134417,150556,B.1.1.7,Unknown (R),3526,2020-03-19,0
160,USA/WY-WPHL-21011240/2021,2021-01-20,B.1.1.316,151471,1,2,9,True,True,True,True,True,23533,22771,128624,B.1.1,B.1.1.316,179,2020-02-20,0
161,Canada/ON-S2348/2021,2021-01-20,B.1.36,151557,2,2,7,True,True,True,True,True,17058,150684,150573,B.1,B.1.36,150684,2020-05-23,0
162,Netherlands/ZE-RIVM-11011/2021,2021-01-20,B.1.177,151663,1,2,14,True,True,True,True,True,28093,105766,147050,B.1.177,B.1.221,5867,2020-02-22,0
