,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,breakpoint,breakpoint_interval_left,breakpoint_interval_right,left_parent,right_parent,left_parent_imputed_lineage,right_parent_imputed_lineage,mrca,mrca_date,fwd_bck_parents_max_dist,parents_dist_days
35,Mexico/SLP-InDRE-77/2020,2020-11-01,B.1.397,68294,1,2,15,False,True,True,True,False,3867,3097,3868,21945,38776,B.1,B.1.397,21945,2020-04-27,12.0,156.8833333333332
36,USA/OR-OHSU-4349/2020,2020-11-03,B.1.561,70563,33,2,13,False,True,True,True,False,22000,21975,22001,41632,17599,B.1.561,B.1.1.348,179,2020-02-20,14.0,228.20000000000005
37,England/MILK-B56AD5/2020,2020-11-05,B.1.1,72975,15,2,15,True,True,True,True,True,24193,21633,24194,52215,13766,B.1.1,B.1.391,179,2020-02-20,0.0,240.60000000000002
38,USA/CA-ALSR-4644/2020,2020-11-10,B.1.561,77624,244,2,13,False,False,False,False,False,22000,21975,22001,41632,2999,B.1.561,B.1.1,179,2020-02-20,,229.60000000000002
39,USA/MD-MDH-0464/2020,2020-11-11,B.1.2,78705,22,2,10,True,True,True,True,True,11416,10970,11417,23408,75186,B.1.2,B.1.2,23408,2020-06-30,0.0,131.94592991913748
40,England/CAMB-1BADB2/2020,2020-11-12,B.1.160,79871,1,2,3,True,True,True,True,True,29712,29400,29713,78686,10368,B.1.160,B.39,1,2019-12-26,0.0,321.20000000000005
41,England/CAMC-B9855E/2020,2020-11-15,B.1.1,82798,5,2,12,False,True,True,True,False,20467,20385,20468,5868,44855,B.1,B.1.1,5868,2020-02-21,2.0,234.10000000000002
42,SouthAfrica/KRISP-K005336/2020,2020-11-15,B.1.1.412,83358,1,2,4,True,True,True,True,True,25552,22676,25553,45746,13926,B.1.1.412,B.1,179,2020-02-20,0.0,236.20000000000005
43,Denmark/DCGC-9270/2020,2020-11-16,B.1.1,84277,5,2,6,True,True,True,True,True,25587,15452,25588,63659,63658,Unknown (R),B.1.1,63659,2020-09-01,0.0,59.72500000000002
44,USA/NY-NYCPHL-001358/2020,2020-11-16,B.1.311,84493,1,2,6,True,True,True,True,True,9611,8107,9612,14066,47121,B.1,B.1.311,1484,2020-03-08,0.0,220.4571428571429
45,Denmark/DCGC-9249/2020,2020-11-16,B.1,84515,1,2,14,True,False,True,True,False,25350,16429,25351,5620,25237,B.1,B.1.1.51,179,2020-02-20,8.0,194.79999999999995
46,SouthAfrica/KRISP-EC-K005220/2020,2020-11-18,B.1,85776,1,2,6,True,True,True,True,True,22206,21802,22207,78301,10497,B.1.351,B.1.1.220,179,2020-02-20,0.0,242.31999999999994
47,SouthAfrica/NHLS-UCT-GS-1396-KRISP/2020,2020-11-18,B.1.351,85808,11,2,8,True,True,True,True,True,25996,22300,25997,80049,70504,B.1.351,B.1.351,70730,2020-10-05,0.0,39.825000000000045
48,England/C200050044/2020,2020-11-19,B.1,86179,1,2,9,False,True,True,True,False,26735,26462,26736,57222,47120,B.1.177,B.1.36,179,2020-02-20,24.0,237.79999999999995
49,England/LIVE-DC28F6/2020,2020-11-24,B.1.177.16,89875,2,2,5,True,True,True,True,True,3256,1387,3257,27897,44641,AD.2,B.1.177.16,5867,2020-02-22,0.0,229.77999999999997
50,USA/MI-MDHHS-SC22669/2020,2020-11-29,B.1,93500,1,3,30,False,True,True,True,False,12756,11596,12757,32561,46584,B.1,B.1,6502,2020-03-10,6.0,142.9522448979592
51,USA/MI-MDHHS-SC22669/2020,2020-11-29,B.1,93500,1,3,30,False,True,True,True,False,26375,26048,26376,46584,9770,B.1,B.1,1484,2020-03-08,9.0,144.59578231292517
52,Belgium/ULG-11044/2020,2020-11-30,B.1,94403,1,2,5,True,True,True,True,True,21855,19736,21856,81246,93252,B.1.221,B.1.160,179,2020-02-20,0.0,283.20000000000005
53,Germany/TH-IIMK-CaSe-12/2020,2020-11-30,B.1,94579,6,2,7,False,True,True,True,False,16889,15983,16890,41027,21960,B.1.160,B.1.1.25,179,2020-02-20,8.0,232.79999999999995
54,Japan/IC-0370/2020,2020-12-01,B.1.222,94942,1,2,5,True,True,True,True,False,24910,20269,24911,2125,26974,B.1.222,B.1.258,179,2020-02-20,1.0,205.79999999999995
55,USA/CA-CZB-15422/2020,2020-12-02,B.1.404,95814,51,2,14,True,True,True,True,False,19962,19087,19963,69564,59018,B.1.404,Unknown,247,2020-02-25,5.0,257.33333333333326
56,Netherlands/GE-RIVM-20322/2020,2020-12-03,B.1,96527,1,2,8,True,True,True,True,True,11511,8984,11512,14535,95678,B.1.1,B.1.221,14535,2020-04-23,0.0,223.20000000000005
57,SouthAfrica/Tygerberg-397/2020,2020-12-03,B.1,96566,2,2,12,True,True,True,True,True,5144,3839,5145,18709,86297,B.1.237,B.1.237,247,2020-02-25,0.0,271.1333333333332
58,USA/CA-CHLA-PLM45177859/2020,2020-12-04,B.1,97568,1,2,5,True,True,True,True,True,4421,4301,4422,1,95747,B,B.1,1,2019-12-26,0.0,342.4
59,SouthAfrica/Tygerberg-411/2020,2020-12-05,B,98219,1,2,3,True,True,True,True,False,14408,5231,14409,96562,1,B.1.351,B,1,2019-12-26,5.0,343.4
60,USA/CA-SEARCH-5352/2020,2020-12-10,B.1,102949,4,2,10,True,True,True,True,True,23059,3494,23060,42196,13005,B.1,B.1,1269,2020-03-03,0.0,176.10833333333323
61,USA/WA-UW-47409/2020,2020-12-10,B.1.438,103046,7,2,12,True,True,True,True,True,26882,25564,26883,19487,97574,B.1.438,B.1,179,2020-02-20,0.0,289.20000000000005
62,USA/UT-UPHL-2101063553/2020,2020-12-15,B.1.2,108635,1,2,17,False,True,True,True,True,20268,18487,20269,95811,21563,B.1,B.1.2,179,2020-02-20,0.0,146.34933333333333
63,Netherlands/NH-RIVM-21074/2020,2020-12-15,B.1,108816,1,2,7,False,True,True,True,False,25437,22993,25438,77426,91167,B.1,B.1.221,5867,2020-02-22,10.0,269.5
64,NewZealand/20CV0663/2020,2020-12-15,B.1.177.86,108885,1,2,5,True,True,True,True,True,15324,8984,15325,75136,45030,B.1.221,B.1.177.86,5867,2020-02-22,0.0,267.9
65,USA/NY-Wadsworth-290403-01/2020,2020-12-16,B.1.526,110261,3793,2,7,True,True,True,True,True,22320,21059,22321,19291,89240,B.1,B.1.526,19291,2020-04-05,5.0,236.9068027210884
66,USA/MD-HP12129/2020,2020-12-20,B.1,114081,3,2,14,True,True,True,True,True,25680,23636,25681,12459,97787,B.1,B.1,6502,2020-03-10,0.0,257.7829251700681
67,HongKong/CM20000489/2020,2020-12-20,B.1.471,114134,1,2,14,False,True,True,True,False,12400,11759,12401,13171,74259,B.1,B.1.471,179,2020-02-20,4.0,269.6
68,Turkey/HSGM-87/2020,2020-12-20,B.1.1,114289,2,2,5,True,True,True,True,True,18744,15182,18745,17763,52114,B.1.1,B.1.1,5867,2020-02-22,3.0,149.84249999999997
69,Turkey/HSGM-18000/2020,2020-12-20,B.1,114758,1,2,20,False,True,True,True,True,15016,9857,15017,8416,83181,B.1,B.1,247,2020-02-25,0.0,271.33333333333326
70,USA/CA-LACPHL-AF00072/2020,2020-12-21,B.1.429,115469,1,2,11,True,True,True,True,True,24349,23594,24350,15806,112000,B.1,B.1.429,179,2020-02-20,0.0,302.6
71,Denmark/DCGC-23278/2020,2020-12-21,B.1.177,116024,1,2,5,True,True,True,True,True,29543,28933,29544,107652,31339,B.1.177,B.1,179,2020-02-20,0.0,291.67466666666667
72,USA/CA-CSMC333/2020,2020-12-21,B.1.404,116079,12,2,9,False,True,True,True,True,19962,13020,19963,69564,112618,B.1.404,B.1.404,247,2020-02-25,0.0,286.5333333333333
73,Ireland/D-NVRL-20IRL12095/2020,2020-12-22,B.1.1.7,116992,28,2,4,True,True,True,True,True,27972,24915,27973,82816,11820,B.1.1.7,B.1,179,2020-02-20,1.0,257.226
74,USA/AZ-TG704052/2020,2020-12-23,B.1,118019,1,2,14,False,True,True,True,False,25456,23523,25457,20655,96973,B.1.36,B.1,464,2020-03-02,5.0,250.64999999999998
75,England/QEUH-CCCB30/2020,2020-12-23,B.1.1.7,118097,2,2,3,True,True,True,True,True,6954,6529,6955,36982,111767,B.1.36,B.1.1.7,179,2020-02-20,0.0,303.0
76,Japan/IC-0477/2020,2020-12-23,B.1.1.432,118348,3,2,14,True,True,True,True,True,21137,20269,21138,97004,5434,B.1.1,B.1,179,2020-02-20,2.0,188.20000000000005
77,Israel/CVL-69-ngs/2020,2020-12-24,B.1.1.7,119090,29,2,12,False,False,False,False,False,24506,23732,24507,105134,13244,B.1.1.7,B.1.1.372,179,2020-02-20,,298.4
78,Norway/7337/2020,2020-12-24,A,119390,3,2,9,True,True,True,True,True,9223,6634,9224,1129,109829,A.1,A,7,2020-01-05,0.0,347.6
79,France/GE-IPP11366/2020,2020-12-24,B.1.367,119532,1,2,5,True,True,True,True,True,27632,12074,27633,117073,22848,B.1.367,B.1.367,22848,2020-06-28,0.0,177.61261160714287
80,Israel/CVL-3-ngs/2020,2020-12-24,B.1.36,119621,1,2,6,True,True,True,True,False,3137,2837,3138,42621,95665,B.1.1.448,B.1.36.8,179,2020-02-20,3.0,290.4
81,Egypt/CUNCI-HGC9I022/2020,2020-12-25,A,119787,8,2,18,True,True,True,True,True,9223,6634,9224,11617,109829,A.1,A,7,2020-01-05,0.0,347.79999999999995
82,Singapore/1516/2020,2020-12-25,B.1,120221,1,2,11,True,True,True,True,True,4543,1496,4544,13046,86276,B.1,B.1,464,2020-03-02,0.0,269.20000000000005
83,England/SHEF-10D314C/2020,2020-12-26,B.1.177,121422,1,2,4,True,True,True,True,True,1758,913,1759,50344,78497,B.1.177.7,B.1.177,25085,2020-08-06,0.0,80.81015624999998
84,USA/NY-Wadsworth-21005106-01/2020,2020-12-26,A.2.5,121575,133,2,23,False,True,True,True,True,12815,11006,12816,94813,21776,A.2.5,A.2,7,2020-01-05,2.0,336.0
85,UnitedArabEmirates/4285/2020,2020-12-27,B.1.1,121932,1,2,9,False,True,True,True,False,16176,15280,16177,69108,12681,B.1.1.7,B.1.1,179,2020-02-20,11.0,241.144
86,Denmark/DCGC-27419/2020,2020-12-28,B.1.1.7,123459,1,2,7,True,True,True,True,True,27972,26802,27973,76871,115183,B.1.1.7,B.1.177,179,2020-02-20,0.0,288.0
87,England/QEUH-D84070/2020,2020-12-29,B.1.214.2,124925,155,2,21,False,True,True,True,True,28271,28112,28272,85196,92131,B.1,B.1.1.7,179,2020-02-20,10.0,287.4
88,India/KA-NIMH-SEQ-46/2020,2020-12-30,B.1.36.29,126311,2,2,10,True,True,True,True,True,12765,9923,12766,124069,123536,B.1.36,B.1.36.29,124069,2020-10-08,0.0,82.03769531249998
89,USA/NC-CDC-STM-209/2020,2020-12-31,B.1.1.329,126893,2,2,8,True,True,True,True,True,11872,9522,11873,73024,97666,B.1.1,B.1.1.329,179,2020-02-20,0.0,293.4
90,Israel/CVL-998ngs/2020,2020-12-31,B.1.1.50,126969,1,2,12,True,True,True,True,True,28854,28089,28855,119181,23064,B.1.1.50,B.1.1.50,23136,2020-07-03,0.0,175.52499999999998
91,Netherlands/NH-RIVM-21095/2020,2020-12-31,B.1,127081,28,2,15,False,False,False,False,False,15766,15280,15767,119538,119661,B.1.160,B.1.1.7,179,2020-02-20,,309.4
92,USA/UT-UPHL-2101178518/2020,2020-12-31,B.1.1.7,127427,40,2,3,True,True,True,True,True,28095,25136,28096,75373,121050,B.1.1.7,B.1.1.7,42699,2020-08-29,0.0,120.25
93,Finland/1T1DE5_S162/2021,2021-01-01,B.1,128323,2,3,14,False,True,True,True,True,11459,9527,11460,31199,69686,B.1.160,B.1.258,179,2020-02-20,7.0,255.20000000000005
94,Finland/1T1DE5_S162/2021,2021-01-01,B.1,128323,2,3,14,False,True,True,True,True,20268,18797,20269,69686,55635,B.1.258,B.1.160,179,2020-02-20,2.0,255.20000000000005
95,Japan/IC-0575/2021,2021-01-03,B.1.1.397,130554,4,2,12,True,True,True,True,True,21974,20235,21975,19874,129791,B.1.1.57,B.1.1.397,5867,2020-02-22,0.0,315.70000000000005
96,England/ALDP-F752D4/2021,2021-01-03,B.1.1.7,131112,25,2,4,True,True,True,True,True,27382,25438,27383,110818,121606,B.1.1.7,B.1.1.7,42699,2020-08-29,0.0,115.95000000000005
97,USA/MI-CDC-STM-A100223/2021,2021-01-04,B.1.361,131267,2,2,5,False,True,True,True,True,27964,26952,27965,42209,49256,B.1.361,B.1.2,1484,2020-03-08,8.0,219.05714285714282
98,USA/CA-CDC-STM-A100052/2021,2021-01-04,B.1.1,131743,13,2,13,True,True,True,True,True,23426,23423,23427,96114,114496,B.1.1,B.1.1,2407,2020-03-10,0.0,178.265
99,USA/NY-NYCPHL-002150/2021,2021-01-04,B.1.1,131811,1,2,12,True,True,True,True,True,20139,17152,20140,94778,122811,B.1.1,B.1.1,94778,2020-05-19,0.0,182.72500000000002
100,Poland/Pomorskie_MWB_48/2021,2021-01-05,B.1.258,132944,1,2,18,False,True,True,True,False,12988,8048,12989,14535,24089,B.1.1,B.1.258,179,2020-02-20,9.0,143.36
101,Netherlands/FR-RIVM-10525/2021,2021-01-06,B.1.177.62,134584,1,2,13,True,True,True,True,True,958,678,959,8447,133094,B.1.1,B.1.177.62,5867,2020-02-22,0.0,236.07600000000002
102,USA/CA-ALSR-6209/2021,2021-01-06,B.1,134717,1,2,10,False,True,True,True,True,18424,17015,18425,95780,97816,B.1.2,B.1.429,1484,2020-03-08,7.0,276.25714285714287
103,Switzerland/ZH-ETHZ-451295/2021,2021-01-07,B.1.1.374,135135,32,2,10,True,True,True,True,True,10323,8837,10324,115244,16865,B.1.1.374,B.1,16865,2020-03-26,0.0,273.5953125
104,USA/CA-ALSR-6062/2021,2021-01-07,B.1.2,135547,11,2,8,True,True,True,True,True,10319,9932,10320,17847,113944,B.1,B.1.2,1484,2020-03-08,0.0,290.8571428571429
105,France/PDL-IPP00344/2021,2021-01-07,B.1,135669,1,3,16,False,True,True,True,False,15766,13994,15767,11762,66452,B.1.465,B.1.160,1089,2020-03-06,11.0,252.5999999999999
106,France/PDL-IPP00344/2021,2021-01-07,B.1,135669,1,3,16,False,True,True,True,False,25710,25564,25711,66452,31271,B.1.160,B.1.416,179,2020-02-20,0.0,266.79999999999995
107,USA/MI-UM-10037727417/2021,2021-01-07,B.1.596,135706,1,3,12,False,True,True,True,True,18424,16498,18425,133720,134009,B.1.234,B.1.2,179,2020-02-20,0.0,321.20000000000005
108,USA/MI-UM-10037727417/2021,2021-01-07,B.1.596,135706,1,3,12,False,True,True,True,True,27384,25909,27385,134009,133720,B.1.2,B.1.234,179,2020-02-20,0.0,321.20000000000005
109,USA/CA-LACPHL-AF00300/2021,2021-01-08,B.1.533,136383,3,2,16,False,True,True,True,True,28271,28112,28272,111492,125304,B.1,B.1.1.7,179,2020-02-20,9.0,315.79999999999995
110,USA/CA-LACPHL-AF00220/2021,2021-01-08,B.1.596,136923,1,3,18,False,True,True,True,True,15452,12879,15453,9481,111460,B.1,B.1.429,6502,2020-03-10,7.0,279.3236054421769
111,USA/CA-LACPHL-AF00220/2021,2021-01-08,B.1.596,136923,1,3,18,False,True,True,True,True,28272,27965,28273,111460,37990,B.1.429,B.1.2,1484,2020-03-08,9.0,280.9671428571429
112,USA/CA-LACPHL-AF00306/2021,2021-01-08,B.1,137029,1,2,9,False,True,True,False,False,25563,21596,25564,23686,96655,B.1,B.1.2,179,2020-02-20,,294.20000000000005
113,Finland/8T10DE7_S174/2021,2021-01-08,B.1.177.60,137056,12,2,6,False,True,True,True,True,15907,10895,15908,116961,107617,B.1.177,B.1.177.60,25085,2020-08-06,9.0,141.81015624999998
114,USA/CA-QDX-3684/2021,2021-01-08,B.1.324,137334,1,2,16,False,True,True,True,False,24031,22918,24032,95019,122876,B.1.561,B.1.429,179,2020-02-20,15.0,285.35
115,USA/IL-NM-5933/2021,2021-01-08,B.1.1.1,137355,3,2,10,True,True,True,True,True,16376,6402,16377,34914,34843,B.1.1.1,B.1.1.1,34914,2020-04-07,2.0,184.5
116,France/IDF-IPP00387/2021,2021-01-08,B.1.1,137357,1,2,10,False,True,True,True,False,9355,5630,9356,135409,13549,B.1.160,B.1.1.25,179,2020-02-20,6.0,322.20000000000005
117,Poland/Pomorskie_MWB_56/2021,2021-01-09,B.1.1.101,137896,1,2,14,True,True,True,True,True,4763,3252,4764,75728,117090,B.1.258,B.1.1.101,179,2020-02-20,0.0,309.6
118,USA/CA-QDX-3711/2021,2021-01-09,B.1,138495,1,2,17,False,True,True,True,True,27881,27613,27882,23686,96622,B.1,B.1.429,179,2020-02-20,5.0,290.21538461538466
119,USA/IL-NM-5986/2021,2021-01-10,B.1.399,139598,1,2,5,True,True,True,True,True,10279,10158,10280,45518,95818,B.1.1.67,B.1.399,179,2020-02-20,0.0,293.79999999999995
120,England/CAMC-FB1BD1/2021,2021-01-10,B.1.1,139726,5,2,6,True,True,True,True,True,19839,12723,19840,16259,95821,B.1.1,B.1.1,179,2020-02-20,0.0,293.79999999999995
121,Denmark/DCGC-34080/2021,2021-01-11,B.1.177,140412,1,2,3,True,True,True,True,False,29366,28933,29367,93713,1,B.1.177.35,B,1,2019-12-26,13.0,348.4
122,Switzerland/un-32986844/2021,2021-01-11,B.1.1.7,140750,6,2,3,True,True,True,True,False,28271,28112,28272,65745,11820,B.1.1.7,B.1,179,2020-02-20,19.0,266.79999999999995
123,Ireland/TA-NVRL-83IRL18352/2021,2021-01-11,B.1.1.7,140878,2,3,16,False,True,True,True,True,17615,16177,17616,69144,71317,B.1.1.7,B.1.177,179,2020-02-20,5.0,271.6
124,Ireland/TA-NVRL-83IRL18352/2021,2021-01-11,B.1.1.7,140878,2,3,16,False,True,True,True,True,28271,28112,28272,71317,60174,B.1.177,B.1.1.7,179,2020-02-20,5.0,271.6
125,USA/MD-HP01212/2021,2021-01-11,B.1.2,140886,1,2,9,True,True,True,True,True,11521,10229,11522,128914,59562,B.1.2,B.1.2,23408,2020-06-30,0.0,188.14592991913742
126,Switzerland/GE-32967707/2021,2021-01-13,B.1.1.7,143082,2,2,3,True,True,True,True,True,28095,20845,28096,140736,119661,B.1.1.7,B.1.1.7,119661,2020-08-09,0.0,155.99374999999998
127,USA/MI-MDHHS-SC23143/2021,2021-01-14,B.1.2,143733,1,2,4,True,True,True,True,True,17707,7096,17708,140576,137367,B.1.2,B.1.2,137367,2020-10-14,0.0,90.39709299191384
128,Switzerland/un-32967513/2021,2021-01-14,B.1,144099,1,2,4,True,True,True,True,False,10525,10098,10526,23211,137817,B.1.1,C.35,179,2020-02-20,4.0,325.0
129,Israel/CVL-2582/2021,2021-01-14,B.1,144261,1,3,13,False,True,True,True,False,3482,3139,3483,125813,66399,B.1.1.50,B.1,179,2020-02-20,3.0,317.0
130,Israel/CVL-2582/2021,2021-01-14,B.1,144261,1,3,13,False,True,True,True,False,26060,25997,26061,66399,47277,B.1,B.1.558,179,2020-02-20,13.0,317.0
131,France/OCC-244/2021,2021-01-14,A.28,144351,1,2,4,True,True,True,True,False,2197,914,2198,121052,136246,B.1.1.7,A.28,1,2019-12-26,26.0,369.79999999999995
132,Israel/CVL-2515/2021,2021-01-14,B.1.177.35,144441,1,3,18,False,False,False,False,False,16176,15280,16177,31309,140956,B.1.177.44,B.1.1.7,179,2020-02-20,,313.31999999999994
133,Israel/CVL-2515/2021,2021-01-14,B.1.177.35,144441,1,3,18,False,False,False,False,False,23271,21235,23272,140956,127081,B.1.1.7,Unknown (R),119661,2020-08-09,,142.91374999999994
134,USA/CO-CDPHE-2100232299/2021,2021-01-15,B.1.243,145063,2,2,8,True,True,True,True,True,7534,6540,7535,37875,118783,B.1.36.18,B.1.243,179,2020-02-20,0.0,312.4
135,USA/WI-UW-3032/2021,2021-01-15,B.1.2,145386,3,2,7,True,True,True,True,True,13860,12720,13861,134895,109486,B.1.2,B.1.2,26018,2020-08-02,2.0,142.44864330637915
136,USA/GA-CDC-STM-000002905/2021,2021-01-16,B.1.1,146338,6,2,19,False,True,True,True,True,8883,6634,8884,21722,9425,B.1.1.52,B.1.1,179,2020-02-20,2.0,173.39999999999998
137,Switzerland/GE-32985291/2021,2021-01-16,B.1.1.7,146609,4,2,3,True,True,True,True,True,28095,25097,28096,141723,143337,B.1.1.7,B.1.1.7,143337,2020-07-22,0.0,175.19453124999995
