,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,breakpoint,breakpoint_interval_left,breakpoint_interval_right,left_parent,right_parent,left_parent_imputed_lineage,right_parent_imputed_lineage,mrca,mrca_date,fwd_bck_parents_max_dist,parents_dist_days
10,Italy/FVG-ICGEB-S214/2020,2020-07-01,B.1.1.70,21499,15,2,9,False,True,True,True,False,12052,10397,12053,1697,21311,B.1.1,B.1.1.70,1697,2020-03-04,7.0,118.01538461538462
11,Israel/CVL-n26495/2020,2020-07-22,B.1.362,23304,1,2,19,True,True,True,True,True,11916,11825,11917,23068,1840,B.1.362,B.1,1484,2020-03-08,0.0,134.65714285714284
12,Israel/CVL-n26800/2020,2020-07-24,B.1,23508,1,2,16,True,True,True,True,True,10288,8906,10289,23431,23036,B.1.1.50,B.1,179,2020-02-20,0.0,154.2
13,Switzerland/BL-ETHZ-230023/2020,2020-08-03,B.1.1.70,24138,117,2,6,True,True,True,True,True,14500,14485,14501,24078,21744,B.1.1.70,B.1.1.70,21744,2020-06-15,0.0,48.19999999999999
14,England/QEUH-96BCE8/2020,2020-08-14,B.1.1.253,25287,12,2,9,True,True,True,True,True,21137,19894,21138,24948,3918,B.1.1.253,B.1.1,179,2020-02-20,0.0,175.2
15,England/QEUH-96BDC7/2020,2020-08-14,B.1.1.253,25290,1,2,6,True,True,True,True,True,27384,27218,27385,24948,248,B.1.1.253,B,1,2019-12-26,0.0,231.2
16,Switzerland/ZH-ETHZ-260008/2020,2020-08-21,B.1.1.189,26720,288,2,10,True,True,True,True,True,25471,12824,25472,24720,7333,B.1.1.189,B.1.1,5867,2020-02-22,0.0,174.3
17,England/QEUH-9985C9/2020,2020-08-24,B.1.221,26955,203,2,4,True,True,True,True,True,20661,15325,20662,24202,24096,B.1.177,B.1.221,5867,2020-02-22,0.0,168.5
18,England/MILK-9A9B96/2020,2020-08-31,B.1.160,28768,2,2,7,True,True,True,True,True,25563,22993,25564,24990,24669,B.1.160,B.1.1.70,179,2020-02-20,0.0,135.96000000000004
19,England/QEUH-9A4278/2020,2020-09-01,B.1,29489,57,2,8,True,True,True,True,True,20930,19176,20931,25927,25951,B.1,B.1.236,1269,2020-03-03,0.0,170.96666666666664
20,England/QEUH-9E5457/2020,2020-09-22,B.1.1,38540,31,2,11,True,True,True,True,True,10323,5240,10324,11029,38096,B.1.1,B.1.1,179,2020-02-20,0.0,214.2
21,USA/MI-UM-10036137935/2020,2020-09-25,B.1.361,41474,1,2,6,True,True,True,True,True,18167,16318,18168,36344,38240,B.1,B.1.361,36344,2020-08-07,0.0,46.33835034013606
22,England/QEUH-9FA01F/2020,2020-09-27,B.1,42202,1,2,7,False,True,True,True,True,13297,7391,13298,23740,38144,B.1.177,B.1.221,5867,2020-02-22,4.0,213.7
23,England/BIRM-653F1/2020,2020-09-30,B.1.177,43162,1,2,5,True,True,True,True,True,25049,11523,25050,28032,25401,B.1.177,B.1.177,23479,2020-07-06,0.0,61.48124999999999
24,England/MILK-A06404/2020,2020-10-01,B.1.36,44225,14,2,8,True,True,True,True,True,21724,20453,21725,10446,43024,B.1,B.1.36,464,2020-03-02,2.0,211.39999999999998
25,SouthAfrica/KRISP-K003722/2020,2020-10-06,B.1.237,48876,15,2,6,True,True,True,True,True,9498,7295,9499,23198,43549,B.1.237,B.1.237,43643,2020-06-12,0.0,111.81904761904758
26,England/QEUH-A4CA97/2020,2020-10-07,B.1.1.307,50118,1,2,4,True,True,True,True,True,8683,4292,8684,42302,40882,B.1.1.37,B.1.1.307,179,2020-02-20,0.0,216.64
27,Denmark/DCGC-7170/2020,2020-10-12,B.1.177,54047,2,2,6,True,False,True,True,True,22227,21615,22228,15027,28351,B.1.36.8,B.1.177,179,2020-02-20,0.0,195.78076923076924
28,England/ALDP-A683D6/2020,2020-10-12,B.1.177.4,54771,1,2,4,True,True,True,True,True,27944,27871,27945,42942,26035,B.1.177.4,B.1.221,5867,2020-02-22,0.0,223.10000000000002
29,USA/MI-UM-10036422279/2020,2020-10-13,B.1.311,55997,617,2,5,True,True,True,True,True,25658,24998,25659,24765,52137,B.1,B.1.311,1484,2020-03-08,0.0,216.8571428571429
30,Switzerland/ZH-ETHZ-321423/2020,2020-10-14,B.1.398,57038,125,2,11,True,True,True,True,True,12312,12296,12313,52798,41547,B.1.398,B.1.234,1269,2020-03-03,0.0,223.5666666666666
31,Denmark/DCGC-7674/2020,2020-10-19,B.1.1,60927,3,2,10,True,True,True,True,False,25626,15182,25627,59006,55328,B.1.1,B.1.1,179,2020-02-20,3.0,138.9425
32,England/ALDP-A95E93/2020,2020-10-19,B.1.177,61577,1,2,3,True,True,True,True,True,24334,21615,24335,39658,42156,B.1.177,B.1.177,23479,2020-07-06,0.0,87.68124999999998
33,Netherlands/NB-RIVM-10397/2020,2020-10-19,B.1.177,61773,1,2,6,True,True,True,True,True,23236,14579,23237,58573,24101,B.1.177,B.1.177,23479,2020-07-06,0.0,102.08125000000001
34,England/QEUH-A9F619/2020,2020-10-20,B.1,62804,2,2,3,True,True,True,True,True,25505,22993,25506,40522,24990,B.1.221,B.1.160,179,2020-02-20,0.0,222.2
35,England/MILK-AC83F2/2020,2020-10-21,B.1.177.54,64752,33,2,4,True,True,True,True,True,23644,20179,23645,33941,36315,B.1.177.57,B.1.177.54,24983,2020-08-13,0.0,31.30000000000001
36,England/CAMC-AAF625/2020,2020-10-23,B.1.177,67595,1,2,3,True,True,True,True,False,11396,6287,11397,23211,25639,B.1.1,B.1.177,5867,2020-02-22,3.0,190.89999999999998
37,Scotland/CVR5483/2020,2020-10-31,B.1.177.53,75264,1,2,3,True,True,True,True,False,28371,27945,28372,44859,70471,B.1.177.53,B.1.258.3,179,2020-02-20,13.0,250.0
38,Mexico/SLP-InDRE-77/2020,2020-11-01,B.1.397,76566,1,2,15,False,True,True,True,False,3867,3097,3868,21945,39087,B.1,B.1.397,21945,2020-04-27,12.0,156.88333333333333
39,USA/OR-OHSU-4349/2020,2020-11-03,B.1.561,79985,112,2,13,False,True,True,True,False,22000,21975,22001,42557,17599,B.1.561,B.1.1.348,179,2020-02-20,14.0,228.2
40,USA/CA-ALSR-4644/2020,2020-11-10,B.1.561,89893,276,2,13,False,False,False,False,False,22000,21975,22001,42557,2999,B.1.561,B.1.1,179,2020-02-20,,229.60000000000002
41,USA/MD-MDH-0464/2020,2020-11-11,B.1.2,91627,104,2,10,True,True,True,True,True,11416,10970,11417,23408,86978,B.1.2,B.1.2,23408,2020-06-30,0.0,131.94592991913746
42,England/CAMB-1BADB2/2020,2020-11-12,B.1.160,92528,1,2,3,True,True,True,True,True,29712,29400,29713,90310,10368,B.1.160,B.39,1,2019-12-26,0.0,321.2
43,England/CAMC-B9855E/2020,2020-11-15,B.1.1,97244,9,2,12,False,True,True,True,False,20467,20385,20468,5868,46177,B.1,B.1.1,5868,2020-02-21,11.0,234.10000000000002
44,SouthAfrica/KRISP-K005336/2020,2020-11-15,B.1.1.412,97804,1,2,4,True,True,True,True,True,25552,22676,25553,47529,13926,B.1.1.412,B.1,179,2020-02-20,0.0,236.2
45,USA/NY-NYCPHL-001358/2020,2020-11-16,B.1.311,99057,1,2,6,True,True,True,True,True,9611,8107,9612,14066,48892,B.1,B.1.311,1484,2020-03-08,0.0,220.45714285714286
46,SouthAfrica/KRISP-EC-K005220/2020,2020-11-18,B.1,100373,1,2,6,True,True,True,True,True,22206,21802,22207,91594,10497,B.1.351,B.1.1.220,179,2020-02-20,0.0,242.32
47,SouthAfrica/NHLS-UCT-GS-1396-KRISP/2020,2020-11-18,B.1.351,100406,19,2,8,True,True,True,True,True,25996,22300,25997,92849,79926,B.1.351,B.1.351,80155,2020-10-05,0.0,39.82499999999999
48,England/C200050044/2020,2020-11-19,B.1,100772,1,2,9,False,True,True,True,False,26735,26462,26736,61555,48232,B.1.177,B.1.36,179,2020-02-20,24.0,237.8
49,Japan/IC-0343/2020,2020-11-23,B.1.1,105275,49,2,18,False,True,True,True,True,8883,6634,8884,21722,9425,B.1.1.52,B.1.1,179,2020-02-20,2.0,162.60000000000002
50,England/LIVE-DC28F6/2020,2020-11-24,B.1.177.16,105900,2,2,5,True,True,True,True,True,3256,1387,3257,27897,45963,AD.2,B.1.177.16,5867,2020-02-22,0.0,229.77999999999997
51,USA/MI-MDHHS-SC22669/2020,2020-11-29,B.1,109511,1,3,30,False,True,True,True,False,12756,11596,12757,32561,48887,B.1,B.1,6502,2020-03-10,6.0,142.9522448979592
52,USA/MI-MDHHS-SC22669/2020,2020-11-29,B.1,109511,1,3,30,False,True,True,True,False,26375,26048,26376,48887,9770,B.1,B.1,1484,2020-03-08,9.0,144.59578231292517
53,Belgium/ULG-11044/2020,2020-11-30,B.1,109671,1,2,5,True,True,True,True,True,21855,19736,21856,94883,93049,B.1.221,B.1.160,179,2020-02-20,0.0,270.4
54,Germany/TH-IIMK-CaSe-12/2020,2020-11-30,B.1,111549,21,2,7,False,True,True,True,False,16889,15983,16890,109264,21960,B.1.160,B.1.1.25,179,2020-02-20,8.0,272.96000000000004
55,Japan/IC-0370/2020,2020-12-01,B.1.222,112252,1,2,4,True,True,True,True,False,24910,22226,24911,2125,53012,B.1.222,B.1.258,179,2020-02-20,1.0,245.0
56,Netherlands/GE-RIVM-20322/2020,2020-12-03,B.1,113827,1,2,8,True,True,True,True,True,11511,8984,11512,14535,112988,B.1.1,B.1.221,14535,2020-04-23,0.0,223.2
57,SouthAfrica/Tygerberg-397/2020,2020-12-03,B.1,113864,3,2,12,True,True,True,True,True,5144,3839,5145,18709,100892,B.1.237,B.1.237,247,2020-02-25,0.0,271.1333333333333
58,USA/CA-CHLA-PLM45177859/2020,2020-12-04,B.1,114853,1,2,5,True,True,True,True,True,4421,4301,4422,1,113056,B,B.1,1,2019-12-26,0.0,342.4
59,SouthAfrica/Tygerberg-411/2020,2020-12-05,B,115500,3,2,3,True,True,True,True,False,14408,5231,14409,113860,1,B.1.351,B,1,2019-12-26,5.0,343.4
60,Denmark/DCGC-18640/2020,2020-12-07,B.1.177.77,118093,1,2,3,True,True,True,True,True,26491,24621,26492,88082,83998,B.1.177.77,B.1.177.7,25107,2020-07-22,0.0,116.445703125
61,Denmark/DCGC-19362/2020,2020-12-07,B.1.177,118363,3,2,6,True,True,True,True,True,6286,446,6287,16105,87196,B.1,B.1.177.12,179,2020-02-20,0.0,211.72145454545455
62,SouthAfrica/Tygerberg-458/2020,2020-12-07,B.1.351,118957,1,2,7,True,True,True,True,True,25171,22207,25172,101711,91594,B.1.351,B.1.351,80155,2020-10-05,2.0,50.025000000000006
63,USA/CA-CHLA-PLM41118038/2020,2020-12-07,B.1.438,119002,16,2,9,True,True,True,True,True,26882,25564,26883,52789,114859,B.1.438,B.1,179,2020-02-20,0.0,288.6
64,USA/CA-SEARCH-5352/2020,2020-12-10,B.1,123724,16,2,10,True,True,True,True,True,23059,3494,23060,43126,13005,B.1,B.1,1269,2020-03-03,0.0,176.1083333333333
65,USA/NY-Wadsworth-286676-01/2020,2020-12-14,B.1.2,133004,164,2,6,True,True,True,True,True,25687,17782,25688,111775,21563,B.1.2,B.1.2,21563,2020-03-22,0.0,256.56743935309976
66,Netherlands/NH-RIVM-21074/2020,2020-12-15,B.1,134609,1,2,7,False,True,True,True,False,25437,24756,25438,89693,53166,B.1,B.1.221,5867,2020-02-22,11.0,269.5
67,NewZealand/20CV0663/2020,2020-12-15,B.1.177.86,134637,1,2,5,True,True,True,True,True,15324,8984,15325,85845,46351,B.1.221,B.1.177.86,5867,2020-02-22,0.0,267.9
68,USA/UT-UPHL-2101063553/2020,2020-12-15,B.1.2,134834,1,2,15,True,True,True,True,True,6027,5149,6028,113118,109683,B.1,B.1.2,179,2020-02-20,0.0,215.23466666666667
69,England/205141216/2020,2020-12-16,B,135228,1,2,15,True,True,True,True,True,25487,25441,25488,123551,56062,A,B.1.177.18,1,2019-12-26,0.0,351.2
70,USA/NY-Wadsworth-290403-01/2020,2020-12-16,B.1.526,136731,19220,2,7,True,True,True,True,True,22320,21059,22321,19291,105388,B.1,B.1.526,19291,2020-04-05,5.0,236.90680272108844
71,England/205221139/2020,2020-12-18,B.1.177,139729,1,2,11,False,True,True,True,False,6286,5231,6287,115493,124172,B.1.351,B.1.177,179,2020-02-20,36.0,291.6
72,England/CAMC-CB7AB3/2020,2020-12-18,B.1.1.7,140545,1,3,6,True,True,True,True,True,5388,3268,5389,137596,126843,B.1.1.7,B.1.177,179,2020-02-20,5.0,301.2
73,England/CAMC-CB7AB3/2020,2020-12-18,B.1.1.7,140545,1,3,6,True,True,True,True,True,21255,17616,21256,126843,125039,B.1.177,B.1.1.7,179,2020-02-20,4.0,301.2
74,England/CAMC-CBA018/2020,2020-12-18,B.1.1.7,140719,1,2,6,True,True,True,True,True,21255,17616,21256,38663,125039,B.1.177,B.1.1.7,179,2020-02-20,4.0,296.4
75,HongKong/CM20000489/2020,2020-12-20,B.1.471,144475,1,2,14,False,True,True,True,False,12400,11759,12401,13171,84546,B.1,B.1.471,179,2020-02-20,4.0,269.6
76,Turkey/HSGM-18000/2020,2020-12-20,B.1,144650,4,2,20,False,True,True,True,True,15016,9857,15017,8416,97620,B.1,B.1,247,2020-02-25,0.0,271.3333333333333
77,USA/MD-HP12129/2020,2020-12-20,B.1,144715,5,2,14,True,True,True,True,True,25680,23636,25681,12459,115070,B.1,B.1,6502,2020-03-10,0.0,257.78292517006804
78,Denmark/DCGC-23278/2020,2020-12-21,B.1.177,148070,1,2,5,True,True,True,True,True,29543,28933,29544,130149,31339,B.1.177,B.1,179,2020-02-20,0.0,258.12718438538207
79,Denmark/DCGC-23315/2020,2020-12-21,B.1,148075,40,2,10,True,True,True,True,True,10319,7729,10320,135133,122027,B.1.2,B.1,1484,2020-03-08,0.0,279.45714285714286
80,Denmark/DCGC-23331/2020,2020-12-21,B.1.1.70,148077,1,2,5,True,True,True,True,True,10265,8048,10266,28981,130958,B.1.258,B.1.1.70,179,2020-02-20,0.0,255.4448
81,USA/CA-LACPHL-AF00072/2020,2020-12-21,B.1.429,149945,1,2,11,True,True,True,True,False,24349,23594,24350,76742,141525,Unknown,B.1.429,179,2020-02-20,3.0,302.6
82,Ireland/D-NVRL-20IRL12095/2020,2020-12-22,B.1.1.7,151237,160,2,4,True,True,True,True,True,27972,24915,27973,97261,11820,B.1.1.7,B.1,179,2020-02-20,1.0,253.10399999999998
83,England/QEUH-CCCB30/2020,2020-12-23,B.1.1.7,152351,2,2,3,True,True,True,True,True,6954,6529,6955,37293,140751,B.1.36,B.1.1.7,179,2020-02-20,0.0,303.0
84,Japan/IC-0477/2020,2020-12-23,B.1.1.432,152518,6,2,14,True,True,True,True,True,21137,20269,21138,114294,5434,B.1.1,B.1,179,2020-02-20,2.0,188.2
85,USA/AZ-TG704052/2020,2020-12-23,B.1,152773,2,2,14,False,True,True,True,False,25456,23523,25457,20655,114263,B.1.36,B.1,464,2020-03-02,5.0,250.65
86,France/GE-IPP11366/2020,2020-12-24,B.1.367,153748,1,2,5,True,True,True,True,True,27632,12074,27633,151186,22848,B.1.367,B.1.367,22848,2020-06-28,0.0,177.6126116071429
87,Israel/CVL-15-ngs/2020,2020-12-24,B.1.1.7,153786,177,2,9,False,True,True,True,True,28271,28112,28272,150454,11820,B.1.1.7,B.1,179,2020-02-20,0.0,269.0496
88,Israel/CVL-3-ngs/2020,2020-12-24,B.1.36,153822,1,2,6,True,True,True,True,True,3137,2837,3138,141640,112975,B.1.1,B.1.36.8,179,2020-02-20,12.0,290.4
89,Israel/CVL-69-ngs/2020,2020-12-24,B.1.1.7,153861,21,3,11,False,True,True,True,False,6954,5987,6955,20281,135691,B.1.1.273,B.1.1.7,179,2020-02-20,17.0,301.6
90,Israel/CVL-69-ngs/2020,2020-12-24,B.1.1.7,153861,21,3,11,False,True,True,True,False,24506,23732,24507,135691,13244,B.1.1.7,B.1.1.372,179,2020-02-20,8.0,301.6
91,Singapore/1516/2020,2020-12-25,B.1,154880,1,2,11,True,True,True,True,True,4543,1496,4544,13046,100871,B.1,B.1,464,2020-03-02,0.0,269.2
92,England/QEUH-CDEB0E/2020,2020-12-26,B.1.36,156255,1,2,14,False,True,True,True,True,18132,15739,18133,21586,126207,B.1.1,B.1.36,179,2020-02-20,6.0,170.94869791666667
93,England/SHEF-10D314C/2020,2020-12-26,B.1.177,156399,1,2,4,True,True,True,True,True,1758,913,1759,52169,85721,B.1.177.7,B.1.177,25085,2020-08-06,0.0,104.01015625
94,USA/NY-Wadsworth-21005106-01/2020,2020-12-26,A.2.5,156978,792,2,23,False,True,True,True,True,12815,11006,12816,112122,21776,A.2.5,A.2,7,2020-01-05,2.0,336.0
95,UnitedArabEmirates/4285/2020,2020-12-27,B.1.1,158908,1,2,9,False,True,True,True,False,16176,15280,16177,150874,12681,B.1.1.7,B.1.1,179,2020-02-20,11.0,307.0
96,UnitedArabEmirates/4302/2020,2020-12-27,B.1.1.7,158913,279,2,8,True,True,True,True,False,28095,28049,28096,132046,11820,B.1.1.7,B.1,179,2020-02-20,18.0,300.6
97,Denmark/DCGC-27419/2020,2020-12-28,B.1.1.7,162329,2,2,7,False,True,True,True,True,27944,26802,27945,88038,118362,B.1.1.7,B.1.177,179,2020-02-20,10.0,295.2
98,France/IDF-IPP11370/2020,2020-12-28,B.1.367,163238,1,2,5,True,True,True,True,True,14230,12074,14231,136457,11384,B.1.367,B.1,1484,2020-03-08,0.0,254.93714285714287
99,Italy/ABR-IZSGC-369548/2020,2020-12-28,B.1.1.7,163423,1,2,15,False,True,True,True,False,13009,8604,13010,67379,154639,B.1.177.10,B.1.1.7,179,2020-02-20,14.0,309.6
100,Japan/IC-0524/2020,2020-12-28,P.7,163466,8,2,11,True,True,True,True,True,15237,11597,15238,119464,120417,P.7,B.1.1.28,120417,2020-10-11,0.0,62.9375
101,Nigeria/FC-CV559/2020,2020-12-28,A,163571,1,2,17,False,True,True,True,True,8179,4544,8180,126150,84,B.1.1.10,A,1,2019-12-26,2.0,326.4
102,USA/CA-CDC-STM-038/2020,2020-12-28,B.1.375,163732,1,2,4,True,True,True,True,True,12880,8918,12881,143246,157189,B.1.375,B.1.375,133343,2020-10-03,0.0,79.19221938775513
103,USA/CA-CDPH-UC675/2020,2020-12-28,B.1.243,163741,1,2,16,True,True,True,True,True,4510,2486,4511,96897,157266,B.1.1.302,B.1,179,2020-02-20,0.0,277.6
104,USA/CA-QDX-3157/2020,2020-12-28,B.1,163767,1,2,13,False,True,True,True,False,25244,18425,25245,99216,79162,B.1.371,B.1.2,1484,2020-03-08,3.0,128.15016711590295
105,USA/CA-UCSF-UC711/2020,2020-12-28,B.1,163796,1027,2,6,False,True,True,True,True,28271,28112,28272,9937,158135,B.1.1,B.1.1.7,179,2020-02-20,11.0,311.2
106,England/MILK-E071F9/2020,2020-12-29,B.1.177,165868,1,2,4,True,True,True,True,True,26491,21615,26492,62636,83998,B.1.177,B.1.177.7,23479,2020-07-06,0.0,133.88125
107,England/QEUH-D84070/2020,2020-12-29,B.1.214.2,166316,1023,2,20,True,True,True,True,True,28271,26682,28272,99793,163795,B.1,B.1,179,2020-02-20,0.0,312.2
108,Israel/CVL-574ngs/2020,2020-12-29,B.1,166546,1,2,7,True,True,True,True,False,24358,21124,24359,109491,63167,B.1,Unknown,247,2020-02-25,6.0,284.3333333333333
109,USA/CA-CDPH-UC586/2020,2020-12-29,B.1.243,166913,65,2,4,True,True,True,True,True,6539,5725,6540,13814,154067,B.1.1,B.1.243,179,2020-02-20,0.0,309.0
110,USA/WI-UW-2559/2020,2020-12-29,B.1.509,167238,1,2,10,True,True,True,True,True,25081,18487,25082,127415,144726,B.1.509,B.1.2,1484,2020-03-08,0.0,289.0571428571429
111,Colombia/BOY-INS-VG-60/2020,2020-12-30,B.1.466,167726,40,2,9,True,True,True,True,True,8479,6792,8480,159182,159297,B.1,B.1.466,159182,2020-08-04,0.0,146.99375
112,England/LOND-12E91D8/2020,2020-12-30,B.1.177,168435,2,2,9,True,True,True,True,True,24769,24507,24770,64681,43626,B.1.177.5,B.1.1.7,179,2020-02-20,4.0,258.0
113,Greece/CP0794227/2020,2020-12-30,B.1.1.7,168777,15,2,8,False,True,True,True,True,17032,16177,17033,3526,158100,B.1.1,B.1.1.7,3526,2020-03-19,2.0,272.72
114,India/KA-NIMH-SEQ-46/2020,2020-12-30,B.1.36.29,168786,3,2,10,True,True,True,True,True,12765,9923,12766,164491,163259,B.1.36,B.1.36.29,164491,2020-10-08,0.0,82.0376953125
115,Israel/CVL-889ngs/2020,2020-12-30,B.1.1.50,168804,10,2,12,True,True,True,True,False,29392,29261,29393,153834,15397,B.1.1.50,B.1.1.1,179,2020-02-20,17.0,309.2
116,USA/WA-CDC-LC00002485/2020,2020-12-30,B.1,169435,24,2,11,True,True,True,True,True,16704,15953,16705,3396,149888,B.1,B.1,3396,2020-03-14,2.0,284.3
117,Finland/HEL4-24/2020,2020-12-31,B.1.1.7,171030,3,2,8,True,True,True,True,False,28280,28272,28281,167592,51,B.1.1.7,B,1,2019-12-26,14.0,362.2864
118,Netherlands/NH-RIVM-21095/2020,2020-12-31,B.1,171221,10,2,14,False,True,True,True,True,15766,15280,15767,153898,153786,B.1.160,Unknown (R),179,2020-02-20,5.0,309.4
119,Netherlands/NH-RIVM-21096/2020,2020-12-31,B.1,171223,165,2,15,False,False,False,False,False,24914,23272,24915,158644,153786,B.1.1.7,Unknown (R),64513,2020-09-14,,105.07499999999999
120,USA/CA-CDC-STM-166/2020,2020-12-31,B.1.1.7,171375,1097,2,3,True,True,True,True,False,28271,28112,28272,156577,11820,B.1.1.7,B.1,179,2020-02-20,25.0,311.0
121,USA/NC-CDC-STM-209/2020,2020-12-31,B.1.1.329,171523,5,2,8,True,True,True,True,True,11872,9522,11873,83359,114951,B.1.1,B.1.1.329,179,2020-02-20,0.0,293.4
122,USA/UT-UPHL-2101178518/2020,2020-12-31,B.1.1.7,171657,207,2,3,True,True,True,True,True,28095,25136,28096,85911,156820,B.1.1.7,B.1.1.7,43626,2020-08-29,0.0,120.25
123,Finland/1T1DE5_S162/2021,2021-01-01,B.1,172611,21,3,14,False,True,True,True,False,11459,9527,11460,136629,79102,B.1.160.16,B.1.258,179,2020-02-20,9.0,303.2
124,Finland/1T1DE5_S162/2021,2021-01-01,B.1,172611,21,3,14,False,True,True,True,False,20268,18797,20269,79102,59585,B.1.258,B.1.160,179,2020-02-20,2.0,303.2
125,France/IDF-IPP00118/2021,2021-01-02,B.1,175088,1,2,5,True,True,True,True,True,22227,21256,22228,79708,172615,B.1.177,B.1,179,2020-02-20,0.0,316.2
126,USA/TX-CDC-STM-319/2021,2021-01-02,B.1.2,175441,22,2,7,True,True,True,True,True,19269,15339,19270,171368,169785,B.1.2,B.1.2,21563,2020-03-22,3.0,285.1674393530998
127,USA/FL-CDC-STM-A015/2021,2021-01-02,B.1.1.7,175445,9,2,6,False,True,True,True,False,28271,28112,28272,156824,25998,B.1.1.7,B.1.1.241,179,2020-02-20,28.0,293.8
128,USA/MO-CDC-LC0004080/2021,2021-01-02,B.1.2,175657,90,2,10,True,True,True,True,True,19518,15952,19519,55105,173017,B.1.2,B.1.2,49055,2020-06-27,0.0,156.43953369272236
129,Japan/IC-0575/2021,2021-01-03,B.1.1.397,177895,1,2,12,True,True,True,True,True,21974,20235,21975,19874,176066,B.1.1.57,B.1.1.397,5867,2020-02-22,0.0,284.5
130,Switzerland/GE-32860303/2021,2021-01-03,B.1,178080,2,3,14,False,True,True,True,False,15598,15280,15599,139198,171029,B.1.258,B.1.1.7,179,2020-02-20,27.0,315.6
131,Switzerland/GE-32860303/2021,2021-01-03,B.1,178080,2,3,14,False,True,True,True,False,26972,24915,26973,171029,169870,B.1.1.7,B.1.258,179,2020-02-20,27.0,315.6
132,Switzerland/un-UHB-0718900100/2021,2021-01-03,B.1.1.7,178105,3,2,8,True,True,True,True,True,11565,6955,11566,158644,120379,B.1.1.7,B.1.1.7,64513,2020-09-14,0.0,105.67499999999998
133,Denmark/DCGC-25947/2021,2021-01-04,B.1.1.433,181036,1,2,5,True,True,True,True,True,5007,446,5008,68609,104096,B.1.177,B.1.1.433,179,2020-02-20,6.0,285.4
134,USA/MI-CDC-STM-A100223/2021,2021-01-04,B.1.361,184769,4,2,5,False,True,True,True,True,27964,26952,27965,43137,51086,B.1.361,B.1.2,1484,2020-03-08,5.0,219.05714285714288
135,USA/NY-NYCPHL-002150/2021,2021-01-04,B.1.1,184954,1,2,12,True,True,True,True,True,20139,17152,20140,112095,159168,B.1.1,B.1.1,112095,2020-05-19,0.0,182.725
136,USA/NY-Wadsworth-21004169-01/2021,2021-01-04,B.1.1.1,185010,12,2,11,False,True,True,True,False,16376,6402,16377,35175,35103,B.1.1.1,B.1.1.1,35175,2020-04-07,6.0,183.7
137,USA/WA-S3855/2021,2021-01-04,B.1.241,185260,30,2,11,True,True,True,True,True,5629,4544,5630,67524,151831,B.1.160,B.1.241,179,2020-02-20,0.0,279.2208333333333
138,England/NORW-2244CC/2021,2021-01-05,B.1.177,187010,102,3,14,False,True,True,True,True,16176,15280,16177,121583,88483,B.1.1.7,B.1.177,179,2020-02-20,5.0,299.2
