recombinant,sample_id,num_descendant_samples,num_samples,distinct_sample_pango,interval_left,interval_right,num_mutations,Viridian_amplicon_scheme,Artic_primer_version,date_added,group_id,group_size,recombinant_pango,recombinant_scorpio,recombinant_time,recombinant_date,sample,sample_pango,sample_scorpio,sample_time,sample_date,parent_left,parent_left_pango,parent_left_scorpio,parent_left_time,parent_left_date,parent_right,parent_right_pango,parent_right_scorpio,parent_right_time,parent_right_date,oldest_child,oldest_child_pango,oldest_child_scorpio,oldest_child_time,oldest_child_date,parent_mrca,parent_mrca_pango,parent_mrca_scorpio,parent_mrca_time,parent_mrca_date,is_rebar_recombinant,parent_pangonet_distance,net_min_supporting_loci_lft,net_min_supporting_loci_rgt,net_min_supporting_loci_lft_rgt_ge_4,k1000_muts
1057278,SRR20392523,1,1,1,5585,6040,2,COVID-ARTIC-V4.1,.,2022-02-11,35742ebfcc,2,BA.1.1,Omicron (BA.1-like),387.7794169222037,2022-01-30,1057277,BA.1.1,Omicron (BA.1-like),375.0,2022-02-11,617279,AY.44,Delta (B.1.617.2-like),546.7530081392116,2021-08-24,1020286,BA.1.1,Omicron (BA.1-like),431.2860961935755,2021-12-17,1057277,BA.1.1,Omicron (BA.1-like),375.0,2022-02-11,59,B.1,.,1120.016020087101,2020-01-28,True,7,8,82,True,8
130133,ERR5403161,2,2,1,4891,6286,3,COVID-ARTIC-V3,3,2021-02-06,6d5e33d283,3,B.1.177,.,762.9577490248482,2021-01-20,130131,B.1.177,.,745.0,2021-02-06,32427,C.30,.,882.0000000002001,2020-09-22,55938,B.1.177,.,865.9490765313466,2020-10-09,130131,B.1.177,.,745.0,2021-02-06,59,B.1,.,1120.016020087101,2020-01-28,True,4,8,20,True,11
380339,SRR17157536,1,1,1,5649,6319,0,COVID-ARTIC-V3,.,2021-08-01,6cea3bfcf3,2,AY.3.1,Delta (B.1.617.2-like),574.363973854228,2021-07-27,380338,AY.3.1,Delta (B.1.617.2-like),569.0,2021-08-01,172085,P.1,Gamma (P.1-like),860.5858951354815,2020-10-14,327616,AY.3.1,Delta (B.1.617.2-like),590.0000000004004,2021-07-11,380338,AY.3.1,Delta (B.1.617.2-like),569.0,2021-08-01,59,B.1,.,1120.016020087101,2020-01-28,False,7,7,50,True,7
1410844,ERR10667606,4,2,1,3788,6373,0,COVID-ARTIC-V4.1,4.1alt,2022-11-25,d60c1e19fa,3,BQ.1.1,Omicron (BA.5-like),106.80476548763426,2022-11-07,1410842,BQ.1.1,Omicron (BA.5-like),88.0,2022-11-25,1383209,BA.5.1,Omicron (BA.5-like),145.0,2022-09-29,1340763,BQ.1.1,Omicron (BA.5-like),253.027877595222,2022-06-13,1410842,BQ.1.1,Omicron (BA.5-like),88.0,2022-11-25,1189192,BA.5,Omicron (BA.5-like),357.0000216920677,2022-03-01,False,8,5,18,True,5
1053479,SRR21348829,1,1,1,5387,6402,1,COVID-ARTIC-V4.1,.,2022-02-10,7662ceb343,2,BA.1,Omicron (BA.1-like),394.4538531894148,2022-01-23,1053478,BA.1,Omicron (BA.1-like),376.0,2022-02-10,777713,AY.103,Delta (B.1.617.2-like),558.1894176098868,2021-08-12,880611,BA.1.1,Omicron (BA.1-like),437.0000000002,2021-12-11,1053478,BA.1,Omicron (BA.1-like),376.0,2022-02-10,59,B.1,.,1120.016020087101,2020-01-28,True,7,8,78,True,7
946761,ERR8076129,16,1,1,5387,6402,1,COVID-ARTIC-V4.1,4.1alt,2022-01-13,2126b57049,2,XF,Omicron (BA.1-like),407.0,2022-01-10,946760,XF,Omicron (BA.1-like),404.0,2022-01-13,303923,AY.4,Delta (AY.4-like),605.0,2021-06-26,940265,BA.1,Omicron (BA.1-like),407.0000000001,2022-01-10,946760,XF,Omicron (BA.1-like),404.0,2022-01-13,59,B.1,.,1120.016020087101,2020-01-28,True,6,6,75,True,6
369130,ERR6457057,1,1,1,5585,6402,1,COVID-ARTIC-V3,3,2021-07-29,db648c5dfa,2,AY.9,Delta (B.1.617.2-like),580.8038786522675,2021-07-21,369129,AY.9,Delta (B.1.617.2-like),572.0,2021-07-29,337860,AY.4.7,Delta (AY.4-like),584.0000000001,2021-07-17,336838,AY.9.2,Delta (B.1.617.2-like),629.2772101016888,2021-06-02,369129,AY.9,Delta (B.1.617.2-like),572.0,2021-07-29,220186,B.1.617.2,Delta (B.1.617.2-like),932.8220700506456,2020-08-03,True,4,6,25,True,6
803762,SRR19305694,1,1,1,5185,6402,0,COVID-ARTIC-V4.1,.,2021-11-22,e0cce64d0d,2,AY.47,Delta (B.1.617.2-like),469.2371820878998,2021-11-09,803761,AY.47,Delta (B.1.617.2-like),456.0,2021-11-22,442090,AY.4,Delta (AY.4-like),546.0,2021-08-24,681216,AY.47,Delta (B.1.617.2-like),483.0,2021-10-26,803761,AY.47,Delta (B.1.617.2-like),456.0,2021-11-22,220186,B.1.617.2,Delta (B.1.617.2-like),932.8220700506456,2020-08-03,True,2,5,27,True,4
540037,ERR6853156,17,1,1,3785,6473,1,COVID-ARTIC-V3,3,2021-09-18,21f2a69b9a,2,AY.4,Delta (AY.4-like),532.2646500896498,2021-09-07,540036,AY.4,Delta (AY.4-like),521.0,2021-09-18,335756,AY.4,Delta (AY.4-like),585.0000000002001,2021-07-16,420399,AY.4,Delta (AY.4-like),554.0000000001,2021-08-16,540036,AY.4,Delta (AY.4-like),521.0,2021-09-18,286300,AY.4,Delta (AY.4-like),666.4062471775208,2021-04-26,False,0,4,5,True,5
1106336,ERR9216792,1,1,1,5387,6513,0,COVID-ARTIC-V4.1,4.1alt,2022-02-28,b635453344,2,BA.1,Omicron (BA.1-like),364.3450694697476,2022-02-22,1106335,BA.1,Omicron (BA.1-like),358.0,2022-02-28,1091920,BA.2,Omicron (BA.2-like),369.0000000001,2022-02-17,1055549,BA.1,Omicron (BA.1-like),375.0,2022-02-11,1106335,BA.1,Omicron (BA.1-like),358.0,2022-02-28,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,True,2,9,44,True,5
1083412,ERR9089519,3,1,1,5925,6513,3,COVID-ARTIC-V4.1,4.1alt,2022-02-19,d397b681d8,2,XG,Omicron (BA.2-like),377.0000000001,2022-02-09,1083411,XG,Omicron (BA.2-like),367.0,2022-02-19,820040,BA.1.17,Omicron (BA.1-like),452.0,2021-11-26,1075505,BA.2,Omicron (BA.2-like),377.0000000002,2022-02-09,1086920,XG,Omicron (BA.2-like),377.0,2022-02-09,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,True,3,9,38,True,7
967112,SRR19814523,1,1,1,5585,6513,3,COVID-AMPLISEQ-V1,.,2022-01-19,36e8feb90b,2,AY.47,Delta (B.1.617.2-like),404.4879331955834,2022-01-13,967111,AY.47,Delta (B.1.617.2-like),398.0,2022-01-19,923134,BA.1.1,Omicron (BA.1-like),419.0,2021-12-29,857132,AY.47,Delta (B.1.617.2-like),443.0,2021-12-05,967111,AY.47,Delta (B.1.617.2-like),398.0,2022-01-19,59,B.1,.,1120.016020087101,2020-01-28,True,7,14,80,True,15
1113544,ERR9253033,38,1,1,5925,6513,3,COVID-ARTIC-V4.1,4.1alt,2022-03-03,bd39ee4a2c,2,BA.2,Omicron (Unassigned),364.12790450481856,2022-02-22,1113543,BA.2,Omicron (Unassigned),355.0000000003,2022-03-03,1094260,BA.2,Omicron (BA.2-like),377.0000000001,2022-02-09,965353,BA.2,Omicron (Unassigned),417.0,2021-12-31,1113543,BA.2,Omicron (Unassigned),355.0000000003,2022-03-03,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,True,0,7,6,True,8
1200360,ERR9625458,1,1,1,5387,6513,2,COVID-ARTIC-V4.1,4.1alt,2022-04-11,897f8b94f5,2,BA.1,Omicron (BA.1-like),325.4431790821642,2022-04-02,1200359,BA.1,Omicron (BA.1-like),316.0,2022-04-11,1095230,BA.1,Omicron (Unassigned),369.0,2022-02-17,1122840,BA.1.1.1,Omicron (BA.1-like),371.1221456093292,2022-02-15,1200359,BA.1,Omicron (BA.1-like),316.0,2022-04-11,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,True,2,7,10,True,9
82697,ERR5058070,2,1,1,6529,6954,0,COVID-ARTIC-V3,3,2020-12-23,102d758189,2,B.1.1.7,.,795.0,2020-12-18,82696,B.1.1.7,.,790.0,2020-12-23,32783,B.1.36.28,.,920.3728180007754,2020-08-15,79917,B.1.1.7,Alpha (B.1.1.7-like),795.0000000001,2020-12-18,82696,B.1.1.7,.,790.0,2020-12-23,59,B.1,.,1120.016020087101,2020-01-28,False,4,6,38,True,6
1407172,SRR22973069,2,1,1,4907,6982,1,COVID-ARTIC-V4.1,.,2022-11-10,0606c8743b,2,BQ.1.1,Omicron (BA.5-like),111.5972218329954,2022-11-02,1407171,BQ.1.1,Omicron (BA.5-like),103.0,2022-11-10,1353161,BA.5.6,Omicron (BA.5-like),178.0,2022-08-27,1398708,BQ.1.1,Omicron (BA.5-like),121.0,2022-10-23,1407171,BQ.1.1,Omicron (BA.5-like),103.0,2022-11-10,1189192,BA.5,Omicron (BA.5-like),357.0000216920677,2022-03-01,True,8,4,18,True,5
939917,ERR8037572,4,1,1,5706,6988,0,COVID-ARTIC-V4.1,4.1alt,2022-01-10,82a9f49be5,2,BA.1.17.2,Omicron (BA.1-like),411.0000000001,2022-01-06,939916,BA.1.17.2,Omicron (BA.1-like),407.0,2022-01-10,882348,BA.1.17.2,Omicron (BA.1-like),436.0,2021-12-12,934412,BA.1.17.2,Omicron (BA.1-like),411.0000000002,2022-01-06,959447,BA.1.17.2,Omicron (BA.1-like),411.0,2022-01-06,791357,BA.1,Omicron (BA.1-like),476.7517358580432,2021-11-02,False,0,2,5,False,4
1338895,ERR10123345,657,1,1,695,7042,1,COVID-ARTIC-V4.1,.,2022-08-13,93c624f312,2,BA.4.6,Omicron (BA.4-like),258.5799832266726,2022-06-08,1338894,BA.4.6,Omicron (BA.4-like),192.0,2022-08-13,1279026,BA.5.1,Omicron (BA.5-like),267.0,2022-05-30,1251704,BA.4.6,Omicron (BA.4-like),269.0,2022-05-28,1357782,BA.4.6,Omicron (BA.4-like),258.5799832265726,2022-06-08,1149783,BA.4,Omicron (BA.4-like),387.6350042410953,2022-01-30,False,4,2,15,False,7
396951,ERR6631759,1,1,1,6944,7124,3,COVID-ARTIC-V3,3,2021-08-06,fab53a3432,2,AY.9.2,Delta (B.1.617.2-like),574.3615213677848,2021-07-27,396950,AY.9.2,Delta (B.1.617.2-like),564.0,2021-08-06,336040,AY.4,Delta (AY.4-like),585.0,2021-07-16,322503,AY.9.2,Delta (B.1.617.2-like),683.0000000002001,2021-04-09,396950,AY.9.2,Delta (B.1.617.2-like),564.0,2021-08-06,220186,B.1.617.2,Delta (B.1.617.2-like),932.8220700506456,2020-08-03,True,3,6,23,True,8
1407336,ERR10731614,2,1,1,5184,8090,3,COVID-ARTIC-V4.1,4.1alt,2022-11-11,0ae5919d06,2,BA.2,Omicron (BA.2-like),126.968553574544,2022-10-18,1407335,BA.2,Omicron (BA.2-like),102.0,2022-11-11,1400917,BQ.1,Omicron (BA.5-like),210.6278992994053,2022-07-26,1398680,CJ.1.2,Omicron (BA.2-like),236.23111177101555,2022-06-30,1407335,BA.2,Omicron (BA.2-like),102.0,2022-11-11,903506,BA.2,Omicron (BA.2-like),474.574440013879,2021-11-04,True,15,9,33,True,12
1376015,ERR10306440,1,1,1,962,8140,3,COVID-ARTIC-V4.1,.,2022-09-20,544ea9f560,2,BA.4,Omicron (BA.4-like),156.3018670160855,2022-09-18,1376014,BA.4,Omicron (BA.4-like),154.0,2022-09-20,1372172,BA.4.6,Omicron (BA.4-like),158.0,2022-09-16,1257544,BA.4,Omicron (BA.4-like),311.3367324952061,2022-04-16,1376014,BA.4,Omicron (BA.4-like),154.0,2022-09-20,1149782,BA.4,Omicron (BA.4-like),342.00000000050017,2022-03-16,False,1,3,8,False,9
1370930,SRR22029756,2,1,1,6969,8251,0,COVID-ARTIC-V4.1,.,2022-09-14,7ee29fc989,2,BE.1.4,Omicron (BA.5-like),167.42646429411917,2022-09-07,1370929,BE.1.4,Omicron (BA.5-like),160.0,2022-09-14,1337498,BA.5.2.1,Omicron (BA.5-like),193.0,2022-08-12,1355284,BE.1.4,Omicron (BA.5-like),176.0,2022-08-29,1370929,BE.1.4,Omicron (BA.5-like),160.0,2022-09-14,1189192,BA.5,Omicron (BA.5-like),357.0000216920677,2022-03-01,True,6,5,11,True,4
