,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,num_mutations,interval_left,interval_right,mrca,mrca_date
17,USA/WA-CDC-LC0068255/2021,2021-05-31,B.1.1.519,1251009,1,2,4,True,True,True,True,True,1,242,1091,1,2019-12-26
18,USA/NC-CDC-LC0038657/2021,2021-04-02,P.1,750807,1,2,4,True,True,True,True,True,1,1060,1190,179,2020-02-20
19,USA/CA-QDX-3254/2021,2021-01-07,B.1.377,193991,25,2,12,True,True,True,True,False,9,799,1288,179,2020-02-20
20,Belgium/rega-3039/2021,2021-02-03,A.23.1,312960,1,2,3,True,True,True,True,False,0,338,1314,1,2019-12-26
21,USA/DE-CDC-STM-000008930/2021,2021-02-02,B.1.2,311046,2,2,8,True,True,True,True,True,5,913,1348,21563,2020-03-22
22,Belgium/UZA-UA-8312/2021,2021-01-19,B.1.1.153,239647,1,2,79,True,True,True,True,True,76,446,1348,5867,2020-02-22
23,Suriname/SR-RIVM-22597/2021,2021-03-25,A.2.5,670620,1,2,5,True,True,True,True,True,2,276,1567,1,2019-12-26
24,England/LOND-12E3D61/2021,2021-03-12,B.1.258,551894,1,2,12,True,True,True,True,False,9,913,1578,247,2020-02-25
25,USA/NC-CDC-LC0050707/2021,2021-04-21,B.1.1,937553,1,2,7,True,True,True,True,True,4,914,1625,179,2020-02-20
26,USA/IL-CDC-LC0032853/2021,2021-03-18,B.1.1.519,608399,1,2,6,True,True,True,True,True,3,242,1663,1,2019-12-26
27,England/SHEF-10D314C/2020,2020-12-26,B.1.177,156399,1,2,4,True,True,True,True,True,1,913,1758,25085,2020-08-06
28,USA/WA-UW-21041900184/2021,2021-04-19,B.1.525,916994,1,2,8,True,True,True,True,True,5,1799,1807,179,2020-02-20
29,Turkey/HSGM-9236/2021,2021-03-08,B.1.525,522558,1,2,9,True,True,True,True,True,6,1685,1807,179,2020-02-20
30,USA/WI-CDC-LC0060663/2021,2021-05-10,B.1.1.7,1112159,1,2,6,True,True,True,True,True,3,869,1820,67434,2020-10-04
31,Mexico/NLE-/LESPNL-20210512-445/2021,2021-04-27,B.1.627,989617,2,2,10,True,True,True,True,True,7,1571,1912,1,2019-12-26
32,Slovenia/17-032947-CE/2021,2021-03-24,B.1.1.7,659344,3,2,8,True,True,True,True,True,5,1960,1960,64513,2020-09-14
33,USA/NC-CDC-LC0019538/2021,2021-02-19,B.1.2,414002,1,2,3,True,True,True,True,True,0,1060,2061,179,2020-02-20
34,USA/WA-UW-21042185420/2021,2021-04-21,B.1.1.7,938823,1,2,11,True,True,True,True,True,8,1346,2098,179,2020-02-20
35,Germany/NW-RKI-I-179266/2021,2021-05-28,B.1.1.7,1230954,1,2,3,True,True,True,True,True,0,1961,2110,43626,2020-08-29
36,USA/NH-CDC-LC0048415/2021,2021-04-18,B.1.1.7,902083,1,2,7,True,True,True,True,False,4,1060,2110,179,2020-02-20
37,USA/WA-CDC-UW21050128211/2021,2021-05-01,B.1.1.7,1030419,1,2,5,True,True,True,True,False,2,914,2110,179,2020-02-20
38,Brazil/SP-IB_110267/2021,2021-05-10,P.1,1098779,1,2,8,True,True,True,True,True,5,1151,2134,211623,2020-12-23
39,France/OCC-244/2021,2021-01-14,A.28,221547,1,2,4,True,True,True,True,False,1,914,2197,1,2019-12-26
40,USA/CA-CDC-LC0064689/2021,2021-05-21,B.1.1.7,1190961,1,2,5,True,True,True,True,True,2,914,2232,65357,2020-09-03
41,USA/NY-PRL-2021_03_15_00E20/2021,2021-03-12,A.2.5,556641,1,2,7,True,True,True,True,False,4,1060,2272,1,2019-12-26
42,CzechRepublic/FNB13973/2021,2021-02-18,B.1.258,403131,1,2,6,True,True,True,True,True,3,584,2272,1,2019-12-26
43,USA/WA-UW-68535/2021,2021-03-22,B.1.1.7,642961,7,2,7,True,True,True,True,True,4,1958,2276,179,2020-02-20
44,Aruba/AW-RIVM-13663/2021,2021-02-12,B.1.1.519,363891,2,2,6,True,True,True,True,False,3,223,2342,179,2020-02-20
45,Turkey/HSGM-6200/2021,2021-02-25,B.1.1,452316,1,2,6,True,True,True,True,False,3,1574,2388,179,2020-02-20
46,Italy/APU-IZSPB-1275PT/2021,2021-05-18,B.1.1.7,1168514,2,2,9,True,True,True,True,True,6,1269,2453,65357,2020-09-03
47,France/OCC-230/2021,2021-01-06,B.1.177,190295,1,2,4,True,True,True,True,True,1,1428,2453,179,2020-02-20
48,USA/NC-CDC-LC0008207/2021,2021-01-20,B.1,246881,1,2,4,True,True,True,True,True,1,2471,2480,1483,2020-03-08
49,Russia/SPE-RII-34416S/2021,2021-05-14,B.1.1,1139555,3,2,5,True,True,True,True,True,2,1723,2485,179,2020-02-20
50,USA/MN-CDC-IBX022599702883/2021,2021-04-09,B.1.1.519,817481,1,2,5,True,True,True,True,False,2,223,2489,127140,2020-12-08
51,Denmark/DCGC-87673/2021,2021-05-03,B.1.1.7,1038605,1,2,3,True,True,True,True,False,0,914,2623,1,2019-12-26
52,Switzerland/SO-ETHZ-590105/2021,2021-04-21,B.1.1.7,934595,1,2,4,True,True,True,True,True,1,1744,2706,179,2020-02-20
53,USA/CA-CDC-LC0059861/2021,2021-05-11,B.1.1.7,1119193,1,2,4,True,True,True,True,False,1,914,2749,179,2020-02-20
54,USA/NC-CDC-LC0052009/2021,2021-04-22,P.1.13,947657,1,2,4,True,True,True,True,True,1,1349,2749,1,2019-12-26
55,Luxembourg/LNS2129030/2020,2020-04-23,B.1,14596,1,2,6,True,True,True,True,True,3,2828,2831,179,2020-02-20
56,USA/WA-CDC-UW21050171988/2021,2021-05-01,B.1.526,1030474,1,2,10,True,True,True,True,True,7,1342,2867,6502,2020-03-10
57,USA/WA-UW-2021041610312/2021,2021-04-16,B.1.1.7,890947,1,2,13,True,True,True,True,True,10,1340,2902,179,2020-02-20
58,SriLanka/NR23/2021,2021-03-12,B.1.1.7,555233,1,2,8,True,True,True,True,True,5,2111,2919,1,2019-12-26
59,Germany/SN-RKI-I-028252/2021,2021-02-19,B.1,411956,1,2,6,True,True,True,True,True,3,2601,2937,179,2020-02-20
60,USA/CT-CDC-LC0047729/2021,2021-04-15,B.1.1.7,878647,1,2,3,True,True,True,True,False,0,2111,3004,43626,2020-08-29
61,USA/IN-CDC-LC0032524/2021,2021-03-17,B.1.1.519,598705,7,2,10,True,True,True,True,False,7,1458,3037,1,2019-12-26
62,USA/AZ-CDC-LC0033830/2021,2021-03-12,B.1.2,555418,1,2,7,True,True,True,True,True,4,2335,3037,1,2019-12-26
63,USA/MI-UM-S492023/2021,2021-01-25,B.1,268458,24,2,10,True,True,True,True,True,7,2454,3042,1484,2020-03-08
64,USA/MS-CDC-LC0040801/2021,2021-04-09,B.1.1.519,817957,1,2,4,True,True,True,True,False,1,914,3086,179,2020-02-20
65,USA/IL-CDC-LC0032845/2021,2021-03-20,B.1.1.519,623514,1,2,3,True,True,True,True,False,0,937,3122,179,2020-02-20
66,Israel/CVL-3-ngs/2020,2020-12-24,B.1.36,153822,1,2,6,True,True,True,True,True,3,2837,3137,179,2020-02-20
67,USA/CO-CDC-FG-014181/2021,2021-03-17,B.1.1.519,598093,1,2,6,True,True,True,True,False,3,224,3140,179,2020-02-20
68,USA/NC-UNC-0311/2021,2021-02-25,B.1.1.519,453346,1,2,5,True,True,True,True,True,2,1739,3140,179,2020-02-20
69,USA/AK-PHL7186/2021,2021-02-15,B.1.1.519,385805,1,2,5,True,True,True,True,False,2,223,3140,179,2020-02-20
70,USA/DC-CDC-LC0041179/2021,2021-04-12,B.1.637,843405,1,2,3,True,True,True,True,True,0,2111,3177,179,2020-02-20
71,USA/VA-CDC-LC0067096/2021,2021-05-27,B.1.525,1227516,1,2,8,True,True,True,True,False,5,1888,3256,134192,2020-12-15
72,England/LIVE-DC28F6/2020,2020-11-24,B.1.177.16,105900,2,2,5,True,True,True,True,True,2,1387,3256,5867,2020-02-22
73,USA/WV-CDC-LC0064473/2021,2021-05-19,B.1.1.7,1179843,1,2,8,True,True,True,True,True,5,2510,3267,179,2020-02-20
74,USA/MN-CDC-LC0056079/2021,2021-05-01,B.1.1.7,1029627,1,2,3,True,True,True,True,True,0,914,3267,179,2020-02-20
75,USA/WA-UW-21042420997/2021,2021-04-24,B.1.617.2,964466,3,2,13,True,True,True,True,False,10,1342,3267,5867,2020-02-22
76,USA/AZ-CDC-LC0059839/2021,2021-05-11,AY.44,1119049,4,2,8,True,True,True,True,True,5,914,3267,179,2020-02-20
77,Slovenia/08-080087-MB/2021,2021-03-25,B.1.258.17,670325,1,2,17,True,True,True,True,True,14,1960,3267,179,2020-02-20
78,USA/CA-CDC-LC0039707/2021,2021-03-31,B.1.1.7,728723,1,2,5,True,True,True,True,False,2,1060,3267,179,2020-02-20
79,Lithuania/S21D1281/2021,2021-04-16,Q.1,886152,2,2,6,True,True,True,True,True,3,914,3267,179,2020-02-20
80,USA/MA-CDC-LC0041233/2021,2021-04-08,B.1.1.7,807615,2,2,4,True,True,True,True,False,1,377,3267,3526,2020-03-19
81,USA/IL-CDC-LC0038109/2021,2021-03-29,B.1.1,707659,18,2,7,True,True,True,True,True,4,2454,3267,179,2020-02-20
82,USA/NY-PRL-2021_03_11_00J03/2021,2021-03-09,B.1.1,532732,1,2,11,True,True,True,True,True,8,2129,3267,179,2020-02-20
83,USA/VA-CDC-LC0032094/2021,2021-03-24,B.1.1.7,663861,1,2,4,True,True,True,True,True,1,1060,3267,179,2020-02-20
84,USA/WA-UW-2021040305436/2021,2021-04-03,B.1.429,758556,2,2,3,True,True,True,True,True,0,2598,3271,112047,2020-10-27
85,Russia/SPE-RII-32885S/2021,2021-04-25,AT.1,966789,16,2,5,True,True,True,True,False,2,382,3281,5867,2020-02-22
86,USA/SC-CDC-LC0033380/2021,2021-03-17,B.1.1.519,599923,1,2,3,True,True,True,True,True,0,1060,3351,179,2020-02-20
87,USA/CA-CDC-QDX22441052/2021,2021-02-22,B.1.1,430048,1,2,9,True,True,True,True,False,6,2510,3402,179,2020-02-20
88,USA/TX-HMH-MCoV-26187/2021,2021-03-05,B.1.1,507039,2,2,12,True,True,True,True,False,9,2152,3488,179,2020-02-20
89,Netherlands/ZE-RIVM-14589/2021,2021-02-14,B.1.160,376080,1,2,11,True,True,True,True,True,8,3096,3596,179,2020-02-20
90,USA/GA-CDC-ASC210000665/2021,2021-03-03,B.1.2,491557,1,2,7,True,True,True,True,True,4,2524,3634,1484,2020-03-08
91,USA/WV-CDC-LC0068461/2021,2021-05-24,B.1.637,1206189,1,2,3,True,True,True,True,False,0,1060,3638,179,2020-02-20
92,Slovenia/17-021384-KR/2021,2021-03-26,B.1.258.17,681041,1,2,5,True,True,True,True,True,2,3461,3720,257897,2020-10-11
93,Slovenia/08-075937-MB/2021,2021-03-22,B.1.258.17,638903,2,2,5,True,True,True,True,True,2,1960,3766,121428,2020-10-15
94,Switzerland/BS-ETHZ-480224/2021,2021-01-31,B.1.1.348,298963,19,2,7,True,True,True,True,True,4,2111,3790,179,2020-02-20
95,USA/WV-CDC-QDX21867154/2021,2021-02-06,B.1.2,329589,2,2,15,True,True,True,True,True,12,3509,3871,49055,2020-06-27
96,Japan/IC-0726/2021,2021-01-16,B.1.459,228241,4,2,14,True,True,True,True,True,11,3178,4002,179,2020-02-20
97,CzechRepublic/CSQ0057/2021,2021-06-22,B.1.1.7,1378954,1,2,27,True,True,True,True,True,24,3605,4136,65357,2020-09-03
98,USA/WA-UW-21042028946/2021,2021-04-20,B.1.617.2,928182,7,2,17,True,True,True,True,True,14,3268,4181,179,2020-02-20
99,USA/NJ-CDC-LC0032475/2021,2021-03-21,B.1.1.7,630576,3,2,10,True,True,True,True,False,7,3005,4181,85911,2020-10-06
100,USA/TX-HMH-MCoV-26152/2021,2021-03-06,B.1.1,511732,1,2,10,True,True,True,True,True,7,3877,4201,179,2020-02-20
101,USA/WA-UW-21050446069/2021,2021-05-04,B.1.1,1060029,1,2,8,True,True,True,True,True,5,3754,4255,179,2020-02-20
102,Luxembourg/LNS0522318/2020,2020-04-04,B.1,10617,1,2,6,True,True,True,True,True,3,2832,4320,179,2020-02-20
103,USA/CA-CHLA-PLM45177859/2020,2020-12-04,B.1,114853,1,2,5,True,True,True,True,True,2,4301,4421,1,2019-12-26
104,USA/IL-CDC-LC0064435/2021,2021-05-19,B.1.1.7,1178777,1,2,5,True,True,True,True,False,2,1060,4456,179,2020-02-20
105,USA/CA-CDPH-UC675/2020,2020-12-28,B.1.243,163741,1,2,16,True,True,True,True,True,13,2486,4510,179,2020-02-20
106,Mexico/MEX-INMEGEN-05-03-95/2021,2021-05-08,B.1.1.519,1091422,2,2,7,True,True,True,True,True,4,1171,4524,145171,2020-12-01
107,Singapore/1516/2020,2020-12-25,B.1,154880,1,2,11,True,True,True,True,True,8,1496,4543,464,2020-03-02
108,Poland/Pomorskie_MWB_31/2021,2021-01-09,B.1.1.101,200375,2,2,13,True,True,True,True,True,10,3252,4763,179,2020-02-20
109,Switzerland/GE-32918422/2021,2021-01-09,B.1.160,200504,44,2,8,True,True,True,True,True,5,1961,4858,24990,2020-06-10
110,SriLanka/CMC86789/2021,2021-03-15,B,576291,1,2,7,True,True,True,True,True,4,3331,4912,179,2020-02-20
111,Netherlands/LI-RIVM-10554/2021,2021-01-11,B.1.221,210053,1,2,9,True,True,True,True,False,6,3043,4999,24705,2020-08-12
112,Denmark/DCGC-25947/2021,2021-01-04,B.1.1.433,181036,1,2,5,True,True,True,True,True,2,446,5007,179,2020-02-20
113,USA/PA-CDC-LC0063366/2021,2021-05-16,B.1.1.7,1151302,1,2,7,True,True,True,True,True,4,4256,5012,43626,2020-08-29
114,France/PDL-IPP00654/2021,2021-01-08,B.1.160,196550,5,2,9,True,True,True,True,False,6,4332,5071,24990,2020-06-10
115,SouthAfrica/Tygerberg-397/2020,2020-12-03,B.1,113864,3,2,12,True,True,True,True,True,9,3839,5144,247,2020-02-25
116,Italy/LAZ-INMI-319/2021,2021-02-20,B.1.177,417496,1,2,4,True,True,True,True,True,1,5158,5170,24101,2020-07-12
117,Senegal/SN-MBO-201893/2021,2021-02-05,B.1,325069,1,2,6,True,True,True,True,False,3,3995,5178,179,2020-02-20
118,India/TG-CCMB-BO908/2021,2021-04-12,B.1.617.1,840007,1,2,6,True,True,True,True,True,3,3927,5184,179,2020-02-20
119,Luxembourg/LNS4971677/2021,2021-04-14,B.1.617.2,865636,3,2,8,True,True,True,True,False,5,3458,5184,179,2020-02-20
120,USA/WA-CDC-UW21052414630/2021,2021-05-24,B.1.1.7,1206064,1,2,9,True,True,True,True,False,6,3268,5230,179,2020-02-20
121,USA/WA-CDC-UW21050254609/2021,2021-05-02,B.1.429,1035179,3,2,15,True,True,True,True,True,12,3272,5230,179,2020-02-20
122,USA/IL-CDC-LC0063020/2021,2021-05-19,B.1.351,1178756,1,2,4,True,True,True,True,True,1,2831,5230,1484,2020-03-08
123,Slovenia/08-079997-MB/2021,2021-03-25,B.1.258.17,670321,1,2,9,True,True,True,True,True,6,1960,5230,60918,2020-10-19
124,Turkey/HSGM-8351/2021,2021-03-03,B.1,491041,1,2,10,True,True,True,True,False,7,1060,5230,179,2020-02-20
125,USA/TX-HMH-MCoV-25848/2021,2021-02-03,B.1.2,316809,1,2,7,True,True,True,True,True,4,1441,5284,1484,2020-03-08
126,USA/FL-BPHL-5169/2021,2021-06-17,B.1.1.7,1354480,1,2,3,True,True,True,True,True,0,3829,5388,179,2020-02-20
127,USA/AZ-CDC-LC0059139/2021,2021-05-07,B.1.1.7,1085816,1,2,7,True,True,True,True,True,4,5279,5388,1,2019-12-26
128,USA/WA-CDC-UW21051283559/2021,2021-05-12,C.37,1129523,1,2,13,True,True,True,True,True,10,3268,5388,179,2020-02-20
129,USA/TN-CDC-LC0040420/2021,2021-04-07,P.1.10,799032,1,2,13,True,True,True,True,True,10,4976,5388,179,2020-02-20
130,USA/NY-CDC-LC0038795/2021,2021-03-25,P.1,674198,2,2,8,True,True,True,True,False,5,2750,5388,179,2020-02-20
131,USA/GA-CDC-LC0037619/2021,2021-04-02,B.1.533,749203,1,2,11,True,True,True,True,True,8,3829,5388,179,2020-02-20
132,USA/NC-CDC-LC0043093/2021,2021-04-08,B.1.1.7,808500,2,2,9,True,True,True,True,True,6,4457,5388,179,2020-02-20
133,USA/WA-UW-67253/2021,2021-03-12,B.1.1,557256,2,2,10,True,True,True,True,True,7,5261,5388,179,2020-02-20
134,USA/CA-CDC-LC0044744/2021,2021-04-05,B.1.1.7,772861,1,2,5,True,True,True,True,True,2,5024,5388,179,2020-02-20
135,Sweden/SE00273707/2021,2021-02-18,B.1.1.7,406956,1,2,5,True,True,True,True,True,2,4322,5388,179,2020-02-20
136,Netherlands/ZH-RIVM-16321/2021,2021-02-20,B.1.533,417700,2,2,10,True,True,True,True,False,7,3268,5388,179,2020-02-20
137,USA/NY-PRL-2021_0419_02K03/2021,2021-04-16,B.1.526,890351,1,2,4,True,True,True,True,True,1,4107,5388,179,2020-02-20
138,USA/NY-PRL-2021_03_15_01E16/2021,2021-03-13,B.1.2,562766,1,2,6,True,True,True,True,True,3,4833,5493,21563,2020-03-22
139,USA/TX-CDC-STM-000013457/2021,2021-02-11,B.1.2,363016,15,2,4,True,True,True,True,True,1,4403,5557,21563,2020-03-22
140,SouthAfrica/NICD-N8596/2021,2021-06-01,B.1.351,1256993,2,2,6,True,True,True,True,True,3,2420,5575,91794,2020-10-07
141,Italy/UMB-IZSGC-164630.1.10/2021,2021-03-12,B.1.1.7,554118,1,2,6,True,True,True,True,True,3,2148,5575,64512,2020-09-30
142,USA/TX-CDC-QDX22528038/2021,2021-03-02,B.1.1.7,484283,1,2,3,True,True,True,True,True,0,4302,5575,65357,2020-09-03
143,USA/NJ-CDC-LC0038898/2021,2021-03-29,B.1,709037,1,2,7,True,True,True,True,True,4,5301,5581,6502,2020-03-10
144,USA/WA-S3855/2021,2021-01-04,B.1.241,185260,30,2,11,True,True,True,True,True,8,4544,5629,179,2020-02-20
145,USA/AR-CDC-3975732-001/2021,2021-01-26,B.1.2,273971,1,2,4,True,True,True,True,True,1,5231,5649,1484,2020-03-08
146,USA/WA-CDC-UW21050484162/2021,2021-05-04,B.1.617.2,1059987,1,2,12,True,True,True,True,True,9,5185,5826,496612,2021-03-04
147,USA/VA-CDC-LC0060352/2021,2021-05-17,B.1.525,1164059,1,2,5,True,True,True,True,False,2,4679,5869,134192,2020-12-15
148,USA/TX-HMH-MCoV-26876/2021,2021-02-24,B.1.2,445799,1,2,7,True,True,True,True,True,4,3687,5869,21563,2020-03-22
149,France/HDF-P138-21201C6835/2021,2021-05-17,B.1.1.7,1157839,1,2,8,True,True,True,True,True,5,5498,5884,64513,2020-09-14
150,Germany/un-RKI-I-067116/2021,2021-03-29,Q.7,702659,12,2,3,True,True,True,True,True,0,4423,5944,64513,2020-09-14
151,USA/OR-CDC-UW21061096059/2021,2021-06-10,B.1.1,1319341,2,2,7,True,True,True,True,True,4,5389,5986,179,2020-02-20
152,USA/WA-UW-2021040729477/2021,2021-04-07,B.1,799345,1,2,3,True,True,True,True,True,0,4156,5986,179,2020-02-20
153,USA/WA-UW-2021040639524/2021,2021-04-06,B.1.1.7,788455,1,2,6,True,True,True,True,True,3,5389,5986,179,2020-02-20
154,USA/VT-CDC-LC0047650/2021,2021-04-14,P.1.10,872064,1,2,9,True,True,True,True,True,6,5649,5986,179,2020-02-20
155,Mexico/NLE-/LESPNL-20210512-454/2021,2021-05-02,B.1.1.7,1032655,2,2,8,True,True,True,True,True,5,3038,5986,179,2020-02-20
156,Germany/TH-RKI-I-041093/2021,2021-03-09,B.1.177,529225,1,2,11,True,True,True,True,True,8,5389,5986,179,2020-02-20
157,Germany/NW-RKI-I-178750/2021,2021-06-08,B.1.1,1305606,1,2,7,True,True,True,True,False,4,2545,5986,1,2019-12-26
158,Turkey/HSGM-6652/2021,2021-02-26,B.1.1.7,458828,1,2,7,True,True,True,True,True,4,4965,5986,43626,2020-08-29
159,Turkey/HSGM-2264/2021,2021-02-08,B.1.1,339400,1,2,9,True,True,True,True,True,6,5389,5986,179,2020-02-20
160,Turkey/HSGM-1327/2021,2021-01-21,B.1.1.7,250118,1,2,6,True,True,True,True,False,3,5389,5986,3526,2020-03-19
161,Germany/un-RKI-I-108250/2021,2021-04-20,B.1.1.7,921583,8,2,6,True,True,True,True,True,3,5389,5986,179,2020-02-20
162,USA/IN-CDC-LC0048962/2021,2021-04-14,B.1,869321,1,2,10,True,True,True,True,True,7,5141,6027,179,2020-02-20
163,USA/UT-UPHL-2101063553/2020,2020-12-15,B.1.2,134834,1,2,15,True,True,True,True,True,12,5149,6027,179,2020-02-20
164,Belgium/AZDelta19128-2106R/2021,2021-02-16,B.1.1.7,388183,1,2,6,True,True,True,True,False,3,5987,6033,3526,2020-03-19
165,Sweden/SE00422618/2021,2021-04-13,B.1.1.7,855331,1,2,5,True,True,True,True,False,2,220,6070,52294,2020-09-07
166,USA/TX-CDC-LC0059790/2021,2021-05-12,B.1.1.7,1129266,1,2,4,True,True,True,True,True,1,4423,6196,85911,2020-10-06
167,USA/MA-CDC-ASC210014322/2021,2021-03-19,B.1.433,616722,1,2,5,True,True,True,True,True,2,5185,6198,1484,2020-03-08
168,Romania/B-1831/2021,2021-01-23,B.1.1.7,257242,1,2,3,True,True,True,True,True,0,1300,6262,67434,2020-10-04
169,USA/NJ-CDC-ASC210036846/2021,2021-04-30,B.1.1.7,1023566,5,2,4,True,True,True,True,True,1,4185,6278,85911,2020-10-06
170,USA/WA-UW-61669/2021,2021-02-17,B.1.232,402208,1,2,7,True,True,True,True,True,4,5850,6285,179,2020-02-20
171,England/QEUH-121CC26/2021,2021-02-06,B.1.177,328271,2,2,6,True,True,True,True,True,3,4891,6286,179,2020-02-20
172,Denmark/DCGC-19362/2020,2020-12-07,B.1.177,118363,3,2,6,True,True,True,True,True,3,446,6286,179,2020-02-20
173,USA/IN-CDC-LC0063171/2021,2021-05-18,P.1,1171438,1,2,8,True,True,True,True,False,5,5649,6319,5867,2020-02-22
174,USA/VA-CDC-LC0084616/2021,2021-06-22,B.1.1.7,1387517,1,2,6,True,True,True,True,True,3,4149,6353,64513,2020-09-14
175,USA/TX-DSHS-2601/2021,2021-01-19,B.1.1,243154,1,2,4,True,True,True,True,True,1,6353,6356,179,2020-02-20
176,USA/WA-UW-2021040304111/2021,2021-04-03,B.1.1.7,758543,1,2,3,True,True,True,True,True,0,5231,6401,43626,2020-08-29
177,Botswana/R20B13_BHP_AAB70060/2021,2021-06-19,B.1.351,1362650,2,2,12,True,True,True,True,False,9,2693,6402,179,2020-02-20
178,Switzerland/AG-ETHZ-530272/2021,2021-03-10,B.1.1.7,539890,1,2,13,True,True,True,True,True,10,5389,6402,3526,2020-03-19
179,USA/WY-WPHL-21023275/2021,2021-03-23,B.1.234,653558,1,2,3,True,True,True,True,True,0,4301,6441,179,2020-02-20
180,USA/CA-RD582-CV0068/2021,2021-02-08,B.1.558,340314,1,2,11,True,True,True,True,True,8,2903,6476,1269,2020-03-03
181,Netherlands/NH-RIVM-42268/2021,2021-06-24,B.1.1.7,1401467,1,2,3,True,True,True,True,True,0,2495,6496,65357,2020-09-03
182,Germany/RP-RKI-I-090614/2021,2021-04-15,B.1.1.7,875264,1,2,3,True,True,True,True,True,0,6269,6536,64513,2020-09-14
183,Turkey/HSGM-B18088/2021,2021-06-23,B.1.617.2,1394509,1,2,6,True,True,True,True,True,3,6403,6539,5868,2020-02-21
184,India/AP-CCMB-CIA4557/2021,2021-06-05,B.1.617.2,1283754,2,2,5,True,True,True,True,True,2,5393,6539,653663,2021-03-16
185,USA/CA-CDPH-UC586/2020,2020-12-29,B.1.243,166913,65,2,4,True,True,True,True,True,1,5725,6539,179,2020-02-20
186,USA/AL-CDC-LC0026395/2021,2021-03-09,B.1.2,531198,1,2,8,True,True,True,True,True,5,5498,6541,179,2020-02-20
187,USA/FL-BPHL-0594/2021,2021-02-05,B.1.2,326023,1,2,5,True,True,True,True,True,2,6511,6547,21563,2020-03-22
188,USA/NV-CDC-LC0086043/2021,2021-06-28,AY.54,1431989,1,2,3,True,True,True,True,False,0,242,6566,777694,2021-03-26
189,USA/WA-CDC-LC0055972/2021,2021-04-28,B.1.1.7,1004605,1,2,5,True,True,True,True,True,2,5024,6568,43626,2020-08-29
190,USA/FL-CDC-LC0061862/2021,2021-05-13,B.1.1.7,1134334,1,2,6,True,True,True,True,True,3,5231,6573,64513,2020-09-14
191,USA/NJ-CDC-LC0090775/2021,2021-06-29,P.1,1443650,1,2,5,True,True,True,True,True,2,6320,6613,5867,2020-02-22
192,Netherlands/GE-RIVM-31162/2021,2021-04-27,P.1,989668,7,2,6,True,True,True,True,True,3,6320,6613,5867,2020-02-22
193,USA/AZ-CDC-LC0060284/2021,2021-05-17,B.1.1.28,1162027,1,2,10,True,True,True,True,True,7,6320,6613,179,2020-02-20
