,site,old,new,intersection
327,597,59,70,59
328,598,176,186,175
329,599,238,246,236
330,600,101,110,101
331,601,317,326,317
332,602,53,62,53
333,603,32,41,32
334,604,41,50,41
335,605,100,109,100
336,606,270,276,268
337,607,26,33,26
338,608,75,82,75
339,609,37,44,37
340,610,44,50,43
341,611,115,122,115
342,612,34,41,34
343,613,98,105,98
344,614,146,153,146
345,615,98,105,98
346,616,43,50,43
347,617,75,81,75
348,618,8,14,8
349,619,96,102,96
350,620,155,161,155
351,621,129,135,129
352,622,121,127,121
353,623,23,29,23
354,624,31,37,31
355,625,448,454,448
356,626,189,190,188
357,627,4,8,4
358,628,33,36,33
359,629,94,97,94
360,630,9,10,9
361,631,28,29,28
362,632,102,103,102
363,633,29,30,29
364,634,24,25,24
365,636,124,126,124
366,637,20,23,20
367,638,12,15,12
368,639,33,34,33
369,640,51,52,51
370,641,25,26,25
371,642,40,41,40
372,643,402,403,402
373,644,83,84,83
374,645,53,54,53
375,646,18,28,18
376,647,30,40,30
377,648,29,39,29
378,649,59,59,59
379,650,9,9,9
380,651,30,30,30
381,652,92,92,91
382,653,133,135,133
383,654,97,99,97
384,655,83,84,82
385,656,122,124,121
386,657,700,702,700
387,658,94,96,93
388,659,81,83,81
389,660,67,69,67
390,661,41,43,41
391,662,133,134,133
392,663,80,81,80
393,664,343,344,343
394,665,78,79,78
395,666,43,43,43
396,667,53,56,53
397,668,32,36,32
398,669,101,278,101
399,670,150,317,139
400,671,31,208,31
401,672,27,48,27
402,673,427,447,427
403,674,123,142,123
404,675,195,212,195
405,676,276,293,276
406,677,231,249,231
407,678,159,177,159
408,679,261,279,261
409,680,194,212,194
410,681,76,96,76
411,682,114,143,114
412,684,19,145,17
413,685,22,160,20
414,686,35,10230,34
415,687,50,10246,49
416,688,115,10310,114
417,689,59,10259,57
418,690,98,10300,97
419,691,102,10287,97
420,692,70,10262,65
421,693,31,10215,31
422,694,139,10287,130
423,695,95,182,94
424,696,27,91,27
425,697,103,164,101
426,698,22,75,22
427,699,9,17,9
428,700,36,43,36
429,701,185,193,185
430,702,54,62,54
431,703,257,265,257
432,704,129,137,129
433,705,48,56,48
434,706,266,274,266
435,707,62,70,62
436,708,38,46,38
437,709,108,116,108
438,710,110,117,109
439,711,32,40,32
440,712,56,64,56
441,713,168,175,168
442,714,114,121,114
443,715,96,102,95
444,716,18,25,18
445,717,58,65,58
446,718,55,61,54
447,719,22,30,22
448,720,59,67,59
449,721,81,89,81
450,722,106,115,106
451,723,85,96,85
452,724,27,39,27
453,725,9,21,9
454,726,25,37,25
455,727,41,47,41
456,728,8,17,8
457,729,21,40,21
458,730,46,65,46
459,731,56,75,56
460,732,46,65,45
461,733,71,91,71
462,734,7,27,7
463,735,16,36,16
464,736,25,46,25
465,737,0,90,0
466,738,21,103,21
467,739,30,112,30
468,740,26,104,26
469,741,15,91,15
470,742,16,92,16
471,743,10,85,10
472,744,23,98,23
473,745,756,831,756
474,746,30,105,30
475,747,4,79,4
476,748,11,86,11
477,749,23,32,23
478,750,8,15,8
479,751,310,317,310
480,752,16,22,16
481,753,151,157,151
482,754,17,24,17
483,755,7,14,7
484,756,17,24,17
485,757,16,23,16
486,758,122,127,122
487,759,20,25,20
488,760,18,22,18
489,761,285,289,285
490,762,33,38,33
491,763,107,111,107
492,764,37,41,37
493,765,40,44,40
494,766,12,16,12
495,767,30,34,30
496,768,56,59,56
497,769,16,19,16
498,770,31,34,31
499,771,30,34,30
500,772,97,100,97
501,773,25,28,25
502,774,121,124,121
503,775,152,155,152
504,776,118,122,118
505,777,174,177,173
506,778,59,64,59
507,779,32,37,32
508,780,42,49,42
509,781,20,27,20
510,782,60,67,60
511,783,44,51,44
512,784,70,77,70
513,785,35,51,35
514,786,26,42,26
515,787,111,127,111
516,788,364,380,364
517,789,96,112,96
518,790,60,76,60
519,791,24,40,24
520,792,54,70,54
521,793,123,139,123
522,794,156,172,156
523,795,3,17,3
524,796,40,53,40
525,797,7,10,7
526,798,84,85,84
527,799,371,372,371
528,800,6,7,6
529,801,4,5,4
530,802,62,61,60
531,803,12,13,11
532,804,0,1,0
533,805,251,251,250
534,806,118,118,118
535,807,81,81,81
536,808,103,103,103
537,809,198,198,198
538,810,51,51,51
539,811,115,115,115
540,812,29,29,29
541,813,120,120,120
542,814,84,84,84
543,815,649,649,649
544,816,150,150,150
545,817,115,115,115
546,818,20,20,20
547,819,29,29,29
548,820,43,43,43
549,821,46,46,46
550,822,3,3,3
551,825,3,3,3
552,826,104,104,104
553,827,16,16,16
554,828,29,29,29
555,829,966,964,963
556,830,7,7,7
557,831,25,25,25
558,832,552,552,552
559,833,44,44,44
560,834,28,28,28
561,835,713,713,713
562,836,5,5,5
563,837,14,14,14
564,838,73,73,73
565,839,111,111,111
566,840,172,172,172
567,841,147,147,147
568,842,175,175,175
569,843,385,385,385
570,844,72,72,72
571,845,53,53,53
572,846,7,7,7
573,847,79,79,79
574,848,22,22,22
575,849,2,2,2
576,850,145,145,145
577,851,144,144,144
578,852,5,5,5
579,853,175,175,175
580,854,274,274,274
581,855,36,36,36
582,856,72,72,72
583,857,96,96,96
584,859,62,62,62
585,860,19,19,19
586,861,44,44,44
587,862,98,98,98
588,864,1,1,1
589,865,117,117,117
590,866,55,55,55
591,867,3,4,3
592,868,28,35,28
593,869,18,26,18
594,870,61,69,61
595,871,55,63,55
596,872,258,266,258
597,873,31,39,31
598,874,334,342,334
599,875,346,354,346
600,876,6,13,6
601,877,47,54,47
602,878,224,231,224
603,880,29,36,29
604,881,125,131,125
605,882,135,141,135
606,883,46,52,46
607,884,641,645,639
608,885,92,98,91
609,886,50,56,50
610,887,23,29,23
611,888,125,131,125
612,889,37,43,37
613,890,59,65,58
614,891,47,54,47
615,892,16,17,16
616,893,7,8,7
617,894,20,20,20
618,895,58,58,58
619,896,55,55,55
620,897,215,215,215
621,898,37,37,37
622,899,34,34,34
623,900,351,351,351
624,901,79,79,79
625,902,46,46,46
626,903,56,56,56
627,904,117,117,117
628,905,20,20,20
629,906,135,135,135
630,907,43,43,43
631,908,20,20,20
632,910,121,121,121
633,911,79,79,79
634,912,304,304,304
635,913,311,311,311
636,914,61,61,61
637,915,40,40,40
638,916,32,32,32
639,917,0,0,0
640,919,46,46,46
641,920,463,463,463
642,921,15,15,15
643,922,231,231,231
644,923,106,109,106
645,924,11,14,11
646,925,233,236,233
647,926,26,29,26
648,927,17,35,17
649,928,10,28,10
650,929,274,289,273
651,930,3,3,3
652,931,48,48,48
653,932,67,67,67
654,933,34,34,34
655,934,517,517,517
656,935,22,22,22
657,936,539,539,539
658,937,30,30,30
659,938,5,5,5
660,939,72,72,72
661,940,59,59,59
662,941,56,56,56
663,942,279,279,279
664,943,140,140,140
665,944,112,112,112
666,945,96,96,96
667,946,9,9,9
668,947,125,125,125
669,948,15,15,15
670,949,192,191,191
671,950,87,87,87
672,951,24,24,24
673,952,141,141,141
674,953,27,27,27
675,954,37,37,37
676,955,134,134,134
677,956,26,26,26
678,957,19,20,19
679,958,209,210,209
680,959,148,149,148
681,960,284,285,284
682,961,74,75,74
683,962,32,33,32
684,963,94,95,94
685,964,35,36,35
686,965,12,12,12
687,966,1,1,1
688,967,91,91,91
689,968,12,12,12
690,969,44,44,44
691,970,122,122,122
692,971,4,4,4
693,973,46,46,46
694,974,20,20,20
695,975,25,25,25
696,976,26,26,26
697,977,61,61,61
698,978,17,17,17
699,979,51,51,51
700,980,18,18,18
701,981,54,54,54
702,982,26,26,26
703,983,0,0,0
704,984,1,1,1
705,985,0,0,0
706,986,16,16,16
707,987,23,23,23
708,988,110,110,110
709,989,27,27,27
710,990,25,25,25
711,991,176,176,176
712,992,42,42,42
713,993,31,31,31
714,994,41,39,39
715,995,14,14,14
716,996,3,4,3
717,997,35,37,35
718,998,18,20,18
719,999,108,110,108
720,1000,50,52,48
721,1001,24,26,24
722,1002,43,45,43
723,1003,20,22,20
724,1004,21,23,21
725,1005,42,44,42
726,1006,68,70,68
727,1007,29,31,29
728,1008,47,49,47
729,1009,185,187,185
730,1010,0,2,0
731,1011,2,4,2
732,1012,52,53,52
733,1013,12,13,12
734,1014,28,29,28
735,1015,55,55,55
736,1016,22,21,21
737,1017,12,12,12
738,1018,59,58,58
739,1021,65,65,65
740,1022,13,13,13
741,1023,4,4,4
742,1024,22,22,22
743,1025,23,23,23
744,1026,19,19,19
745,1027,17,17,17
746,1028,18,18,18
747,1029,7,7,7
748,1030,28,28,28
749,1031,2,2,2
750,1032,7,7,7
751,1033,31,31,31
752,1034,41,41,41
753,1035,12,12,12
754,1036,23,23,23
755,1037,9,9,9
756,1038,21,21,21
757,1039,25,25,25
758,1040,34,34,34
759,1041,14,14,14
760,1042,59,59,59
761,1043,84,85,84
762,1044,116,117,116
763,1045,36,37,36
764,1046,17,18,17
765,1047,28,29,28
766,1048,111,112,111
767,1049,16,17,16
768,1050,12,13,12
769,1051,60,61,60
770,1052,27,28,27
771,1053,12,13,12
772,1054,11,12,11
773,1055,55,55,54
774,1056,17,17,17
775,1057,154,154,154
776,1058,16,16,16
777,1059,525,524,524
778,1060,540,539,539
779,1061,19,19,19
780,1062,28,28,28
781,1063,539,539,537
782,1064,30,30,30
783,1065,30,30,30
784,1066,74,74,74
785,1067,66,66,66
786,1068,142,141,141
787,1069,143,143,143
788,1070,13,13,13
789,1071,31,31,31
790,1072,82,82,82
791,1073,35,35,35
792,1074,34,34,34
793,1075,29,29,29
794,1076,229,229,229
795,1077,263,263,263
796,1078,43,43,43
797,1079,12,12,12
798,1080,41,41,41
799,1081,48,48,48
800,1082,6,6,6
801,1083,1,1,1
802,1084,17,17,17
803,1085,284,284,284
804,1086,19,19,19
805,1087,114,114,113
806,1088,32,32,32
807,1089,7,7,7
808,1090,63,62,62
809,1091,176,176,176
810,1092,6,6,6
811,1093,289,289,289
812,1094,34,34,34
813,1095,9,9,9
814,1096,19,19,19
815,1097,17,17,17
816,1098,30,30,30
817,1099,61,61,61
818,1100,23,23,23
819,1101,254,254,254
820,1102,480,480,480
821,1103,87,87,87
822,1104,62,62,62
823,1105,10,10,10
824,1106,37,37,37
825,1107,70,70,70
826,1108,187,187,187
827,1109,35,35,35
828,1110,39,39,39
829,1111,102,102,102
830,1112,24,24,24
831,1113,127,127,127
832,1114,38,38,38
833,1115,25,25,25
834,1116,33,33,33
835,1117,42,42,42
836,1118,8,8,8
837,1119,19,19,19
838,1120,18,18,18
839,1121,94,94,94
840,1122,106,106,106
841,1123,70,70,70
842,1124,58,58,58
843,1125,95,95,95
844,1126,227,228,227
845,1127,66,67,66
846,1128,15,16,15
847,1129,34,35,34
848,1130,2,3,2
849,1131,34,35,34
850,1132,23,24,23
851,1133,13,14,13
852,1134,25,26,25
853,1135,80,81,80
854,1136,10,11,10
855,1137,16,17,16
856,1138,16,17,16
857,1139,14,15,14
858,1140,35,37,35
859,1141,168,169,168
860,1142,131,132,131
861,1143,16,18,16
862,1144,22,24,22
863,1145,15,17,15
864,1146,112,114,112
865,1147,68,70,68
866,1148,310,312,309
867,1149,78,79,78
868,1150,441,442,441
869,1151,22,23,22
870,1152,9,11,9
871,1153,13,18,13
872,1154,62,67,62
873,1155,69,73,67
874,1156,52,57,52
875,1157,137,142,137
876,1158,60,65,60
877,1159,7,9,7
878,1160,12,14,12
879,1161,43,45,43
880,1162,25,27,25
881,1163,45,47,45
882,1164,8,9,8
883,1165,51,52,51
884,1166,32,33,32
885,1167,71,72,71
886,1168,90,91,90
887,1169,65,66,65
888,1170,514,515,513
889,1171,36,37,36
890,1172,57,58,57
891,1173,15,16,15
892,1174,103,104,103
893,1175,25,26,25
894,1176,12,13,12
895,1177,119,120,119
896,1178,145,146,145
897,1179,139,140,139
898,1180,51,52,51
899,1181,193,194,193
900,1182,18,18,18
901,1183,40,40,40
902,1184,35,35,35
903,1185,192,192,191
904,1186,241,241,241
905,1187,27,27,27
906,1188,138,138,138
907,1189,35,35,35
908,1190,722,722,721
909,1192,32,32,32
910,1193,27,27,27
911,1194,43,43,43
912,1195,86,86,86
913,1196,18,18,18
914,1197,32,32,32
915,1198,50,50,50
916,1199,4,4,4
917,1200,11,11,11
918,1201,83,83,83
919,1202,29,29,29
920,1203,19,19,19
921,1204,145,145,145
922,1205,121,121,121
923,1206,19,19,19
924,1207,28,28,28
925,1208,47,47,47
926,1209,26,26,26
927,1210,81,81,81
928,1211,36,36,36
929,1212,82,82,82
930,1213,149,149,149
931,1214,90,90,90
932,1215,4,4,4
933,1216,43,43,43
934,1217,13,13,13
935,1218,555,555,555
936,1219,43,43,43
937,1220,18,18,18
938,1221,128,128,128
939,1222,30,30,30
940,1223,126,126,126
941,1224,18,18,18
942,1225,111,111,111
943,1226,40,40,40
944,1227,49,49,49
945,1228,22,22,22
946,1229,50,50,50
947,1230,299,299,299
948,1231,61,61,61
949,1232,1,1,1
950,1233,0,0,0
951,1234,35,35,35
952,1235,26,26,26
953,1236,119,120,119
954,1237,109,110,109
955,1238,122,123,122
956,1239,47,47,47
957,1240,23,23,23
958,1241,0,0,0
959,1242,0,1,0
960,1243,33,34,33
961,1244,53,54,53
962,1245,76,76,76
963,1246,27,27,27
964,1247,21,21,21
965,1248,32,32,32
966,1249,42,42,42
967,1250,31,31,31
968,1251,129,129,129
969,1252,31,31,30
970,1253,14,14,14
971,1254,63,63,62
972,1255,72,72,72
973,1256,0,0,0
974,1257,3,3,3
975,1258,6,6,6
976,1259,2,2,2
977,1260,23,23,22
978,1261,71,71,71
979,1262,78,78,78
980,1263,446,446,446
981,1264,268,268,268
982,1265,159,159,159
983,1266,16,16,16
984,1267,343,343,340
985,1268,125,125,125
986,1269,136,136,136
987,1270,42,42,42
988,1271,18,18,18
989,1272,1,1,1
990,1273,12,12,12
991,1274,340,339,339
992,1275,21,21,21
993,1276,26,26,26
994,1277,7,7,7
995,1278,23,23,23
996,1279,35,35,35
997,1280,92,92,92
998,1281,93,93,93
999,1282,90,90,90
1000,1283,27,27,27
1001,1284,160,159,159
1002,1285,35,35,35
1003,1288,891,890,889
1004,1289,8,8,8
1005,1290,33,33,33
1006,1291,54,54,54
1007,1292,36,36,36
1008,1293,17,17,17
1009,1294,14,14,14
1010,1296,0,0,0
1011,1297,22,22,22
1012,1298,71,71,71
1013,1299,106,106,106
1014,1300,129,129,128
1015,1301,31,31,31
1016,1302,406,405,405
1017,1303,63,63,63
1018,1304,26,26,26
1019,1305,69,69,69
1020,1306,147,147,147
1021,1307,22,22,22
1022,1308,53,53,53
1023,1309,64,64,64
1024,1310,17,17,17
1025,1311,24,24,24
1026,1312,103,103,103
1027,1313,38,38,38
1028,1314,481,481,481
1029,1315,27,27,27
1030,1316,7,7,7
1031,1317,30,30,30
1032,1318,25,25,25
1033,1319,49,48,48
1034,1320,27,27,27
1035,1321,41,41,41
1036,1322,117,115,115
1037,1323,62,62,62
1038,1324,17,17,17
1039,1325,46,46,46
1040,1326,173,173,171
1041,1327,93,93,93
1042,1328,18,18,17
1043,1329,36,36,36
1044,1330,57,57,57
1045,1331,6,6,6
1046,1332,85,85,85
1047,1333,30,30,30
1048,1334,9,9,9
1049,1335,22,22,22
1050,1336,16,16,16
1051,1337,13,13,13
1052,1339,16,16,16
1053,1340,59,59,59
1054,1341,10,10,10
1055,1342,265,265,264
1056,1343,26,26,26
1057,1344,78,77,77
1058,1345,14,14,14
1059,1346,399,398,396
1060,1347,245,245,245
1061,1348,522,519,517
1062,1349,45,45,45
1063,1350,42,42,42
1064,1351,10,10,10
1065,1352,16,16,16
1066,1353,34,33,33
1067,1354,54,54,54
1068,1355,8,8,8
1069,1356,5,5,5
1070,1357,35,35,35
1071,1358,79,79,78
1072,1359,11,11,11
1073,1360,18,18,18
1074,1361,76,76,76
1075,1362,20,20,20
1076,1363,44,44,44
1077,1364,5,5,5
1078,1365,14,14,14
1079,1366,14,14,14
1080,1367,32,32,32
1081,1368,33,33,33
1082,1369,18,18,18
1083,1370,15,15,15
1084,1371,45,45,45
1085,1372,16,16,16
1086,1374,0,0,0
1087,1375,32,32,32
1088,1376,249,249,249
1089,1377,189,189,189
1090,1378,43,43,43
1091,1379,67,67,67
1092,1380,320,320,320
1093,1381,67,67,67
1094,1383,1,1,1
1095,1384,30,31,30
1096,1385,552,553,552
1097,1386,31,33,31
1098,1387,705,707,705
1099,1388,23,26,23
1100,1389,25,28,25
1101,1390,62,65,62
1102,1391,59,62,59
1103,1392,441,444,441
1104,1393,52,55,52
1105,1394,39,43,39
1106,1395,34,38,34
1107,1396,36,40,36
1108,1397,95,99,95
1109,1398,12,16,12
1110,1399,74,78,74
1111,1400,75,79,75
1112,1401,133,137,133
1113,1402,19,26,19
1114,1403,125,132,125
1115,1404,273,279,273
1116,1405,51,57,51
1117,1406,23,29,23
1118,1407,63,69,63
1119,1408,112,118,112
1120,1409,24,30,24
1121,1410,8,14,8
1122,1411,32,38,32
1123,1412,33,39,33
1124,1413,44,51,44
1125,1414,20,27,20
1126,1415,164,171,164
1127,1416,20,27,20
1128,1417,40,46,40
1129,1418,59,64,59
1130,1419,214,224,214
1131,1420,460,469,458
1132,1421,41,53,41
1133,1422,29,41,29
1134,1423,75,86,75
1135,1424,26,37,26
1136,1425,2,13,2
1137,1426,507,517,505
1138,1427,545,556,545
1139,1428,11,22,11
1140,1429,43,56,43
1141,1430,23,35,23
1142,1431,40,159,40
1143,1432,63,182,63
1144,1433,19,136,19
1145,1434,29,36,29
1146,1435,46,53,46
1147,1436,43,51,43
1148,1437,555,562,555
1149,1438,75,83,75
1150,1439,266,274,266
1151,1440,72,81,72
1152,1441,438,447,436
1153,1442,34,42,34
1154,1443,10,18,10
1155,1444,62,68,62
1156,1445,28,35,28
1157,1446,12,19,12
1158,1447,15,22,15
1159,1448,13,20,13
1160,1449,102,109,102
1161,1450,105,112,104
1162,1451,38,46,38
1163,1452,63,71,63
1164,1453,38,46,38
1165,1454,102,109,102
1166,1455,33,40,33
1167,1456,43,56,43
1168,1457,585,598,585
1169,1458,117,129,117
1170,1459,17,22,17
1171,1460,6,11,6
1172,1461,116,121,116
1173,1462,102,107,102
1174,1463,160,165,160
1175,1464,38,43,38
1176,1465,25,30,25
1177,1466,76,81,76
1178,1467,41,46,41
1179,1468,44,49,44
1180,1469,275,280,275
1181,1470,64,69,63
1182,1471,550,553,547
1183,1472,25,32,25
1184,1473,566,573,564
1185,1474,34,39,34
1186,1475,34,36,34
1187,1476,32,32,32
1188,1477,59,59,59
1189,1478,40,40,40
1190,1479,109,109,109
1191,1480,163,163,163
1192,1481,36,36,36
1193,1482,26,26,26
1194,1483,61,61,61
1195,1484,0,0,0
1196,1485,2,2,2
1197,1486,33,33,33
1198,1487,49,49,49
1199,1489,130,130,130
1200,1490,6,6,6
1201,1491,1,1,1
1202,1492,20,20,20
1203,1493,41,41,41
1204,1494,17,17,17
1205,1495,212,212,212
1206,1496,11,11,11
1207,1497,4,4,4
1208,1498,136,136,136
1209,1499,17,17,17
1210,1500,37,37,37
1211,1501,34,34,34
1212,1502,4,4,4
1213,1503,3,3,3
1214,1504,32,32,32
1215,1505,27,27,27
1216,1506,12,12,12
1217,1507,54,54,54
1218,1508,79,79,79
1219,1509,29,29,29
1220,1510,24,24,24
1221,1511,1,1,1
1222,1513,203,203,203
1223,1514,510,510,510
1224,1515,57,57,57
1225,1516,73,73,73
1226,1517,28,28,28
1227,1518,23,25,23
1228,1519,213,215,213
1229,1520,18,20,18
1230,1521,51,53,51
1231,1522,56,58,56
1232,1523,26,28,26
1233,1524,57,59,57
1234,1525,21,23,21
1235,1526,8,10,8
1236,1527,4,6,4
1237,1528,153,155,153
1238,1529,20,23,20
1239,1530,18,21,18
1240,1531,35,38,35
1241,1533,4,4,4
1242,1534,2,2,2
1243,1535,86,86,86
1244,1536,17,17,17
1245,1537,98,98,98
1246,1538,8,8,8
1247,1539,0,0,0
1248,1540,44,44,44
1249,1541,51,51,51
1250,1542,109,109,109
1251,1543,24,24,24
1252,1544,38,38,38
1253,1545,184,183,183
1254,1546,20,24,20
1255,1547,217,221,217
1256,1548,75,75,75
1257,1549,189,188,188
1258,1550,79,79,79
1259,1551,67,67,67
1260,1552,48,48,48
1261,1553,17,17,17
1262,1554,19,19,18
1263,1555,100,100,100
1264,1556,33,33,33
1265,1557,17,17,17
1266,1558,172,172,172
1267,1559,68,68,68
1268,1560,17,17,17
1269,1561,9,9,9
1270,1562,28,28,28
1271,1563,51,51,51
1272,1564,28,28,28
1273,1565,28,28,28
1274,1566,15,15,15
1275,1567,196,196,196
1276,1568,107,107,107
1277,1569,3,3,3
1278,1570,105,105,105
1279,1571,14,14,14
1280,1572,286,286,286
1281,1573,30,30,30
1282,1574,32,32,32
1283,1575,0,0,0
1284,1576,25,28,25
1285,1577,73,76,73
1286,1578,31,34,31
1287,1579,37,35,35
1288,1580,118,118,118
1289,1581,22,22,21
1290,1582,86,88,86
1291,1583,67,82,66
1292,1584,42,57,42
1293,1585,90,105,88
1294,1586,38,52,38
1295,1587,35,49,35
1296,1588,186,199,184
1297,1589,231,233,230
1298,1590,172,174,172
1299,1591,36,38,36
1300,1592,185,187,184
