recombinant,parent1,parent2,recombinant_date,parent1_date,parent2_date,pango_counts,sc2ts_mrca,sc2ts_num_descendants,sc2ts_closest_recombinant,sc2ts_closest_recombinant_path_len,sc2ts_num_mutations,x_lineage_involved,usher_num_descendants
SRR21317915,SRR16499858,ERR7521902,2021-10-28,2021-09-20,2021-11-19,{'AY.3': 1},785498,1,242168,14,7,False,1
ERR9077528,ERR9132575,ERR12750946,2022-02-21,2022-02-25,2022-04-29,{'BA.2': 1},1290366,1,-1,2147483648,3,False,1
node_134406,ERR7287401,node_344751,2021-10-18,2021-10-29,2021-12-04,{'AY.4': 1},737789,1,242168,13,0,False,1
node_412932,SRR14380439,ERR5381053,2021-04-01,2021-03-31,2021-02-15,{'B.1.1.7': 2},236883,2,-1,2147483648,5,False,2
node_234364,SRR17378862,ERR7232760,2021-12-04,2021-12-14,2021-10-16,{'AY.39': 1},979048,4,242168,10,6,False,1
node_255870,SRR15548585,ERR11849799,2021-09-06,2021-07-28,2021-08-27,{'AY.103': 4},557702,4,242168,4,14,False,4
ERR13041352,ERR13011374,ERR13051547,2022-11-25,2022-10-17,2022-12-23,{'BQ.1.13': 1},1716073,1,1716074,1,0,False,1
node_182812,SRR15391634,SRR19931558,2021-11-12,2021-07-22,2021-11-04,{'AY.100': 1},865983,1,865984,1,0,False,1
ERR7528093,ERR7539514,node_174170,2021-11-18,2021-11-21,2021-08-29,{'AY.43': 1},894977,1,894978,1,0,False,1
SRR17134150,SRR16571709,ERR6492325,2021-09-16,2021-09-05,2021-08-07,{'AY.127': 1},605947,1,242168,5,7,False,1
node_189698,SRR16284461,SRR15391855,2021-09-28,2021-09-13,2021-07-19,{'AY.119': 3},656335,3,656336,1,0,False,3
SRR20263943,SRR17330843,SRR15518829,2021-11-23,2021-11-26,2021-07-30,{'AY.100': 1},923476,5,242168,10,6,False,1
node_197685,ERR7318562,ERR8267093,2021-09-15,2021-10-28,2021-10-21,{'AY.121': 5},597513,6,242168,6,5,False,5
SRR25955693,SRR26123285,SRR26075997,2023-08-25,2023-09-03,2023-08-23,{'XBB.1.16': 1},1837858,1,1837859,1,0,True,1
SRR16527246,SRR16629883,node_188896,2021-09-27,2021-09-24,2021-08-06,{'AY.39': 1},651496,1,651497,1,0,False,1
ERR7375837,ERR12841172,ERR7235923,2021-11-01,2021-10-23,2021-10-19,{'AY.4': 1},802373,1,242168,9,7,False,1
SRR22896031,ERR13173513,node_695550,2022-11-07,2022-07-06,2022-11-07,{'BF.7.4.1': 1},1707714,1,1707715,1,0,False,1
node_72382,ERR6814611,ERR6903045,2021-10-18,2021-09-14,2021-09-23,{'AY.4': 10},736492,10,736493,1,0,False,10
node_748895,ERR8149553,ERR13173177,2022-03-15,2022-01-18,2022-06-17,{'BA.2': 3},1363639,3,1363639,0,0,False,3
node_739269,ERR9622628,ERR8144872,2022-02-25,2022-04-11,2022-01-18,{'BA.2': 7},1304458,7,1304458,0,0,False,7
ERR8420822,ERR8275294,SRR20350853,2022-01-26,2022-01-21,2022-01-23,{'BA.1': 1},1168320,1,-1,2147483648,6,False,1
node_698227,SRR20748020,SRR20664150,2022-09-04,2022-07-10,2022-07-06,{'BA.5.2.1': 7},1648491,7,1648492,1,0,False,7
node_607557,ERR11923729,ERR11642399,2023-08-21,2023-08-12,2023-06-08,{'XCP': 40},1836124,40,1836124,0,0,True,40
node_190160,SRR20251447,ERR11742327,2021-11-11,2021-11-11,2021-09-23,{'AY.113': 2},887099,2,242168,6,4,False,2
node_157559,ERR7287256,ERR6492325,2021-10-27,2021-10-28,2021-08-07,{'AY.4': 1},778937,1,778938,1,0,False,1
ERR10804812,ERR10805755,SRR23055305,2023-01-04,2023-01-17,2023-01-02,{'CH.1.1.14': 1},1742583,1,-1,2147483648,4,False,1
SRR20249562,SRR19931969,SRR15200045,2021-11-10,2021-11-04,2021-07-02,{'AY.39': 1},854566,1,242168,6,4,False,1
node_345172,SRR15342015,ERR6492325,2021-08-29,2021-07-18,2021-08-07,{'AY.20': 2},611210,2,523725,1,0,False,2
ERR7742605,ERR7547842,ERR8187981,2021-12-06,2021-11-22,2021-11-30,{'AY.4.2.2': 1},985247,1,242168,14,4,False,1
ERR13046667,ERR12979441,ERR10385907,2022-10-29,2022-09-12,2022-09-28,{'BA.5.2': 1},1702744,1,1702745,1,0,False,1
node_189044,SRR16237438,SRR15629270,2021-10-22,2021-09-12,2021-08-06,{'AY.39': 1},757441,1,242168,13,1,False,1
ERR7009611,ERR6223118,ERR6605289,2021-09-02,2021-06-30,2021-08-24,{'AY.4': 1},542027,1,542028,1,0,False,1
node_186095,SRR20250955,ERR11756647,2021-10-12,2021-11-12,2021-12-01,{'AY.100': 47},754228,49,242168,5,5,False,47
SRR27387213,SRR27353959,SRR27366131,2023-11-25,2023-10-26,2023-10-10,{'EG.5.1': 1},1866941,1,1866942,1,0,False,1
node_600434,ERR10911007,node_623617,2023-08-08,2023-02-06,2023-08-24,"{'GK.1.1': 342, 'XCH.1': 52, 'GK.2.4': 24, 'XCH': 103, 'XCR': 84, 'GK.1.1.1': 141, 'GK.2.1': 88, 'GK.2': 143, 'GK.1.6': 29, 'GK.1.6.1': 35, 'XCL': 22, 'GK.4': 15, 'GK.3.1': 100, 'GK.2.2': 3, 'GK.3.2': 8, 'GK.1.10': 9, 'GK.1': 27, 'GK.2.1.1': 11, 'GK.8.1': 7, 'XBB.1.5.70': 12, 'GK.6': 10, 'GK.1.2': 6, 'GK.1.5': 2, 'GK.2.3': 8, 'GK.7': 12, 'GK.1.7': 3, 'GK.3': 5, 'GK.1.9': 3, 'GK.5.1': 2, 'GK.12': 1, 'GK.8': 1}",1706057,57052,1676682,4,1,True,1308
SRR19933105,node_180048,ERR6440908,2021-12-23,2021-12-23,2021-07-26,{'AY.100': 1},1054788,2,242168,10,6,False,1
ERR9940303,ERR10738159,ERR9821533,2022-06-26,2022-08-24,2022-05-21,{'BA.5.1': 1},1541827,1,1541828,1,0,False,1
node_680244,SRR21538305,node_680243,2022-09-17,2022-08-25,2022-09-06,{'BF.27': 2},1664549,2,1664550,1,0,False,2
SRR16381044,ERR11755864,SRR16351054,2021-09-18,2021-11-22,2021-09-17,{'AY.113': 1},614120,1,374078,2,9,False,1
ERR7238940,ERR7236446,ERR6605289,2021-10-16,2021-10-16,2021-08-24,{'AY.4': 1},729930,1,242168,10,7,False,1
ERR13321417,node_607556,ERR13053872,2023-11-13,2023-08-21,2023-12-04,{'HK.13.1': 1},1862849,1,1862850,1,0,False,1
node_583707,ERR10931842,ERR13044272,2022-11-15,2023-01-31,2023-02-11,{'CH.1.1': 3},1711437,3,-1,2147483648,6,False,3
node_233015,SRR15295106,SRR16307205,2021-06-23,2021-06-26,2021-09-13,{'AY.39': 35},330860,379,242168,7,1,False,35
node_683372,ERR9365262,SRR21223066,2022-08-12,2022-03-09,2022-08-01,{'BF.28': 2},1620643,2,1620643,0,0,False,2
SRR17445040,node_360083,ERR11852532,2021-07-15,2021-07-15,2021-08-23,{'AY.67': 1},371584,1,371585,1,0,False,1
SRR20186719,SRR20940284,SRR15391719,2021-12-06,2021-12-07,2021-07-21,{'AY.119.2': 1},990005,2,242168,7,5,False,1
ERR13040343,ERR12781803,ERR13054211,2023-01-20,2022-07-06,2023-01-07,{'BQ.1.1': 1},1753016,1,1753017,1,0,False,1
SRR16606235,SRR16527271,ERR7239527,2021-09-28,2021-09-21,2021-10-16,{'AY.39': 1},656246,1,242168,8,5,False,1
ERR6557788,ERR6529403,ERR6476052,2021-08-12,2021-08-09,2021-07-30,{'AY.122': 1},465285,1,465286,1,0,False,1
ERR7028215,ERR6931107,ERR6650168,2021-10-03,2021-09-28,2021-08-26,{'AY.4': 1},673100,1,673101,1,0,False,1
node_189069,SRR16307266,SRR15199972,2021-10-03,2021-09-14,2021-06-25,{'AY.39': 1},674924,1,242168,9,2,False,1
node_695469,ERR10039731,ERR12979048,2022-10-18,2022-07-22,2022-09-08,{'BF.7.26': 2},1694398,2,1694398,0,3,False,2
ERR7154038,ERR6657372,ERR7237438,2021-10-07,2021-08-27,2021-10-16,{'AY.4': 1},691848,1,691849,1,0,False,1
SRR16245594,SRR16245591,ERR11754059,2021-09-09,2021-09-09,2021-10-13,{'AY.39': 1},573714,1,242168,7,4,False,1
node_49080,ERR6105556,ERR6771419,2021-11-26,2021-06-09,2021-09-06,{'AY.4': 2},936095,2,936096,1,0,False,2
SRR23709688,SRR24270180,ERR11079349,2023-02-10,2023-04-11,2023-02-26,{'XBB.1.5.20': 1},1767594,1,1676682,8,6,True,1
node_189748,SRR16838910,SRR15391358,2021-11-12,2021-10-12,2021-07-16,{'AY.119': 2},865596,2,242168,11,5,False,2
ERR6451662,ERR6322711,ERR6331868,2021-07-29,2021-07-08,2021-07-09,{'AY.8': 1},411609,1,411610,1,0,False,1
node_519650,ERR7792017,ERR11795518,2021-12-26,2021-12-10,2021-12-27,{'BA.1.17.2': 10},898615,431061,-1,2147483648,1,False,10
node_188657,ERR6901472,node_188768,2021-11-06,2021-09-23,2021-08-06,{'AY.4': 1},828528,1,828529,1,0,False,1
ERR6758564,ERR6522615,ERR6112499,2021-09-09,2021-08-08,2021-06-08,{'AY.4': 1},569165,1,242168,6,4,False,1
SRR20259302,SRR19277383,ERR13153313,2021-10-20,2021-12-23,2021-07-30,{'AY.119': 1},749774,10,242168,6,5,False,1
node_481667,ERR8288314,ERR10511768,2022-03-01,2022-01-21,2022-11-09,{'BA.1.1': 3},1314922,3,1314922,0,0,False,3
node_46869,SRR20233571,ERR11826324,2021-09-17,2021-11-02,2021-11-28,{'AY.117': 97},623909,98,242168,7,4,False,97
node_189440,SRR15818867,SRR16834680,2021-10-14,2021-08-09,2021-10-11,{'AY.100': 3},723905,3,723905,0,0,False,3
ERR8487500,ERR8541113,ERR8640466,2022-01-27,2022-01-31,2022-02-07,{'BA.1': 1},1172197,1,-1,2147483648,4,False,1
SRR16620947,SRR14312655,ERR11823501,2021-05-11,2021-04-02,2021-03-10,{'B.1.526': 1},287929,1,287930,1,0,False,1
node_226015,ERR6543803,ERR6485425,2021-08-07,2021-08-12,2021-08-06,{'AY.43': 1},447740,1,242168,6,7,False,1
SRR16527807,SRR20951995,node_189403,2021-09-26,2021-11-15,2021-09-16,{'AY.100': 1},647026,2,242168,9,4,False,1
node_434628,ERR5174309,SRR29023076,2021-02-14,2020-12-21,2021-04-23,{'B.1.1.7': 3},153346,3,-1,2147483648,7,False,3
SRR16884218,SRR16782118,SRR16829649,2021-10-14,2021-10-13,2021-10-09,{'AY.103': 1},723630,1,242168,6,5,False,1
ERR7802481,node_224677,ERR9188242,2021-12-03,2021-12-08,2021-11-28,{'AY.43': 1},973645,1,242168,8,7,False,1
SRR27240204,SRR19319894,ERR13322628,2023-12-04,2022-05-05,2024-02-19,{'JN.1.39': 1},1871114,1,1871115,1,0,False,1
ERR8256185,ERR12853497,ERR6760619,2021-12-06,2021-11-19,2021-09-03,{'AY.4': 1},985469,1,242168,11,7,False,1
node_189382,SRR17219382,SRR16706972,2021-11-11,2021-11-09,2021-10-06,{'AY.100': 2},860532,2,242168,9,4,False,2
node_189079,SRR15199972,SRR20258596,2021-10-28,2021-06-25,2021-10-17,{'AY.39': 1},784689,1,784690,1,0,False,1
node_696427,SRR21001735,SRR19708420,2022-06-13,2022-07-23,2022-05-17,{'BA.5': 3},1525419,3,1525419,0,0,False,3
SRR16884076,SRR16884155,ERR6571500,2021-10-12,2021-10-11,2021-08-08,{'AY.118': 1},715448,1,242168,8,7,False,1
SRR16518465,ERR13160287,SRR15553319,2021-09-22,2021-08-05,2021-08-03,{'AY.3': 1},632244,1,632245,1,0,False,1
SRR29320158,SRR27117901,ERR13077316,2023-12-11,2023-11-05,2023-10-23,{'HK.19': 1},1873547,1,1873548,1,0,False,1
node_224677,ERR7802481,ERR7515537,2021-12-08,2021-12-03,2021-11-18,{'AY.43': 2},999332,2,242168,12,5,False,2
SRR21642040,SRR21796083,SRR19722863,2022-07-17,2022-09-16,2022-05-28,{'BA.2.12.1': 1},1580601,1,1580602,1,0,False,1
node_580467,node_586748,ERR10707037,2023-02-02,2023-01-23,2022-12-06,{'BA.2': 7},1623617,30820,1412770,10,1,False,7
SRR16245770,node_190536,SRR15993681,2021-09-09,2021-10-24,2021-08-25,{'AY.116.1': 1},573733,3,390354,2,6,False,1
node_188914,SRR15948690,SRR15391404,2021-08-31,2021-08-18,2021-07-16,{'AY.39': 1},2395646,1,242168,12,6,False,1
SRR15314696,ERR9899378,ERR13163820,2021-07-26,2021-07-27,2021-11-24,{'AY.26': 1},402305,1,-1,2147483648,10,False,1
ERR8251978,ERR6626707,ERR7497034,2021-12-06,2021-08-26,2021-11-14,{'AY.36': 1},988783,1,988784,1,0,False,1
ERR7268636,ERR11761851,ERR6776446,2021-10-22,2021-07-16,2021-09-06,{'AY.4': 1},755893,1,755894,1,0,False,1
node_189385,node_182177,ERR13153313,2021-12-14,2021-11-09,2021-07-30,{'AY.100': 1},1024948,1,1024949,1,0,False,1
ERR6571997,node_189650,ERR6709461,2021-08-16,2021-08-11,2021-08-28,{'AY.42': 1},474795,3,373502,4,4,False,1
node_653913,ERR10004039,ERR9892585,2022-07-24,2022-07-07,2022-06-18,{'BA.5': 3},1592682,3,1592682,0,0,False,3
SRR20254757,SRR16184577,SRR16883450,2021-10-15,2021-09-11,2021-10-12,{'AY.118': 1},727968,1,242168,8,6,False,1
ERR7775950,ERR12794355,ERR7676334,2021-12-10,2021-07-17,2021-12-02,{'AY.4.2': 1},1007053,1,1007054,1,0,False,1
node_702824,ERR10045067,ERR10150279,2022-07-28,2022-07-26,2022-08-23,{'BA.5.2': 2},1896655,1294266,-1,2147483648,56,False,2
ERR5458848,ERR5316952,ERR5458865,2021-02-15,2021-02-09,2021-02-16,{'B.1.1.7': 1},155689,1,-1,2147483648,4,False,1
node_186146,SRR20116100,ERR11827861,2021-09-15,2021-12-01,2021-11-09,{'AY.100': 107},242168,1240987,242168,0,13,False,107
ERR9085156,ERR8150270,SRR17992458,2022-02-13,2022-01-17,2022-01-09,{'BA.1.1': 1},1258351,1,-1,2147483648,5,False,1
node_235497,SRR19939593,SRR16239548,2021-10-18,2021-12-28,2021-09-09,{'AY.39': 47},739668,47,242168,9,5,False,47
node_547348,SRR19723558,SRR19946443,2022-06-06,2022-05-28,2022-06-02,{'BA.2.12.1': 2},1514691,2,1514691,0,0,False,2
node_522191,ERR8304130,ERR10673300,2021-12-12,2022-01-22,2022-12-05,{'BA.1.17.2': 2},1020130,2,-1,2147483648,4,False,2
SRR16351524,SRR16246120,SRR16883450,2021-09-14,2021-09-10,2021-10-12,{'AY.124': 1},596716,1,332163,6,7,False,1
ERR12960981,ERR12780385,ERR12713711,2022-04-01,2022-04-28,2022-04-14,{'BA.2.9': 1},1416281,1,-1,2147483648,2,False,1
node_126653,ERR6922413,ERR6105556,2021-11-16,2021-09-27,2021-06-09,{'AY.4': 3},884547,3,242168,8,5,False,3
node_619639,ERR11779304,ERR11642432,2023-08-07,2023-07-18,2023-06-12,{'EG.5.1.13': 4},1833043,4,1833044,1,0,False,4
ERR7378832,ERR11753728,ERR6773979,2021-10-30,2021-10-17,2021-09-08,{'AY.98': 1},792425,1,792426,1,0,False,1
SRR19689862,SRR17497269,SRR19684011,2022-02-11,2021-12-23,2022-02-14,{'BA.1.1': 1},1249585,1,-1,2147483648,5,False,1
node_189508,SRR16380706,SRR17377799,2021-11-10,2021-09-19,2021-11-14,{'AY.100': 3},848654,5,242168,10,1,False,3
ERR7318562,ERR7149325,SRR15877561,2021-10-28,2021-10-05,2021-08-11,{'AY.121': 1},783468,1,783469,1,0,False,1
ERR6633394,ERR6464471,ERR13153313,2021-08-20,2021-07-31,2021-07-30,{'AY.4': 1},487339,1,242168,5,4,False,1
SRR22037705,ERR10151040,node_677180,2022-10-10,2022-08-16,2022-08-21,{'BA.5.6': 1},1686514,1,1686515,1,0,False,1
SRR26256643,SRR25643103,ERR12481849,2023-09-14,2023-07-29,2023-12-07,{'XBB.1.16.11': 1},1844987,1,1844988,1,0,True,1
ERR6760245,SRR15518151,node_188716,2021-08-27,2021-08-02,2021-08-27,{'AY.107': 1},515589,1,515590,1,0,False,1
SRR17813172,SRR15272300,SRR17847566,2021-12-23,2021-07-12,2021-12-21,{'AY.119': 1},1054254,1,1054255,1,0,False,1
SRR28104551,node_623615,ERR13050029,2023-11-01,2023-10-05,2023-10-16,{'EG.5.1.3': 1},1859422,1,1859423,1,0,False,1
node_189687,ERR6409149,ERR6378221,2021-07-24,2021-07-26,2021-07-21,{'AY.120': 2},242168,1240987,242168,0,13,False,2
SRR20918238,SRR17820300,ERR7233601,2021-12-16,2022-01-18,2021-10-20,{'AY.119': 1},1033650,1,242168,8,7,False,1
node_724345,ERR10005669,SRR21275739,2022-07-06,2022-07-18,2022-07-25,{'BA.4': 2},1559286,2,1559287,1,0,False,2
SRR15982371,SRR15777419,SRR15915518,2021-09-03,2021-08-21,2021-08-19,{'B.1.617.2': 1},547627,1,547628,1,0,False,1
node_209609,ERR11753913,ERR6837634,2021-09-16,2021-10-13,2021-09-04,{'AY.4': 2},604268,2,242168,11,6,False,2
node_188294,ERR6602566,SRR20178193,2021-10-22,2021-08-24,2021-11-17,{'AY.4': 1},755433,1,242168,9,6,False,1
SRR21042171,SRR20095525,SRR20919455,2022-07-20,2022-06-13,2022-07-18,{'BA.5': 1},1586221,1,1586222,1,0,False,1
node_184968,SRR16751928,ERR6760263,2021-11-05,2021-10-01,2021-08-24,{'AY.100': 1},826815,1,242168,11,7,False,1
node_600501,SRR24795867,ERR12385266,2023-08-23,2023-05-11,2023-11-04,{'XCR': 84},1837015,84,1837016,1,0,True,84
node_667350,SRR22668180,ERR10430901,2023-01-07,2022-11-22,2022-10-17,{'BA.5.2.1': 2},1745668,2,1745668,0,0,False,2
SRR20111223,ERR9483503,ERR8135413,2022-05-09,2022-03-24,2022-01-15,{'BA.2': 1},1480586,1,1480587,1,0,False,1
SRR26556244,SRR26556649,SRR27106473,2023-10-11,2023-10-13,2023-11-22,{'XBB.1.5.70': 1},1853715,1,1853716,1,0,True,1
node_527748,ERR9193758,ERR8076203,2022-03-02,2022-02-25,2022-01-12,{'BA.1.17.2': 2},1317801,2,1317801,0,1,False,2
node_189836,SRR15628585,SRR20944594,2021-10-19,2021-08-05,2021-11-15,{'AY.119.2': 3},745179,4,242168,9,4,False,3
ERR7239824,ERR6779332,ERR6492325,2021-10-26,2021-09-08,2021-08-07,{'AY.4': 1},771881,1,771882,1,0,False,1
SRR16383990,SRR16383989,ERR6571333,2021-09-20,2021-09-20,2021-08-18,{'AY.44': 1},622579,1,242168,8,6,False,1
node_302584,SRR17003892,SRR17187152,2021-11-22,2021-11-08,2021-11-30,{'AY.3': 1},916673,1,242168,13,4,False,1
ERR13175818,ERR10003590,SRR21792689,2022-12-19,2022-07-08,2022-09-19,{'BA.5.3.1': 1},1731344,1,1731345,1,0,False,1
node_675372,ERR10039731,ERR12980247,2022-10-16,2022-07-22,2022-08-02,{'BA.5.3.1': 2},1692238,2,1692239,1,0,False,2
node_526214,ERR9319960,ERR8132085,2022-02-15,2022-03-07,2022-01-19,{'BA.1.17.2': 2},1267048,2,1267049,1,0,False,2
node_638189,ERR10001641,ERR10111486,2022-10-31,2022-07-06,2022-08-13,{'BA.5': 2},1703894,2,1703895,1,0,False,2
SRR19279245,SRR20259179,ERR11742424,2021-10-21,2021-10-21,2021-10-12,{'AY.119': 1},753367,1,242168,6,4,False,1
ERR11754286,ERR11753881,ERR6578584,2021-10-18,2021-10-17,2021-08-18,{'AY.4.8': 1},735014,1,735015,1,0,False,1
node_699816,ERR10000667,ERR10005934,2022-07-04,2022-07-04,2022-07-20,{'BF.6': 10},1557608,10,1554403,1,0,False,10
ERR6765753,ERR6470794,SRR16706479,2021-09-03,2021-08-03,2021-10-04,{'AY.4': 1},546592,1,546593,1,0,False,1
node_196258,SRR17235276,ERR6731572,2021-09-25,2021-10-25,2021-09-03,{'AY.106': 3},644657,4,242168,3,4,False,3
node_601240,node_593544,ERR10666866,2023-02-28,2023-03-05,2022-11-22,{'XBB.1.5': 1},1786271,1,1676682,8,7,True,1
SRR20917993,SRR17205823,SRR15518829,2021-12-17,2021-11-30,2021-07-30,{'AY.100': 1},1037627,1,242168,11,6,False,1
node_635232,node_635230,SRR27417703,2023-12-17,2023-12-17,2023-12-16,"{'XDD': 68, 'XDD.1.1': 17, 'XDD.1': 17, 'XDD.1.1.1': 7, 'XDD.3': 2, 'XDD.2': 1}",1875327,112,1875327,0,0,True,112
node_189627,SRR16504126,SRR15628757,2021-10-20,2021-09-21,2021-08-05,{'AY.117': 2},781083,2,749813,1,0,False,2
ERR12079917,ERR12080718,ERR10813843,2022-12-19,2022-12-14,2023-01-11,{'BA.5.2': 1},1730944,1,1412770,11,10,False,1
ERR7327882,ERR7369266,ERR7330875,2021-10-31,2021-10-29,2021-10-31,{'AY.4': 1},796440,1,242168,10,4,False,1
node_24359,SRR13689367,SRR14404745,2021-02-18,2020-12-02,2021-02-15,{'B.1.375': 2},160690,2,160691,1,0,False,2
node_695334,ERR10424576,ERR10462793,2022-11-08,2022-10-08,2022-10-27,{'BA.5.2.1': 9},1708269,9,1708270,1,0,False,9
node_167351,ERR7265232,ERR7328353,2021-10-25,2021-10-25,2021-11-01,{'AY.4': 8},766711,8,766712,1,0,False,8
SRR16008906,SRR13620291,SRR16008981,2021-06-07,2020-11-24,2021-07-06,{'B.1.351': 1},315213,2,-1,2147483648,7,False,1
ERR12539249,SRR25053154,ERR10000064,2022-07-22,2023-05-03,2022-07-05,{'BA.5.2': 1},1588774,1,1412770,10,7,False,1
node_580904,ERR9840698,SRR25727251,2022-11-02,2022-05-31,2022-11-23,{'BN.1.3.7': 1},1705536,1,1705537,1,0,False,1
ERR13159904,ERR13159128,ERR13149509,2021-07-17,2021-05-18,2021-04-12,{'P.1': 1},374838,1,374839,1,0,False,1
node_215736,ERR12794355,ERR6195790,2021-06-28,2021-07-17,2021-06-27,{'AY.6': 1},338744,1,242168,4,8,False,1
SRR20918075,SRR21296590,ERR7243253,2021-12-16,2021-12-03,2021-10-20,{'AY.4': 1},1033606,1,1033607,1,0,False,1
node_188665,ERR7094763,ERR6112499,2021-10-20,2021-10-06,2021-06-08,{'AY.4': 1},747805,1,747806,1,0,False,1
SRR20258232,SRR16379364,ERR7232760,2021-10-18,2021-09-26,2021-10-16,{'AY.39.1': 1},739877,1,739878,1,0,False,1
ERR9989603,ERR10003837,SRR20920170,2022-07-14,2022-07-08,2022-07-18,{'BA.4': 1},1574116,1,-1,2147483648,5,False,1
SRR17235276,SRR17235277,SRR20232545,2021-10-25,2021-10-25,2021-11-03,{'AY.106': 1},769869,1,242168,5,6,False,1
ERR13287273,ERR11761851,ERR11794685,2021-12-04,2021-07-16,2021-12-02,{'AY.4': 1},976103,1,976104,1,0,False,1
SRR12338410,ERR8288938,SRR26241865,2020-07-14,2022-01-23,2020-06-05,{'B.1.381': 1},24256,1,-1,2147483648,7,False,1
ERR7730302,ERR7753252,ERR11755403,2021-12-05,2021-12-07,2021-10-21,{'AY.4.2': 1},981713,1,242168,8,5,False,1
SRR21797771,ERR10002131,ERR13012044,2022-09-19,2022-07-05,2022-08-28,{'BA.5.3.1': 1},1666708,1,1666709,1,0,False,1
node_188517,ERR6456337,ERR13153313,2021-10-20,2021-07-29,2021-07-30,{'AY.4': 2},747818,2,242168,6,4,False,2
SRR21900426,SRR20105543,SRR20919761,2022-09-24,2022-06-28,2022-07-18,{'BA.4': 1},1672224,1,1672225,1,0,False,1
node_646361,ERR10015523,ERR9615445,2022-07-05,2022-07-18,2022-04-02,{'BA.5.1': 3},1554924,3,1554925,1,0,False,3
node_656772,SRR21061526,ERR9790178,2022-09-11,2022-07-22,2022-05-18,{'BA.5.1': 5},1655667,5,1655668,1,0,False,5
ERR7707958,ERR7306712,ERR6488595,2021-11-12,2021-10-28,2021-08-01,{'AY.36': 1},864505,1,864506,1,0,False,1
node_646932,SRR22391468,SRR22117054,2022-09-13,2022-10-28,2022-10-14,{'BA.5.1': 17},1658693,17,1412770,5,2,False,17
SRR20251029,SRR17128121,SRR20186529,2021-11-12,2021-11-16,2021-12-06,{'AY.4': 1},865708,2,687709,3,4,False,1
node_189821,SRR17414049,SRR16829139,2021-11-17,2021-11-25,2021-10-09,{'AY.119.2': 2},242168,1240987,242168,0,13,False,2
SRR20247188,SRR20234295,SRR16706536,2021-10-27,2021-11-01,2021-10-03,{'AY.118': 1},780099,1,242168,14,8,False,1
node_436834,ERR5219736,ERR5026579,2021-02-02,2021-01-15,2020-12-10,{'B.1.1': 3},136414,3,136414,0,3,False,3
node_663165,ERR10749075,SRR22908214,2022-11-10,2022-12-17,2022-11-12,{'BQ.1.1': 2},1709478,2,1709479,1,0,False,2
SRR26637391,ERR13048793,SRR26304625,2023-10-19,2023-09-25,2023-09-20,{'EG.5.1.3': 1},1855821,1,1676682,16,6,False,1
node_334245,SRR17352228,ERR11820691,2021-09-02,2021-10-02,2021-07-03,{'B.1.617.2': 3},540035,3,540035,0,3,False,3
node_189433,SRR16557045,ERR6491956,2021-09-16,2021-09-29,2021-07-21,{'AY.100': 2},605272,2,242168,9,4,False,2
node_405015,ERR8972578,ERR5706257,2021-05-24,2021-05-18,2021-04-04,{'B.1.1.7': 6},300231,6,-1,2147483648,2,False,6
