recombinant,sample_id,num_descendant_samples,num_samples,distinct_sample_pango,interval_left,interval_right,num_mutations,Viridian_amplicon_scheme,Artic_primer_version,date_added,group_id,group_size,recombinant_pango,recombinant_scorpio,recombinant_time,recombinant_date,sample,sample_pango,sample_scorpio,sample_time,sample_date,parent_left,parent_left_pango,parent_left_scorpio,parent_left_time,parent_left_date,parent_right,parent_right_pango,parent_right_scorpio,parent_right_time,parent_right_date,parent_mrca,parent_mrca_pango,parent_mrca_scorpio,parent_mrca_time,parent_mrca_date,diffs,max_run_length,num_mutations_k1000,num_mutations_k4,parent_pangonet_distance,net_min_supporting_loci_lft,net_min_supporting_loci_rgt,net_min_supporting_loci_lft_rgt_ge_4
44468,ERR4802533,2,1,1,25618,27874,2,COVID-ARTIC-V3,3,2020-10-22,2fc1521dbf,2,B.1.1.308,.,880.1891826201552,2020-09-24,44467,B.1.1.308,.,852.0,2020-10-22,31188,B.1.1.308,.,949.172293690009,2020-07-17,11180,B.1.1.29,.,1028.0,2020-04-29,59,B.1,.,1120.205274730523,2020-01-28,14,2,6,2,2,6,1,False
45340,ERR4825079,1,1,1,6287,11396,0,COVID-ARTIC-V3,3,2020-10-23,13a8f0f6b8,2,B.1.177,.,868.4304538630807,2020-10-06,45339,B.1.177,.,851.0,2020-10-23,2576,B.1.1,.,1062.0,2020-03-26,32404,B.1.177,.,882.0000000002001,2020-09-22,220185,B.1.617.2,Delta (B.1.617.2-like),789.3219728454021,2020-12-24,56,39,4,0,2,4,9,True
79763,ERR5054123,1,1,1,16177,20133,3,COVID-ARTIC-V3,3,2020-12-18,9607abe6a2,2,B.1.1,.,802.0,2020-12-11,79762,B.1.1,.,795.0,2020-12-18,32416,B.1.177,.,882.0,2020-09-22,71720,B.1.1.7,Alpha (B.1.1.7-like),802.0000000001,2020-12-11,220185,B.1.617.2,Delta (B.1.617.2-like),789.3219728454021,2020-12-24,63,8,16,3,3,17,23,True
82697,ERR5058070,2,1,1,6529,6954,0,COVID-ARTIC-V3,3,2020-12-23,102d758189,2,B.1.1.7,.,795.0,2020-12-18,82696,B.1.1.7,.,790.0,2020-12-23,32783,B.1.36.28,.,921.0000000001,2020-08-14,79917,B.1.1.7,Alpha (B.1.1.7-like),795.0000000001,2020-12-18,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,63,8,6,0,4,6,38,True
99000,ERR5304348,1,1,1,24915,27972,2,COVID-ARTIC-V3,3,2021-01-12,04de7d375d,2,B.1.1,.,781.433516402036,2021-01-01,98999,B.1.1,.,770.0,2021-01-12,64598,B.1.177.16,.,817.0,2020-11-26,86456,B.1.1.7,Alpha (B.1.1.7-like),880.9563236972826,2020-09-24,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,58,8,13,2,4,25,12,True
103390,ERR5220706,1,1,1,28718,28881,0,COVID-ARTIC-V3,.,2021-01-16,ecf31a7d24,2,B.1.177,.,769.0,2021-01-13,103389,B.1.177,.,766.0,2021-01-16,99782,B.1.177,.,769.0000000001,2021-01-13,80299,B.1.1.7,Alpha (B.1.1.7-like),852.0000000001,2020-10-22,59,B.1,.,1120.205274730523,2020-01-28,63,8,6,0,3,40,4,True
104754,ERR5238288,1,1,1,7729,10870,3,COVID-ARTIC-V3,3,2021-01-17,c76cd6e986,2,B.1.177.9,.,775.2635914083678,2021-01-07,104753,B.1.177.9,.,765.0,2021-01-17,62965,B.1.1.7,Alpha (B.1.1.7-like),821.0000000001,2020-11-22,73070,B.1.177.9,.,801.0,2020-12-12,59,B.1,.,1120.205274730523,2020-01-28,69,8,14,3,4,12,33,True
105931,ERR5232711,3,1,1,25997,27972,2,COVID-ARTIC-V3,3,2021-01-18,8ed8fa69ba,2,B.1.1.7,.,803.0,2020-12-10,105930,B.1.1.7,.,764.0,2021-01-18,70379,B.1.1.7,Alpha (B.1.1.7-like),803.0000000001,2020-12-10,59770,B.1.221.1,.,868.7401636427746,2020-10-06,903506,BA.2,Omicron (BA.2-like),452.0000000001005,2021-11-26,62,8,15,2,4,32,10,True
122444,ERR5308556,39,1,1,20411,21765,0,COVID-ARTIC-V3,3,2021-01-30,a84217a395,2,XA,.,769.0,2021-01-13,122443,XA,.,752.0,2021-01-30,78638,B.1.177.18,.,796.0,2020-12-17,99722,B.1.1.7,Alpha (B.1.1.7-like),769.0000000002001,2021-01-13,208115,B.1.617.2,Delta (B.1.617.2-like),855.4983214353468,2020-10-19,65,8,12,0,4,19,26,True
125722,ERR5335088,3,2,1,22445,23063,3,COVID-ARTIC-V3,3,2021-02-02,181379d30a,3,B.1.1,.,768.4515287481032,2021-01-14,125720,B.1.1,.,749.0,2021-02-02,70661,B.1.36.39,.,803.0,2020-12-10,77628,B.1.1.7,Alpha (B.1.1.7-like),797.0,2020-12-16,1205299,BA.5.2,Omicron (BA.5-like),342.9280766703952,2022-03-16,64,8,19,3,4,22,20,True
130133,ERR5403161,2,2,1,4891,6286,3,COVID-ARTIC-V3,3,2021-02-06,6d5e33d283,3,B.1.177,.,765.5288772563578,2021-01-17,130131,B.1.177,.,745.0,2021-02-06,32427,C.30,.,882.0000000002001,2020-09-22,55938,B.1.177,.,873.6546671982316,2020-10-01,59,B.1,.,1120.205274730523,2020-01-28,33,2,11,3,4,8,20,True
143250,ERR5381053,1,1,1,21647,26488,1,COVID-ARTIC-V3,3,2021-02-15,73347a1b5e,2,B.1.1.7,Alpha (B.1.1.7-like),751.0472565370352,2021-01-31,143249,B.1.1.7,Alpha (B.1.1.7-like),736.0,2021-02-15,109908,B.1.1.7,Alpha (B.1.1.7-like),772.0,2021-01-10,90020,B.1.1.7,Alpha (B.1.1.7-like),778.0,2021-01-04,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,16,1,5,1,2,10,1,False
145949,SRR14404787,3,1,1,6364,7328,1,COVID-ARTIC-V3,.,2021-02-16,ac440f900a,2,B.1.2,.,737.0000000001,2021-02-14,145948,B.1.2,.,735.0,2021-02-16,6820,B.1,.,1071.973621563588,2020-03-17,142005,B.1.2,.,737.0000000002001,2021-02-14,1205299,BA.5.2,Omicron (BA.5-like),342.9280766703952,2022-03-16,23,0,5,1,1,4,18,True
148227,SRR13868074,2,1,1,25908,26664,1,COVID-ARTIC-V3,.,2021-02-18,a3ac24058d,2,B.1.375,.,753.6125403897689,2021-01-29,148226,B.1.375,.,733.0,2021-02-18,78285,B.1.375,.,797.0,2020-12-16,21063,B.1.2,.,1031.832461599284,2020-04-26,794989,BA.1,Omicron (BA.1-like),468.2537853573908,2021-11-10,30,5,9,1,2,16,8,True
153040,ERR5458932,1,1,1,21976,26714,1,COVID-ARTIC-V3,3,2021-02-22,c42ae40e81,2,B.1.1.7,Alpha (B.1.1.7-like),735.0,2021-02-16,153039,B.1.1.7,Alpha (B.1.1.7-like),729.0,2021-02-22,142248,B.1.1.7,Alpha (B.1.1.7-like),770.0,2021-01-12,144670,B.1.1.7,Alpha (B.1.1.7-like),735.0000000001,2021-02-16,220185,B.1.617.2,Delta (B.1.617.2-like),789.3219728454021,2020-12-24,13,2,5,1,2,6,2,False
163595,ERR5467662,64,1,1,25438,27881,3,COVID-ARTIC-V3,3,2021-03-01,5b58cda997,2,B.1.1.7,Alpha (B.1.1.7-like),728.0,2021-02-23,163594,B.1.1.7,Alpha (B.1.1.7-like),722.0,2021-03-01,154684,B.1.1.7,Alpha (B.1.1.7-like),728.0000000001,2021-02-23,147759,B.1.1.7,Alpha (B.1.1.7-like),765.5834966492789,2021-01-17,220185,B.1.617.2,Delta (B.1.617.2-like),789.3219728454021,2020-12-24,38,20,7,3,2,11,2,False
165974,SRR14158437,1,1,1,8084,10319,1,COVID-ARTIC-V3,.,2021-03-02,13de22739a,2,B.1.2,.,731.1135894971125,2021-02-20,165973,B.1.2,.,721.0,2021-03-02,134725,B.1.349,.,742.0,2021-02-09,161664,B.1.2,.,758.0324539661492,2021-01-24,59,B.1,.,1120.205274730523,2020-01-28,30,0,9,1,2,9,20,True
179752,SRR14155794,172,1,1,22265,27880,3,COVID-ARTIC-V3,.,2021-03-11,5b1b10db76,2,B.1.1.7,Alpha (B.1.1.7-like),742.2576122133755,2021-02-09,179751,B.1.1.7,Alpha (B.1.1.7-like),712.0,2021-03-11,76276,B.1.1.7,Alpha (B.1.1.7-like),798.0000000002001,2020-12-15,109284,B.1.1.7,Alpha (B.1.1.7-like),761.0,2021-01-21,59,B.1,.,1120.205274730523,2020-01-28,13,3,7,3,2,7,0,False
191383,ERR5553633,1,1,1,26417,28233,0,COVID-ARTIC-V3,3,2021-03-18,0dc6c54dde,2,B.1.1.7,Alpha (B.1.1.7-like),723.7608629831038,2021-02-28,191382,B.1.1.7,Alpha (B.1.1.7-like),705.0,2021-03-18,131057,B.1.1.7,Alpha (B.1.1.7-like),744.0,2021-02-07,81478,B.1.1.7,Alpha (B.1.1.7-like),792.0,2020-12-21,59,B.1,.,1120.205274730523,2020-01-28,10,2,5,0,2,5,2,False
200039,ERR5676810,1118034,1,1,25277,25469,24,COVID-ARTIC-V3,3,2021-03-23,2c320854f0,2,B.1.617.2,Delta (B.1.617.2-like),941.0666732814173,2020-07-25,200038,B.1.617.2,Delta (B.1.617.2-like),700.0,2021-03-23,5316,B.1.384,.,1069.0000000001,2020-03-19,166394,B.1.617,B.1.617.1-like,1008.1295397982404,2020-05-19,1189192,BA.5,Omicron (BA.5-like),357.00000000040006,2022-03-01,36,5,29,24,2,9,8,True
200331,SRR14370520,18,2,1,27965,28311,2,COVID-ARTIC-V3,.,2021-03-23,79b7f456f1,3,B.1.526,Iota (B.1.526-like),711.0000000002001,2021-03-12,200329,B.1.526,Iota (B.1.526-like),700.0,2021-03-23,197082,B.1.526,Iota (B.1.526-like),711.0000000003001,2021-03-12,152208,B.1.595,.,754.1292961088712,2021-01-28,59,B.1,.,1120.205274730523,2020-01-28,44,8,6,2,2,30,4,True
213224,SRR14393852,1,1,1,24050,27880,1,COVID-ARTIC-V3,.,2021-03-31,263cc77e0b,2,B.1.1.7,Alpha (B.1.1.7-like),702.0,2021-03-21,213223,B.1.1.7,Alpha (B.1.1.7-like),692.0,2021-03-31,196772,B.1.1.7,Alpha (B.1.1.7-like),702.0000000001,2021-03-21,109284,B.1.1.7,Alpha (B.1.1.7-like),761.0,2021-01-21,59,B.1,.,1120.205274730523,2020-01-28,14,3,5,1,2,8,0,False
214402,ERR5710200,18,1,1,27470,28233,0,COVID-ARTIC-V3,3,2021-04-01,951dc39be2,2,B.1.1.7,Alpha (B.1.1.7-like),696.0,2021-03-27,214401,B.1.1.7,Alpha (B.1.1.7-like),691.0,2021-04-01,206440,B.1.1.7,Alpha (B.1.1.7-like),696.0000000001,2021-03-27,81478,B.1.1.7,Alpha (B.1.1.7-like),792.0,2020-12-21,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,16,2,5,0,2,8,2,False
225941,SRR14569320,1,1,1,25969,27739,2,COVID-ARTIC-V3,.,2021-04-07,610dd6e051,2,B.1.526,Iota (B.1.526-like),703.3227641312325,2021-03-20,225940,B.1.526,Iota (B.1.526-like),685.0,2021-04-07,154136,B.1.526,Iota (B.1.526-like),884.9404599182387,2020-09-20,164956,B.1.526,Iota (B.1.526-like),820.639031937282,2020-11-23,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,15,0,6,2,2,4,6,True
229637,ERR5743634,1,1,1,25691,28245,1,COVID-ARTIC-V3,3,2021-04-10,2b984872d1,2,B.1.1.7,Alpha (B.1.1.7-like),695.7464689746103,2021-03-28,229636,B.1.1.7,Alpha (B.1.1.7-like),682.0,2021-04-10,165229,B.1.1.7,Alpha (B.1.1.7-like),721.0000000002001,2021-03-02,102263,B.1.1.7,Alpha (B.1.1.7-like),767.0,2021-01-15,286300,AY.4,Delta (AY.4-like),671.1513955985273,2021-04-21,11,1,6,1,2,5,1,False
237642,SRR14720349,1,1,1,28283,28881,2,COVID-ARTIC-V3,.,2021-04-15,74e0ef723e,2,B.1.1.7,Alpha (B.1.1.7-like),708.1288043209908,2021-03-15,237641,B.1.1.7,Alpha (B.1.1.7-like),677.0,2021-04-15,54624,B.1.1.7,Alpha (B.1.1.7-like),867.9630773705273,2020-10-07,6993,B,.,1150.7371901733784,2019-12-29,59,B.1,.,1120.205274730523,2020-01-28,53,8,6,2,3,29,3,False
238621,ERR6719263,61,1,1,23594,27879,1,COVID-ARTIC-V3,.,2021-04-16,93bc92af5d,2,B.1.1.7,Alpha (B.1.1.7-like),717.7173869754173,2021-03-06,238620,B.1.1.7,Alpha (B.1.1.7-like),676.0,2021-04-16,230817,B.1.1.7,Alpha (B.1.1.7-like),726.788074285524,2021-02-25,163594,B.1.1.7,Alpha (B.1.1.7-like),722.0,2021-03-01,59,B.1,.,1120.205274730523,2020-01-28,44,20,5,1,2,14,2,False
248276,ERR5904439,33,1,1,21847,25562,1,COVID-ARTIC-V3,3,2021-04-26,816bb55e27,2,B.1.617.2,Delta (B.1.617.2-like),696.9526675967703,2021-03-27,248275,B.1.617.2,Delta (B.1.617.2-like),666.0,2021-04-26,220139,B.1.617.2,Delta (B.1.617.2-like),789.3051311564523,2020-12-24,245575,B.1.617.2,Delta (B.1.617.2-like),810.7138394194008,2020-12-03,59,B.1,.,1120.205274730523,2020-01-28,24,0,5,1,2,18,4,True
251428,SRR16729055,1,1,1,26788,27874,3,COVID-ARTIC-V3,.,2021-04-28,ef6a60201e,2,B.1.1.7,Alpha (B.1.1.7-like),678.1479933589186,2021-04-14,251427,B.1.1.7,Alpha (B.1.1.7-like),664.0,2021-04-28,216630,B.1.1.7,Alpha (B.1.1.7-like),739.7725031432535,2021-02-12,95709,B.1.1.7,Alpha (B.1.1.7-like),825.5974889731465,2020-11-18,59,B.1,.,1120.205274730523,2020-01-28,15,2,7,3,2,7,1,False
254203,SRR15151196,3,1,1,9868,11312,1,COVID-ARTIC-V3,.,2021-05-01,ba7ea64d73,2,B.1.526,Iota (B.1.526-like),676.554157997489,2021-04-16,254202,B.1.526,Iota (B.1.526-like),661.0,2021-05-01,213930,B.1.1.7,Alpha (B.1.1.7-like),743.0000000001,2021-02-08,196534,B.1.526,Iota (B.1.526-like),702.0,2021-03-21,59,B.1,.,1120.205274730523,2020-01-28,62,5,13,1,3,14,35,True
260179,SRR16729550,4,1,1,21659,21707,2,COVID-ARTIC-V3,.,2021-05-07,b8b2d8e96e,2,B.1.526,Iota (B.1.526-like),664.3038217235444,2021-04-28,260178,B.1.526,Iota (B.1.526-like),655.0,2021-05-07,222745,B.1.526,Iota (B.1.526-like),687.0,2021-04-05,224087,B.1.526,Iota (B.1.526-like),686.0,2021-04-06,59,B.1,.,1120.205274730523,2020-01-28,28,0,13,2,2,15,11,True
260769,SRR14627955,1,1,1,25573,28255,1,COVID-ARTIC-V3,.,2021-05-08,4c7ed8cdde,2,P.1,Gamma (P.1-like),655.0,2021-05-07,260768,P.1,Gamma (P.1-like),654.0,2021-05-08,231490,P.1,Gamma (P.1-like),681.0,2021-04-11,260038,P.1,Gamma (P.1-like),655.0000000001,2021-05-07,903506,BA.2,Omicron (BA.2-like),452.0000000001005,2021-11-26,14,4,5,1,2,6,1,False
263782,SRR16620947,1,1,1,12163,14403,2,COVID-ARTIC-V3,.,2021-05-11,5f4e056861,2,B.1.526,Iota (B.1.526-like),688.8897599755514,2021-04-04,263781,B.1.526,Iota (B.1.526-like),651.0,2021-05-11,47445,B.1.1.7,Alpha (B.1.1.7-like),845.0000000004002,2020-10-29,190982,B.1.526,Iota (B.1.526-like),735.371531745482,2021-02-16,1189192,BA.5,Omicron (BA.5-like),357.00000000040006,2022-03-01,53,5,10,2,3,9,30,True
264915,SRR15225823,2,1,1,27904,28273,3,COVID-AMPLISEQ-V1,.,2021-05-12,0e0141d772,2,B.1.214,.,686.0,2021-04-06,264914,B.1.214,.,650.0,2021-05-12,220102,B.1.214,.,729.8265259350184,2021-02-22,224865,B.1.214,.,686.0000000001,2021-04-06,791357,BA.1,Omicron (BA.1-like),468.25378535759074,2021-11-10,14,2,9,3,2,7,1,False
277217,SRR15226187,3,2,1,12163,13887,0,COVID-AMPLISEQ-V1,.,2021-05-28,b73ea1db31,3,B.1.1.7,Alpha (B.1.1.7-like),650.0,2021-05-12,277215,B.1.1.7,Alpha (B.1.1.7-like),634.0,2021-05-28,264919,B.1.1.7,Alpha (B.1.1.7-like),650.0000000001,2021-05-12,213757,B.1.1.7,Alpha (B.1.1.7-like),722.2062697265939,2021-03-01,1149783,BA.4,Omicron (BA.4-like),384.3031366593406,2022-02-02,18,0,5,0,2,5,13,True
286975,ERR6101447,3,1,1,28698,28881,1,COVID-ARTIC-V3,3,2021-06-08,8eb7677508,2,B.1.1.7,Alpha (B.1.1.7-like),646.1877164437551,2021-05-16,286974,B.1.1.7,Alpha (B.1.1.7-like),623.0,2021-06-08,276689,B.1.1.7,Alpha (B.1.1.7-like),657.4968045235415,2021-05-05,6723,B.1,.,1072.0,2020-03-16,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,119,63,5,1,2,34,2,False
293126,SRR15230069,1226,1,1,22035,22044,3,COVID-AMPLISEQ-V1,.,2021-06-16,fce26111af,2,AY.100,Delta (B.1.617.2-like),620.0,2021-06-11,293125,AY.100,Delta (B.1.617.2-like),615.0000000002001,2021-06-16,270032,AY.110,Delta (B.1.617.2-like),644.0000000003001,2021-05-18,289392,AY.100,Delta (B.1.617.2-like),620.0000000001,2021-06-11,173,B.1,.,1120.2052747303228,2020-01-28,17,5,7,3,2,-2,4,False
293131,SRR15230096,2458,2,1,19678,22027,1,COVID-AMPLISEQ-V1,.,2021-06-16,1da24f1b4d,3,AY.114,Delta (B.1.617.2-like),616.0000000002001,2021-06-15,293130,AY.114,Delta (B.1.617.2-like),615.0,2021-06-16,288396,AY.114,Delta (B.1.617.2-like),622.0,2021-06-09,291821,AY.118,Delta (B.1.617.2-like),616.0000000003001,2021-06-15,903506,BA.2,Omicron (BA.2-like),452.0000000001005,2021-11-26,16,5,7,1,2,7,1,False
295320,ERR6491719,2078,1,1,19678,22027,1,COVID-AMPLISEQ-V1,3,2021-06-18,fc547e15dc,2,AY.4,Delta (AY.4-like),616.0000000001,2021-06-15,295319,AY.4,Delta (AY.4-like),613.0000000001,2021-06-18,273939,AY.4,Delta (AY.4-like),682.2634256937475,2021-04-10,293131,AY.114,Delta (B.1.617.2-like),616.0000000002001,2021-06-15,1149782,BA.4,Omicron (BA.4-like),342.0,2022-03-16,14,5,6,1,2,7,1,False
296729,ERR6572864,4,1,1,19678,22027,2,COVID-AMPLISEQ-V1,3,2021-06-20,250f5922e0,2,AY.4,Delta (AY.4-like),616.0000000001,2021-06-15,296728,AY.4,Delta (AY.4-like),611.0,2021-06-20,266311,AY.4,Delta (AY.4-like),648.0000000001,2021-05-14,293131,AY.114,Delta (B.1.617.2-like),616.0000000002001,2021-06-15,1189192,BA.5,Omicron (BA.5-like),357.00000000040006,2022-03-01,15,5,7,2,2,8,1,False
296997,ERR6148731,2,1,1,23857,25959,0,COVID-ARTIC-V3,3,2021-06-21,0052ab22cf,2,AY.4,Delta (AY.4-like),612.0,2021-06-19,296996,AY.4,Delta (AY.4-like),610.0,2021-06-21,295820,AY.4,Delta (AY.4-like),612.0000000001,2021-06-19,288175,AY.98,Delta (B.1.617.2-like),622.0000000002001,2021-06-09,59,B.1,.,1120.205274730523,2020-01-28,10,2,4,0,2,5,3,False
297924,SRR15227508,1,1,1,20103,22027,1,COVID-AMPLISEQ-V1,.,2021-06-21,11f8d08d9c,2,AY.107,Delta (B.1.617.2-like),614.0,2021-06-17,297923,AY.107,Delta (B.1.617.2-like),610.0,2021-06-21,294157,AY.107,Delta (B.1.617.2-like),614.0000000001,2021-06-17,293131,AY.114,Delta (B.1.617.2-like),616.0000000002001,2021-06-15,59,B.1,.,1120.205274730523,2020-01-28,16,5,5,1,2,7,-1,False
300772,ERR6491994,4,1,1,21302,22027,3,COVID-AMPLISEQ-V1,3,2021-06-23,d0febb7e4d,2,AY.124,Delta (B.1.617.2-like),616.0000000001,2021-06-15,300771,AY.124,Delta (B.1.617.2-like),608.0,2021-06-23,264040,AY.124,Delta (B.1.617.2-like),719.8424238610048,2021-03-04,293131,AY.114,Delta (B.1.617.2-like),616.0000000002001,2021-06-15,98,B.1.1,.,1120.002529995992,2020-01-28,15,5,7,3,2,8,1,False
300908,SRR15227430,49,1,1,22027,22027,2,COVID-AMPLISEQ-V1,.,2021-06-23,a2c4035e11,2,AY.39,Delta (B.1.617.2-like),609.0000000002001,2021-06-22,300907,AY.39,Delta (B.1.617.2-like),608.0000000001,2021-06-23,299640,AY.39,Delta (B.1.617.2-like),609.0000000003001,2021-06-22,294254,AY.39,Delta (B.1.617.2-like),644.0000000002001,2021-05-18,59,B.1,.,1120.205274730523,2020-01-28,14,5,6,2,2,6,0,False
313917,ERR6306060,2,1,1,21486,22027,1,COVID-AMPLISEQ-V1,.,2021-07-02,990cb35b12,2,AY.4,Delta (AY.4-like),616.0,2021-06-15,313916,AY.4,Delta (AY.4-like),599.0,2021-07-02,298373,AY.4,Delta (AY.4-like),627.0,2021-06-04,293131,AY.114,Delta (B.1.617.2-like),616.0000000002001,2021-06-15,59,B.1,.,1120.205274730523,2020-01-28,17,5,5,1,2,9,0,False
319313,SRR15391802,1,1,1,19678,22027,3,COVID-AMPLISEQ-V1,.,2021-07-05,e1a1ba60fa,2,AY.120.1,Delta (B.1.617.2-like),604.362500871818,2021-06-27,319312,AY.120.1,Delta (B.1.617.2-like),596.0,2021-07-05,297653,AY.120.1,Delta (B.1.617.2-like),610.0,2021-06-21,293131,AY.114,Delta (B.1.617.2-like),616.0000000002001,2021-06-15,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,18,5,7,3,3,8,0,False
320592,SRR16008981,1,1,1,9715,14184,2,COVID-ARTIC-V3,.,2021-07-06,2da3d1c167,2,B.1.351,Beta (B.1.351-like),609.2759566474364,2021-06-22,320591,B.1.351,Beta (B.1.351-like),595.0,2021-07-06,286243,B.1.351,Beta (B.1.351-like),624.0,2021-06-07,76641,B.1.351,Beta (B.1.351-like),846.6978961639842,2020-10-28,887654,BA.2,Omicron (BA.2-like),452.0000000002004,2021-11-26,15,0,7,2,2,4,6,True
321944,SRR15189070,1,1,1,28041,28209,1,COVID-ARTIC-V3,.,2021-07-07,4915715bb3,2,B.1.1.7,Alpha (B.1.1.7-like),622.330100055158,2021-06-09,321943,B.1.1.7,Alpha (B.1.1.7-like),594.0,2021-07-07,213832,B.1.1.7,Alpha (B.1.1.7-like),726.7239982404466,2021-02-25,138373,B.1.1.7,Alpha (B.1.1.7-like),739.0,2021-02-12,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,18,1,5,1,2,10,4,True
